material1,material2,material3,material4
dataset7166,dataset8906,dataset5300,dataset6339
dataset2153,dataset6438,dataset2515,dataset1342
dataset9719,dataset5995,dataset5465,dataset2621
dataset4623,dataset5899,dataset4479,dataset536
dataset7978,dataset4990,dataset4455,dataset2368
dataset2025,dataset4380,dataset1328,dataset2213
dataset5518,dataset9824,dataset5564,dataset1201
dataset5610,dataset5926,dataset4379,dataset3217
dataset5412,dataset4125,dataset7350,dataset5958
dataset4157,dataset4197,dataset1931,dataset7355
dataset7601,dataset703,dataset8740,dataset8690
dataset3249,dataset647,dataset4108,dataset9566
dataset254,dataset7155,dataset3236,dataset8032
dataset842,dataset6482,dataset2902,dataset2833
dataset7402,dataset4672,dataset2148,dataset695
dataset3635,dataset7921,dataset8061,dataset4625
dataset1223,dataset5108,dataset6183,dataset2017
dataset9769,dataset9912,dataset2460,dataset3464
dataset3574,dataset3612,dataset9548,dataset1029
dataset2227,dataset8226,dataset174,dataset9743
dataset5577,dataset2753,dataset3567,dataset8034
dataset7924,dataset8501,dataset46,dataset6319
dataset6367,dataset2539,dataset7125,dataset9685
dataset2562,dataset6691,dataset701,dataset4501
dataset1415,dataset5513,dataset8317,dataset466
dataset2665,dataset5741,dataset6175,dataset8029
dataset7969,dataset4158,dataset9445,dataset5855
dataset9838,dataset5060,dataset531,dataset5358
dataset8431,dataset935,dataset7310,dataset9092
dataset2974,dataset9300,dataset67,dataset9543
dataset8281,dataset4569,dataset7698,dataset8358
dataset6748,dataset8227,dataset8576,dataset2114
dataset9556,dataset8865,dataset3297,dataset4114
dataset7935,dataset557,dataset9876,dataset4852
dataset3266,dataset2731,dataset6040,dataset5341
dataset8280,dataset323,dataset3435,dataset6285
dataset5115,dataset9867,dataset7186,dataset1905
dataset5286,dataset4383,dataset443,dataset4000
dataset7800,dataset8817,dataset1319,dataset9178
dataset8432,dataset8405,dataset8719,dataset8543
dataset3206,dataset9662,dataset7833,dataset3260
dataset6427,dataset2538,dataset4239,dataset7220
dataset7961,dataset1461,dataset3598,dataset8315
dataset367,dataset5941,dataset3687,dataset1924
dataset5966,dataset7191,dataset2074,dataset1847
dataset6631,dataset2826,dataset17,dataset1987
dataset687,dataset7580,dataset6232,dataset3128
dataset7461,dataset4874,dataset2172,dataset8314
dataset7296,dataset3663,dataset4041,dataset2842
dataset7225,dataset9455,dataset3864,dataset4587
dataset8796,dataset2897,dataset969,dataset612
dataset2692,dataset236,dataset208,dataset2197
dataset4586,dataset6607,dataset4121,dataset7576
dataset4916,dataset4478,dataset3289,dataset5760
dataset1733,dataset2289,dataset8236,dataset793
dataset4434,dataset6732,dataset265,dataset1086
dataset8566,dataset4450,dataset3341,dataset2695
dataset946,dataset5592,dataset1682,dataset5526
dataset589,dataset9559,dataset3304,dataset7848
dataset5683,dataset7091,dataset8121,dataset5266
dataset7808,dataset8284,dataset3374,dataset9532
dataset1207,dataset5505,dataset5492,dataset8548
dataset7588,dataset9035,dataset7415,dataset2938
dataset3529,dataset2055,dataset9476,dataset5440
dataset8383,dataset1194,dataset9083,dataset4056
dataset6028,dataset9854,dataset6441,dataset4560
dataset5965,dataset9988,dataset7519,dataset5514
dataset591,dataset5793,dataset5740,dataset7526
dataset2217,dataset6633,dataset7872,dataset1265
dataset1829,dataset4280,dataset7937,dataset7114
dataset8378,dataset5882,dataset3573,dataset2930
dataset6450,dataset836,dataset2380,dataset7371
dataset2601,dataset8551,dataset5912,dataset2352
dataset6843,dataset9402,dataset9255,dataset685
dataset9349,dataset542,dataset8368,dataset9807
dataset9096,dataset9288,dataset2671,dataset2903
dataset2367,dataset3038,dataset2963,dataset1951
dataset872,dataset9530,dataset9905,dataset2441
dataset2653,dataset7010,dataset392,dataset54
dataset7457,dataset5289,dataset4663,dataset6515
dataset1895,dataset2994,dataset9622,dataset3917
dataset7870,dataset6998,dataset4784,dataset7356
dataset8759,dataset4326,dataset2169,dataset4564
dataset2261,dataset720,dataset8840,dataset3144
dataset8081,dataset2234,dataset6959,dataset3184
dataset9128,dataset1593,dataset1744,dataset9156
dataset8196,dataset9630,dataset9574,dataset803
dataset7070,dataset6213,dataset8410,dataset8217
dataset1074,dataset5278,dataset4958,dataset8774
dataset6620,dataset9785,dataset3739,dataset4117
dataset7895,dataset3140,dataset5684,dataset9712
dataset2847,dataset7051,dataset6234,dataset6755
dataset9760,dataset5149,dataset8881,dataset4620
dataset2042,dataset4974,dataset6742,dataset6489
dataset9562,dataset5641,dataset6992,dataset9823
dataset4783,dataset9146,dataset7574,dataset2058
dataset3125,dataset7572,dataset5955,dataset9891
dataset1900,dataset3370,dataset513,dataset6730
dataset9244,dataset8183,dataset4392,dataset2384
dataset8538,dataset5923,dataset3863,dataset4003
dataset3583,dataset1863,dataset1925,dataset2324
dataset814,dataset5927,dataset8623,dataset6077
dataset4655,dataset3965,dataset6386,dataset8122
dataset1079,dataset7664,dataset4747,dataset8708
dataset807,dataset2547,dataset1605,dataset1851
dataset876,dataset9457,dataset2270,dataset8932
dataset570,dataset4011,dataset1468,dataset8000
dataset9028,dataset7822,dataset2573,dataset3291
dataset34,dataset5764,dataset3659,dataset4628
dataset8717,dataset9887,dataset739,dataset154
dataset8523,dataset3023,dataset662,dataset8818
dataset2594,dataset8265,dataset1633,dataset7939
dataset7868,dataset242,dataset6669,dataset4324
dataset1480,dataset3211,dataset4457,dataset2757
dataset9480,dataset7476,dataset6490,dataset5226
dataset3468,dataset1080,dataset5915,dataset7676
dataset2239,dataset9805,dataset3375,dataset42
dataset4308,dataset4344,dataset7898,dataset1740
dataset5922,dataset8055,dataset3032,dataset7839
dataset2475,dataset3844,dataset6855,dataset4076
dataset6290,dataset2196,dataset3832,dataset2505
dataset3011,dataset8909,dataset1510,dataset1914
dataset6627,dataset9711,dataset9310,dataset1429
dataset2736,dataset331,dataset2977,dataset1171
dataset3964,dataset6221,dataset5972,dataset6049
dataset1014,dataset8542,dataset7614,dataset3001
dataset2549,dataset7379,dataset8762,dataset460
dataset8084,dataset39,dataset7976,dataset4740
dataset9022,dataset3580,dataset5620,dataset1069
dataset7758,dataset8352,dataset3821,dataset1095
dataset4327,dataset4512,dataset7209,dataset1067
dataset4027,dataset6318,dataset1610,dataset8938
dataset932,dataset8270,dataset6477,dataset7936
dataset8609,dataset5409,dataset6624,dataset998
dataset5751,dataset1663,dataset9745,dataset1446
dataset1087,dataset4829,dataset7025,dataset1408
dataset2147,dataset2335,dataset6984,dataset159
dataset6349,dataset9079,dataset7575,dataset6537
dataset4004,dataset960,dataset3981,dataset1182
dataset4265,dataset4167,dataset887,dataset7030
dataset8231,dataset9951,dataset6703,dataset5638
dataset2616,dataset2011,dataset6938,dataset8077
dataset5252,dataset3363,dataset765,dataset9242
dataset8946,dataset3327,dataset9157,dataset3318
dataset5071,dataset4232,dataset1946,dataset9710
dataset8937,dataset1341,dataset6122,dataset7854
dataset5023,dataset5379,dataset7335,dataset5065
dataset1849,dataset1982,dataset9871,dataset3937
dataset6870,dataset4530,dataset4753,dataset1413
dataset6538,dataset255,dataset7380,dataset5359
dataset1634,dataset9674,dataset984,dataset6212
dataset283,dataset7019,dataset7235,dataset574
dataset4415,dataset5566,dataset3767,dataset1506
dataset2664,dataset683,dataset5527,dataset974
dataset9610,dataset8099,dataset653,dataset1923
dataset95,dataset6518,dataset36,dataset5171
dataset1139,dataset8665,dataset5484,dataset768
dataset9292,dataset3669,dataset7245,dataset1154
dataset7376,dataset6543,dataset1795,dataset5799
dataset8589,dataset9908,dataset9306,dataset7182
dataset2885,dataset3207,dataset8667,dataset5907
dataset9424,dataset8530,dataset7853,dataset1830
dataset1598,dataset948,dataset6338,dataset4129
dataset167,dataset9222,dataset8991,dataset1138
dataset8678,dataset4218,dataset713,dataset6205
dataset714,dataset121,dataset6513,dataset2625
dataset9036,dataset9031,dataset1410,dataset2465
dataset4370,dataset4496,dataset4692,dataset2682
dataset3746,dataset5655,dataset5487,dataset9493
dataset1718,dataset5377,dataset4333,dataset1719
dataset4210,dataset4329,dataset1381,dataset621
dataset7158,dataset504,dataset8807,dataset8039
dataset2519,dataset4733,dataset6856,dataset4902
dataset1253,dataset1136,dataset9607,dataset335
dataset1165,dataset3066,dataset129,dataset4279
dataset9850,dataset472,dataset298,dataset9707
dataset4460,dataset5971,dataset3053,dataset4652
dataset4430,dataset4141,dataset5881,dataset5310
dataset3224,dataset7138,dataset601,dataset8674
