material1,material2,material3,material4
dataset993,dataset819,dataset9,dataset687
dataset52,dataset630,dataset965,dataset968
dataset851,dataset740,dataset706,dataset40
dataset814,dataset521,dataset443,dataset759
dataset333,dataset257,dataset988,dataset713
dataset689,dataset898,dataset103,dataset380
dataset739,dataset938,dataset114,dataset886
dataset29,dataset469,dataset356,dataset168
dataset275,dataset533,dataset676,dataset666
dataset809,dataset460,dataset769,dataset659
dataset0,dataset568,dataset118,dataset466
dataset119,dataset61,dataset918,dataset505
dataset141,dataset901,dataset802,dataset254
dataset971,dataset529,dataset420,dataset422
dataset235,dataset124,dataset240,dataset265
dataset671,dataset290,dataset994,dataset894
dataset98,dataset733,dataset749,dataset414
dataset354,dataset226,dataset113,dataset887
dataset305,dataset255,dataset267,dataset530
dataset524,dataset448,dataset352,dataset27
dataset792,dataset482,dataset872,dataset174
dataset724,dataset912,dataset593,dataset107
dataset823,dataset685,dataset224,dataset604
dataset11,dataset281,dataset719,dataset550
dataset197,dataset638,dataset825,dataset646
dataset261,dataset206,dataset277,dataset289
dataset86,dataset750,dataset207,dataset7
dataset854,dataset779,dataset785,dataset899
dataset345,dataset156,dataset939,dataset38
dataset835,dataset910,dataset221,dataset833
dataset375,dataset133,dataset565,dataset430
dataset561,dataset879,dataset632,dataset478
dataset857,dataset884,dataset723,dataset335
dataset106,dataset423,dataset88,dataset211
dataset234,dataset806,dataset120,dataset440
dataset846,dataset51,dataset408,dataset396
dataset954,dataset670,dataset286,dataset695
dataset911,dataset154,dataset991,dataset344
dataset323,dataset856,dataset795,dataset90
dataset829,dataset547,dataset419,dataset192
dataset343,dataset433,dataset102,dataset506
dataset875,dataset78,dataset976,dataset588
dataset347,dataset138,dataset840,dataset534
dataset476,dataset776,dataset227,dataset385
dataset700,dataset268,dataset111,dataset962
dataset150,dataset919,dataset246,dataset417
dataset291,dataset314,dataset698,dataset483
dataset546,dataset182,dataset495,dataset45
dataset864,dataset497,dataset134,dataset995
dataset820,dataset788,dataset187,dataset436
dataset985,dataset582,dataset595,dataset438
dataset321,dataset536,dataset125,dataset283
dataset727,dataset241,dataset895,dataset507
dataset82,dataset890,dataset932,dataset274
dataset12,dataset697,dataset327,dataset459
dataset517,dataset828,dataset979,dataset366
dataset762,dataset296,dataset977,dataset651
dataset763,dataset129,dataset376,dataset873
dataset294,dataset981,dataset652,dataset934
dataset905,dataset100,dataset773,dataset500
dataset926,dataset760,dataset270,dataset364
dataset929,dataset30,dataset615,dataset764
dataset845,dataset608,dataset158,dataset245
dataset690,dataset531,dataset386,dataset346
dataset772,dataset18,dataset331,dataset337
dataset79,dataset416,dataset913,dataset63
dataset747,dataset742,dataset399,dataset233
dataset644,dataset48,dataset585,dataset970
dataset578,dataset859,dataset743,dataset389
dataset472,dataset786,dataset803,dataset406
dataset881,dataset770,dataset917,dataset567
dataset198,dataset293,dataset499,dataset653
dataset936,dataset865,dataset372,dataset318
dataset223,dataset861,dataset900,dataset395
dataset170,dataset684,dataset363,dataset514
