material1,material2,material3,material4
dataset36,dataset170,dataset929,dataset516
dataset911,dataset207,dataset91,dataset740
dataset233,dataset602,dataset784,dataset47
dataset190,dataset769,dataset358,dataset930
dataset361,dataset483,dataset561,dataset59
dataset474,dataset642,dataset950,dataset805
dataset606,dataset196,dataset759,dataset979
dataset66,dataset225,dataset392,dataset613
dataset129,dataset954,dataset33,dataset95
dataset667,dataset87,dataset659,dataset281
dataset471,dataset299,dataset40,dataset10
dataset883,dataset822,dataset256,dataset974
dataset114,dataset693,dataset311,dataset532
dataset150,dataset451,dataset331,dataset955
dataset563,dataset76,dataset544,dataset447
dataset612,dataset38,dataset531,dataset836
dataset116,dataset185,dataset382,dataset535
dataset597,dataset935,dataset908,dataset855
dataset988,dataset360,dataset550,dataset182
dataset812,dataset339,dataset915,dataset460
dataset833,dataset540,dataset869,dataset159
dataset814,dataset800,dataset884,dataset588
dataset730,dataset611,dataset635,dataset648
dataset101,dataset348,dataset907,dataset255
dataset680,dataset257,dataset456,dataset546
dataset741,dataset643,dataset355,dataset938
dataset201,dataset678,dataset292,dataset314
dataset813,dataset508,dataset318,dataset130
dataset110,dataset184,dataset568,dataset304
dataset785,dataset430,dataset270,dataset246
dataset832,dataset231,dataset981,dataset547
dataset898,dataset732,dataset385,dataset786
dataset656,dataset899,dataset763,dataset633
dataset673,dataset356,dataset614,dataset829
dataset945,dataset293,dataset524,dataset565
dataset362,dataset585,dataset467,dataset619
dataset11,dataset997,dataset558,dataset137
dataset366,dataset961,dataset655,dataset987
dataset861,dataset228,dataset658,dataset177
dataset236,dataset675,dataset413,dataset509
dataset638,dataset939,dataset533,dataset54
dataset880,dataset267,dataset152,dataset727
dataset478,dataset12,dataset476,dataset172
dataset247,dataset520,dataset3,dataset85
dataset287,dataset321,dataset122,dataset14
dataset469,dataset745,dataset689,dataset781
dataset417,dataset243,dataset921,dataset429
dataset266,dataset811,dataset52,dataset77
dataset123,dataset138,dataset755,dataset491
dataset457,dataset484,dataset839,dataset809
dataset651,dataset289,dataset892,dataset486
dataset333,dataset222,dataset723,dataset999
dataset934,dataset23,dataset171,dataset704
dataset396,dataset408,dataset296,dataset882
dataset115,dataset683,dataset400,dataset924
dataset167,dataset867,dataset421,dataset442
dataset67,dataset449,dataset572,dataset834
dataset232,dataset90,dataset450,dataset879
dataset901,dataset522,dataset500,dataset215
dataset80,dataset391,dataset944,dataset276
dataset848,dataset446,dataset376,dataset44
dataset419,dataset370,dataset344,dataset858
dataset121,dataset517,dataset719,dataset931
dataset967,dataset941,dataset303,dataset933
dataset519,dataset100,dataset162,dataset507
dataset627,dataset783,dataset685,dataset210
dataset951,dataset616,dataset652,dataset157
dataset20,dataset313,dataset738,dataset426
dataset890,dataset808,dataset501,dataset217
dataset788,dataset705,dataset679,dataset523
dataset490,dataset104,dataset315,dataset93
dataset224,dataset699,dataset493,dataset983
dataset139,dataset537,dataset269,dataset216
dataset416,dataset291,dataset199,dataset881
dataset846,dataset695,dataset28,dataset670
dataset186,dataset337,dataset863,dataset694
dataset799,dataset160,dataset316,dataset31
dataset109,dataset623,dataset384,dataset487
dataset768,dataset163,dataset428,dataset998
dataset859,dataset669,dataset835,dataset189
dataset73,dataset843,dataset412,dataset212
dataset9,dataset273,dataset994,dataset608
dataset912,dataset440,dataset39,dataset5
dataset902,dataset622,dataset435,dataset278
dataset969,dataset528,dataset18,dataset512
dataset743,dataset582,dataset68,dataset864
dataset845,dataset986,dataset71,dataset897
dataset240,dataset989,dataset468,dataset202
dataset405,dataset972,dataset991,dataset684
dataset913,dataset349,dataset587,dataset84
dataset13,dataset200,dataset510,dataset63
dataset966,dataset188,dataset876,dataset505
dataset365,dataset825,dataset854,dataset119
dataset75,dataset575,dataset726,dataset369
dataset640,dataset621,dataset632,dataset30
dataset411,dataset17,dataset43,dataset8
dataset589,dataset584,dataset916,dataset380
dataset959,dataset363,dataset649,dataset780
dataset21,dataset328,dataset395,dataset275
dataset141,dataset617,dataset837,dataset583
dataset46,dataset818,dataset133,dataset499
dataset142,dataset552,dataset4,dataset118
dataset327,dataset379,dataset766,dataset208
dataset498,dataset489,dataset241,dataset394
dataset856,dataset919,dataset229,dataset45
dataset393,dataset298,dataset206,dataset823
dataset27,dataset570,dataset424,dataset644
dataset55,dataset887,dataset127,dataset248
dataset992,dataset324,dataset747,dataset431
dataset574,dataset86,dataset663,dataset895
dataset102,dataset223,dataset712,dataset718
dataset831,dataset771,dataset977,dataset953
dataset538,dataset503,dataset914,dataset984
dataset807,dataset131,dataset357,dataset373
dataset947,dataset849,dataset654,dataset801
dataset463,dataset205,dataset790,dataset830
dataset78,dataset542,dataset238,dataset720
dataset571,dataset778,dataset271,dataset650
dataset729,dataset996,dataset842,dataset265
dataset628,dataset165,dataset367,dataset96
dataset383,dataset817,dataset774,dataset922
dataset107,dataset325,dataset844,dataset387
dataset454,dataset235,dataset553,dataset641
dataset214,dataset335,dataset62,dataset824
dataset176,dataset530,dataset183,dataset88
dataset795,dataset317,dataset198,dataset770
dataset900,dataset661,dataset464,dataset310
dataset560,dataset477,dataset306,dataset586
dataset70,dataset797,dataset521,dataset406
dataset455,dataset604,dataset192,dataset956
dataset57,dataset634,dataset312,dataset761
dataset354,dataset708,dataset626,dataset923
dataset697,dataset58,dataset964,dataset754
dataset279,dataset404,dataset815,dataset696
dataset497,dataset211,dataset258,dataset187
dataset286,dataset168,dataset721,dataset593
dataset828,dataset253,dataset72,dataset753
dataset504,dataset332,dataset940,dataset56
dataset820,dataset437,dataset364,dataset746
dataset671,dataset226,dataset731,dataset178
dataset804,dataset526,dataset254,dataset398
dataset896,dataset350,dataset905,dataset342
dataset340,dataset453,dataset566,dataset943
dataset511,dataset541,dataset234,dataset263
dataset736,dataset203,dataset539,dataset789
dataset564,dataset976,dataset194,dataset99
dataset330,dataset724,dataset472,dataset282
dataset713,dataset672,dataset927,dataset145
dataset910,dataset775,dataset569,dataset169
dataset728,dataset937,dataset615,dataset191
dataset401,dataset420,dataset82,dataset629
dataset993,dataset204,dataset249,dataset722
dataset261,dataset359,dataset715,dataset407
dataset155,dataset403,dataset965,dataset371
dataset698,dataset438,dataset749,dataset323
dataset866,dataset48,dataset479,dataset290
dataset280,dataset525,dataset69,dataset197
dataset320,dataset418,dataset576,dataset106
dataset343,dataset625,dataset175,dataset515
dataset717,dataset124,dataset461,dataset402
dataset245,dataset620,dataset750,dataset677
dataset305,dataset926,dataset120,dataset42
dataset958,dataset374,dataset220,dataset803
dataset948,dataset307,dataset777,dataset459
dataset377,dataset598,dataset851,dataset527
dataset154,dataset925,dataset272,dataset764
dataset26,dataset390,dataset375,dataset767
dataset147,dataset885,dataset117,dataset806
dataset990,dataset135,dataset97,dataset932
dataset591,dataset514,dataset636,dataset252
dataset34,dataset971,dataset877,dataset660
dataset166,dataset653,dataset776,dataset465
dataset918,dataset458,dataset488,dataset674
dataset891,dataset590,dataset920,dataset692
dataset336,dataset798,dataset283,dataset917
dataset174,dataset260,dataset534,dataset353
dataset742,dataset601,dataset164,dataset351
dataset973,dataset480,dataset639,dataset518
dataset657,dataset506,dataset134,dataset543
dataset765,dataset838,dataset35,dataset32
dataset295,dataset136,dataset111,dataset995
dataset60,dataset179,dataset94,dataset513
dataset61,dataset301,dataset665,dataset762
dataset49,dataset448,dataset158,dataset494
dataset862,dataset432,dataset690,dataset980
dataset143,dataset338,dataset239,dataset443
dataset857,dataset703,dataset492,dataset427
dataset847,dataset579,dataset970,dataset548
dataset140,dataset423,dataset889,dataset50
dataset592,dataset952,dataset444,dataset733
dataset244,dataset748,dataset386,dataset422
dataset452,dataset841,dataset415,dataset645
dataset752,dataset536,dataset218,dataset251
dataset414,dataset709,dataset668,dataset181
dataset850,dataset153,dataset436,dataset737
dataset860,dataset875,dataset466,dataset409
dataset686,dataset64,dataset772,dataset581
dataset556,dataset15,dataset105,dataset51
dataset425,dataset274,dataset345,dataset826
dataset957,dataset173,dataset888,dataset29
dataset960,dataset706,dataset647,dataset146
dataset81,dataset397,dataset341,dataset502
dataset573,dataset98,dataset346,dataset79
dataset894,dataset609,dataset347,dataset74
dataset700,dataset227,dataset760,dataset372
dataset126,dataset782,dataset24,dataset624
dataset309,dataset868,dataset92,dataset714
dataset326,dataset701,dataset865,dataset268
dataset0,dataset334,dataset148,dataset322
dataset852,dataset982,dataset161,dataset481
dataset462,dataset710,dataset618,dataset389
dataset707,dataset352,dataset151,dataset664
dataset149,dataset144,dataset264,dataset734
dataset65,dataset787,dataset840,dataset262
dataset968,dataset567,dataset691,dataset596
dataset195,dataset949,dataset580,dataset410
dataset496,dataset378,dataset758,dataset368
dataset288,dataset605,dataset792,dataset676
dataset779,dataset495,dataset756,dataset873
dataset637,dataset735,dataset319,dataset821
dataset7,dataset631,dataset554,dataset662
dataset242,dataset577,dataset132,dataset557
dataset744,dataset441,dataset853,dataset559
dataset599,dataset89,dataset630,dataset872
dataset473,dataset909,dataset259,dataset739
dataset978,dataset83,dataset277,dataset942
dataset791,dataset578,dataset725,dataset963
dataset53,dataset603,dataset434,dataset103
dataset903,dataset308,dataset711,dataset475
dataset827,dataset180,dataset716,dataset250
dataset878,dataset549,dataset219,dataset381
dataset529,dataset285,dataset193,dataset108
dataset399,dataset773,dataset688,dataset551
dataset946,dataset555,dataset751,dataset886
dataset666,dataset610,dataset19,dataset794
dataset607,dataset819,dataset936,dataset230
dataset485,dataset874,dataset802,dataset893
dataset646,dataset297,dataset156,dataset125
dataset482,dataset904,dataset6,dataset595
dataset25,dataset975,dataset871,dataset388
dataset433,dataset221,dataset445,dataset16
dataset284,dataset545,dataset562,dataset810
dataset1,dataset681,dataset329,dataset600
dataset37,dataset796,dataset209,dataset682
dataset2,dataset793,dataset128,dataset702
dataset687,dataset302,dataset22,dataset237
dataset112,dataset300,dataset41,dataset439
dataset906,dataset470,dataset985,dataset870
dataset928,dataset757,dataset594,dataset294
dataset113,dataset962,dataset213,dataset816
