material1,material2,material3,material4
dataset697,dataset630,dataset626,dataset849
dataset574,dataset47,dataset989,dataset721
dataset440,dataset596,dataset650,dataset966
dataset10,dataset664,dataset402,dataset797
dataset924,dataset316,dataset218,dataset776
dataset729,dataset837,dataset748,dataset415
dataset46,dataset63,dataset165,dataset560
dataset33,dataset37,dataset557,dataset615
dataset18,dataset113,dataset302,dataset142
dataset112,dataset678,dataset528,dataset95
dataset657,dataset13,dataset997,dataset717
dataset916,dataset132,dataset339,dataset685
dataset539,dataset371,dataset147,dataset163
dataset313,dataset745,dataset356,dataset20
dataset652,dataset915,dataset876,dataset407
dataset501,dataset70,dataset227,dataset388
dataset438,dataset380,dataset963,dataset881
dataset429,dataset257,dataset612,dataset505
dataset585,dataset140,dataset58,dataset561
dataset526,dataset458,dataset137,dataset441
dataset177,dataset287,dataset791,dataset422
dataset156,dataset379,dataset79,dataset118
dataset927,dataset789,dataset654,dataset283
dataset271,dataset755,dataset847,dataset22
dataset827,dataset704,dataset960,dataset213
dataset31,dataset232,dataset680,dataset315
dataset431,dataset804,dataset864,dataset607
dataset40,dataset357,dataset239,dataset840
dataset475,dataset342,dataset340,dataset314
dataset319,dataset483,dataset199,dataset535
dataset85,dataset686,dataset739,dataset719
dataset426,dataset174,dataset582,dataset243
dataset675,dataset569,dataset374,dataset478
dataset737,dataset588,dataset107,dataset687
dataset471,dataset0,dataset413,dataset595
dataset625,dataset192,dataset54,dataset69
dataset921,dataset96,dataset521,dataset94
dataset157,dataset369,dataset808,dataset990
dataset6,dataset783,dataset872,dataset987
dataset955,dataset53,dataset762,dataset534
dataset542,dataset303,dataset250,dataset128
dataset912,dataset977,dataset633,dataset298
dataset495,dataset9,dataset902,dataset988
dataset420,dataset299,dataset869,dataset244
dataset109,dataset103,dataset565,dataset427
dataset809,dataset713,dataset161,dataset886
dataset141,dataset962,dataset453,dataset223
dataset281,dataset956,dataset207,dataset408
dataset338,dataset559,dataset991,dataset416
dataset181,dataset647,dataset978,dataset62
dataset497,dataset830,dataset727,dataset311
dataset841,dataset401,dataset470,dataset105
dataset512,dataset875,dataset573,dataset162
dataset387,dataset772,dataset784,dataset976
dataset715,dataset813,dataset411,dataset436
dataset487,dataset756,dataset880,dataset891
dataset240,dataset621,dataset998,dataset822
dataset653,dataset802,dataset5,dataset882
dataset702,dataset66,dataset345,dataset92
dataset160,dataset187,dataset267,dataset465
dataset897,dataset645,dataset904,dataset349
dataset893,dataset631,dataset959,dataset228
dataset307,dataset288,dataset368,dataset961
dataset773,dataset266,dataset84,dataset238
dataset790,dataset530,dataset82,dataset611
dataset674,dataset26,dataset728,dataset41
dataset666,dataset659,dataset777,dataset936
dataset985,dataset334,dataset450,dataset855
dataset477,dataset455,dataset290,dataset489
dataset765,dataset254,dataset101,dataset55
dataset359,dataset90,dataset899,dataset8
dataset958,dataset846,dataset461,dataset276
dataset502,dataset100,dataset522,dataset589
dataset421,dataset354,dataset393,dataset627
dataset896,dataset472,dataset979,dataset701
dataset637,dataset209,dataset301,dataset202
dataset248,dataset260,dataset226,dataset698
dataset333,dataset500,dataset575,dataset547
dataset237,dataset655,dataset832,dataset661
dataset552,dataset97,dataset294,dataset929
dataset496,dataset671,dataset256,dataset620
dataset751,dataset390,dataset176,dataset230
dataset618,dataset622,dataset102,dataset667
dataset186,dataset476,dataset14,dataset318
dataset172,dataset839,dataset656,dataset693
dataset4,dataset153,dataset91,dataset25
dataset392,dataset396,dataset606,dataset903
dataset838,dataset39,dataset355,dataset676
dataset433,dataset264,dataset951,dataset323
dataset672,dataset196,dataset823,dataset877
dataset673,dataset996,dataset761,dataset193
dataset583,dataset175,dataset149,dataset520
dataset44,dataset23,dataset531,dataset143
dataset370,dataset308,dataset587,dataset418
dataset72,dataset540,dataset833,dataset509
dataset861,dataset468,dataset853,dataset120
dataset166,dataset525,dataset114,dataset65
dataset845,dataset30,dataset971,dataset905
dataset848,dataset900,dataset269,dataset981
