material1,material2,material3,material4
dataset985,dataset10,dataset595,dataset468
dataset556,dataset331,dataset277,dataset873
dataset743,dataset808,dataset124,dataset84
dataset452,dataset613,dataset811,dataset160
dataset247,dataset395,dataset271,dataset782
dataset239,dataset218,dataset998,dataset503
dataset928,dataset977,dataset362,dataset586
dataset995,dataset723,dataset245,dataset719
dataset630,dataset263,dataset712,dataset881
dataset388,dataset161,dataset329,dataset222
dataset451,dataset209,dataset334,dataset507
dataset246,dataset18,dataset759,dataset438
dataset86,dataset305,dataset911,dataset962
dataset40,dataset296,dataset728,dataset605
dataset77,dataset107,dataset401,dataset667
dataset52,dataset447,dataset170,dataset134
dataset590,dataset701,dataset582,dataset817
dataset793,dataset651,dataset774,dataset703
dataset907,dataset803,dataset33,dataset944
dataset70,dataset564,dataset938,dataset505
dataset379,dataset885,dataset414,dataset210
dataset183,dataset668,dataset483,dataset422
dataset297,dataset60,dataset433,dataset993
dataset886,dataset566,dataset13,dataset814
dataset291,dataset304,dataset690,dataset213
dataset798,dataset237,dataset915,dataset639
dataset696,dataset348,dataset425,dataset207
dataset112,dataset64,dataset647,dataset512
dataset396,dataset823,dataset677,dataset266
dataset144,dataset585,dataset952,dataset891
dataset593,dataset47,dataset532,dataset174
dataset676,dataset685,dataset352,dataset59
dataset175,dataset190,dataset686,dataset186
dataset413,dataset427,dataset835,dataset71
dataset391,dataset73,dataset571,dataset625
dataset788,dataset79,dataset36,dataset407
dataset695,dataset392,dataset178,dataset493
dataset806,dataset542,dataset710,dataset752
dataset877,dataset142,dataset270,dataset368
dataset428,dataset273,dataset90,dataset908
dataset120,dataset844,dataset459,dataset494
dataset753,dataset191,dataset562,dataset324
dataset323,dataset185,dataset833,dataset961
dataset660,dataset372,dataset83,dataset592
dataset790,dataset930,dataset510,dataset179
dataset984,dataset815,dataset288,dataset456
dataset409,dataset561,dataset809,dataset526
dataset15,dataset122,dataset600,dataset376
dataset882,dataset897,dataset691,dataset105
dataset465,dataset894,dataset34,dataset380
dataset805,dataset65,dataset679,dataset584
dataset828,dataset780,dataset700,dataset76
dataset340,dataset240,dataset643,dataset932
dataset963,dataset87,dataset330,dataset341
dataset249,dataset682,dataset136,dataset192
dataset9,dataset555,dataset212,dataset137
dataset256,dataset520,dataset289,dataset912
dataset275,dataset399,dataset715,dataset278
dataset716,dataset356,dataset458,dataset832
dataset536,dataset103,dataset615,dataset394
dataset939,dataset955,dataset951,dataset617
dataset732,dataset868,dataset497,dataset663
dataset261,dataset862,dataset325,dataset27
dataset72,dataset934,dataset608,dataset349
dataset307,dataset232,dataset771,dataset628
dataset457,dataset499,dataset904,dataset804
dataset441,dataset837,dataset648,dataset513
dataset302,dataset361,dataset988,dataset406
dataset800,dataset876,dataset49,dataset606
dataset62,dataset252,dataset669,dataset890
dataset656,dataset490,dataset162,dataset501
dataset54,dataset315,dataset198,dataset992
dataset953,dataset599,dataset473,dataset713
dataset259,dataset960,dataset176,dataset926
dataset518,dataset365,dataset572,dataset50
dataset165,dataset227,dataset171,dataset8
dataset39,dataset318,dataset123,dataset839
dataset699,dataset567,dataset858,dataset321
dataset228,dataset357,dataset219,dataset763
dataset487,dataset359,dataset264,dataset884
dataset673,dataset919,dataset98,dataset799
dataset314,dataset670,dataset609,dataset822
dataset987,dataset687,dataset551,dataset472
dataset783,dataset929,dataset481,dataset418
dataset970,dataset139,dataset316,dataset941
dataset293,dataset920,dataset646,dataset265
dataset861,dataset661,dataset776,dataset149
dataset88,dataset386,dataset893,dataset923
dataset148,dataset579,dataset618,dataset996
dataset337,dataset819,dataset301,dataset570
dataset664,dataset69,dataset119,dataset116
dataset202,dataset220,dataset847,dataset846
dataset272,dataset874,dataset627,dataset681
dataset997,dataset285,dataset954,dataset437
dataset313,dataset528,dataset602,dataset282
dataset848,dataset3,dataset248,dataset109
dataset975,dataset757,dataset436,dataset111
dataset80,dataset956,dataset540,dataset241
dataset398,dataset279,dataset89,dataset435
dataset772,dataset742,dataset638,dataset517
dataset633,dataset377,dataset114,dataset552
dataset657,dataset53,dataset258,dataset649
dataset411,dataset108,dataset642,dataset100
dataset711,dataset539,dataset601,dataset569
dataset150,dataset55,dataset383,dataset476
dataset936,dataset751,dataset922,dataset335
dataset714,dataset964,dataset251,dataset722
dataset761,dataset419,dataset484,dataset128
dataset558,dataset159,dataset390,dataset658
dataset637,dataset794,dataset199,dataset898
dataset141,dataset565,dataset779,dataset286
dataset110,dataset863,dataset381,dataset910
dataset568,dataset180,dataset85,dataset591
dataset30,dataset744,dataset19,dataset262
dataset200,dataset999,dataset913,dataset327
dataset849,dataset26,dataset169,dataset972
dataset778,dataset416,dataset44,dataset163
dataset887,dataset371,dataset158,dataset230
dataset450,dataset156,dataset717,dataset489
dataset870,dataset581,dataset813,dataset182
dataset509,dataset132,dataset7,dataset430
dataset405,dataset741,dataset515,dataset462
dataset756,dataset749,dataset229,dataset976
dataset957,dataset460,dataset360,dataset746
dataset506,dataset133,dataset491,dataset118
dataset444,dataset854,dataset640,dataset965
dataset187,dataset623,dataset367,dataset299
dataset193,dataset547,dataset607,dataset612
dataset853,dataset298,dataset1,dataset0
dataset309,dataset25,dataset46,dataset736
dataset374,dataset545,dataset588,dataset680
dataset739,dataset113,dataset791,dataset705
dataset375,dataset184,dataset244,dataset671
dataset226,dataset253,dataset768,dataset748
dataset968,dataset969,dataset905,dataset498
dataset205,dataset755,dataset254,dataset204
