material1,material2,material3,material4
dataset547,dataset662,dataset555,dataset521
dataset758,dataset327,dataset172,dataset878
dataset148,dataset829,dataset135,dataset53
dataset187,dataset99,dataset802,dataset687
dataset991,dataset949,dataset530,dataset572
dataset897,dataset692,dataset607,dataset880
dataset277,dataset936,dataset686,dataset128
dataset304,dataset992,dataset822,dataset289
dataset884,dataset927,dataset276,dataset748
dataset292,dataset928,dataset551,dataset785
dataset266,dataset484,dataset298,dataset71
dataset993,dataset318,dataset906,dataset305
dataset273,dataset476,dataset892,dataset80
dataset597,dataset809,dataset920,dataset141
dataset666,dataset219,dataset52,dataset792
dataset894,dataset450,dataset781,dataset490
dataset145,dataset865,dataset426,dataset238
dataset579,dataset15,dataset628,dataset234
dataset688,dataset213,dataset823,dataset267
dataset763,dataset916,dataset16,dataset841
dataset654,dataset479,dataset209,dataset765
dataset258,dataset261,dataset761,dataset507
dataset857,dataset291,dataset67,dataset921
dataset346,dataset233,dataset74,dataset637
dataset722,dataset491,dataset204,dataset363
dataset887,dataset915,dataset339,dataset173
dataset890,dataset199,dataset121,dataset436
dataset332,dataset470,dataset622,dataset201
dataset419,dataset800,dataset661,dataset871
dataset157,dataset51,dataset323,dataset133
dataset593,dataset378,dataset338,dataset543
dataset424,dataset624,dataset658,dataset379
dataset418,dataset177,dataset644,dataset178
dataset390,dataset727,dataset111,dataset380
dataset568,dataset738,dataset601,dataset664
dataset262,dataset217,dataset427,dataset808
dataset483,dataset500,dataset147,dataset621
dataset226,dataset999,dataset404,dataset475
dataset814,dataset437,dataset473,dataset615
dataset2,dataset835,dataset577,dataset672
dataset387,dataset972,dataset315,dataset360
dataset449,dataset407,dataset976,dataset557
dataset625,dataset544,dataset33,dataset214
dataset925,dataset919,dataset896,dataset253
dataset336,dataset210,dataset193,dataset353
dataset97,dataset114,dataset12,dataset43
dataset454,dataset757,dataset962,dataset603
dataset376,dataset502,dataset302,dataset425
dataset834,dataset859,dataset717,dataset408
dataset750,dataset307,dataset20,dataset742
dataset272,dataset68,dataset164,dataset913
dataset382,dataset667,dataset945,dataset115
dataset350,dataset596,dataset245,dataset556
dataset106,dataset804,dataset964,dataset973
dataset899,dataset171,dataset59,dataset243
dataset675,dataset154,dataset810,dataset84
dataset944,dataset532,dataset754,dataset719
dataset838,dataset794,dataset729,dataset755
dataset341,dataset779,dataset474,dataset840
dataset504,dataset617,dataset223,dataset255
dataset732,dataset712,dataset230,dataset161
dataset584,dataset452,dataset58,dataset203
dataset492,dataset104,dataset480,dataset239
dataset910,dataset406,dataset41,dataset888
dataset351,dataset941,dataset861,dataset895
dataset600,dataset977,dataset881,dataset429
dataset570,dataset668,dataset248,dataset980
dataset942,dataset146,dataset251,dataset679
dataset32,dataset518,dataset591,dataset512
dataset833,dataset297,dataset740,dataset242
dataset768,dataset645,dataset657,dataset746
dataset780,dataset674,dataset586,dataset995
dataset877,dataset383,dataset494,dataset663
dataset414,dataset803,dataset839,dataset169
dataset463,dataset730,dataset499,dataset986
dataset528,dataset523,dataset541,dataset314
dataset112,dataset392,dataset580,dataset602
dataset92,dataset232,dataset842,dataset457
dataset623,dataset525,dataset909,dataset431
dataset384,dataset168,dataset345,dataset451
dataset347,dataset816,dataset174,dataset715
dataset633,dataset959,dataset581,dataset215
dataset509,dataset940,dataset818,dataset405
dataset560,dataset3,dataset70,dataset268
dataset264,dataset937,dataset354,dataset132
dataset66,dataset827,dataset501,dataset592
dataset705,dataset395,dataset631,dataset331
dataset981,dataset194,dataset922,dataset772
dataset851,dataset337,dataset706,dataset44
dataset595,dataset432,dataset35,dataset553
dataset769,dataset45,dataset300,dataset737
dataset434,dataset961,dataset335,dataset605
dataset283,dataset903,dataset460,dataset151
dataset125,dataset564,dataset718,dataset478
dataset444,dataset863,dataset968,dataset394
dataset731,dataset433,dataset362,dataset699
dataset495,dataset694,dataset988,dataset241
dataset966,dataset812,dataset211,dataset696
dataset914,dataset954,dataset608,dataset931
dataset996,dataset175,dataset369,dataset252
dataset813,dataset163,dataset939,dataset65
dataset361,dataset795,dataset218,dataset372
dataset853,dataset777,dataset271,dataset319
dataset107,dataset388,dataset130,dataset330
dataset723,dataset126,dataset280,dataset56
dataset647,dataset200,dataset898,dataset22
dataset820,dataset348,dataset685,dataset875
dataset294,dataset923,dataset430,dataset703
dataset860,dataset538,dataset385,dataset466
dataset206,dataset316,dataset186,dataset488
dataset720,dataset629,dataset784,dataset140
dataset365,dataset989,dataset127,dataset535
dataset844,dataset778,dataset310,dataset879
dataset109,dataset195,dataset18,dataset295
dataset524,dataset782,dataset567,dataset831
dataset707,dataset724,dataset505,dataset352
dataset0,dataset836,dataset864,dataset462
dataset456,dataset676,dataset933,dataset858
dataset260,dataset76,dataset554,dataset659
dataset29,dataset604,dataset49,dataset929
dataset519,dataset34,dataset573,dataset85
dataset649,dataset282,dataset73,dataset594
dataset402,dataset23,dataset150,dataset417
dataset138,dataset790,dataset701,dataset312
dataset453,dataset957,dataset767,dataset728
dataset257,dataset188,dataset64,dataset678
dataset182,dataset373,dataset849,dataset411
dataset487,dataset155,dataset90,dataset14
dataset969,dataset760,dataset563,dataset653
dataset828,dataset824,dataset815,dataset469
dataset788,dataset626,dataset725,dataset149
dataset889,dataset539,dataset410,dataset317
dataset548,dataset514,dataset39,dataset900
dataset598,dataset367,dataset375,dataset77
dataset72,dataset847,dataset904,dataset870
dataset113,dataset183,dataset313,dataset189
dataset545,dataset918,dataset236,dataset368
dataset635,dataset170,dataset325,dataset640
dataset565,dataset60,dataset139,dataset116
dataset250,dataset531,dataset440,dataset620
dataset343,dataset735,dataset467,dataset9
dataset423,dataset422,dataset357,dataset42
dataset69,dataset726,dataset850,dataset366
dataset651,dataset21,dataset358,dataset293
dataset713,dataset435,dataset874,dataset846
dataset882,dataset771,dataset270,dataset950
dataset320,dataset708,dataset100,dataset131
dataset19,dataset529,dataset951,dataset974
dataset86,dataset807,dataset446,dataset886
dataset632,dataset28,dataset956,dataset783
dataset955,dataset868,dataset612,dataset811
dataset443,dataset958,dataset537,dataset506
dataset94,dataset786,dataset885,dataset990
dataset883,dataset445,dataset669,dataset246
dataset536,dataset606,dataset279,dataset129
dataset585,dataset716,dataset269,dataset118
dataset574,dataset167,dataset496,dataset202
dataset582,dataset102,dataset184,dataset697
dataset902,dataset447,dataset227,dataset549
dataset482,dataset326,dataset638,dataset714
dataset87,dataset984,dataset583,dataset397
dataset522,dataset642,dataset485,dataset6
dataset166,dataset587,dataset830,dataset641
dataset994,dataset486,dataset747,dataset458
dataset120,dataset848,dataset872,dataset441
dataset511,dataset806,dataset970,dataset826
dataset682,dataset137,dataset455,dataset550
dataset671,dataset546,dataset510,dataset805
dataset673,dataset762,dataset105,dataset259
dataset739,dataset618,dataset527,dataset948
dataset540,dataset468,dataset391,dataset263
dataset296,dataset542,dataset159,dataset8
dataset588,dataset82,dataset819,dataset63
dataset558,dataset689,dataset110,dataset987
dataset17,dataset845,dataset254,dataset27
dataset465,dataset749,dataset869,dataset123
dataset907,dataset192,dataset571,dataset798
dataset967,dataset751,dataset275,dataset817
dataset24,dataset985,dataset50,dataset866
dataset396,dataset78,dataset409,dataset328
dataset448,dataset235,dataset83,dataset26
dataset333,dataset589,dataset710,dataset179
dataset57,dataset13,dataset1,dataset934
dataset37,dataset616,dataset322,dataset152
dataset38,dataset559,dataset117,dataset344
dataset285,dataset413,dataset156,dataset205
dataset971,dataset153,dataset477,dataset619
dataset627,dataset198,dataset256,dataset229
dataset634,dataset377,dataset158,dataset54
dataset636,dataset461,dataset952,dataset704
dataset690,dataset165,dataset290,dataset652
dataset374,dataset190,dataset562,dataset561
dataset513,dataset867,dataset244,dataset793
dataset191,dataset364,dataset681,dataset284
dataset744,dataset222,dataset797,dataset224
dataset185,dataset81,dataset873,dataset359
dataset459,dataset856,dataset47,dataset303
dataset11,dataset693,dataset88,dataset308
dataset983,dataset508,dataset398,dataset789
dataset306,dataset265,dataset416,dataset997
dataset660,dataset752,dataset31,dataset680
dataset938,dataset46,dataset216,dataset943
dataset741,dataset176,dataset590,dataset843
dataset801,dataset220,dataset321,dataset648
dataset228,dataset370,dataset108,dataset975
dataset299,dataset196,dataset982,dataset926
dataset611,dataset924,dataset702,dataset95
dataset421,dataset998,dataset901,dataset821
dataset791,dataset180,dataset743,dataset237
dataset576,dataset578,dataset40,dataset837
dataset25,dataset609,dataset912,dataset930
dataset415,dataset947,dataset48,dataset893
dataset736,dataset136,dataset208,dataset575
dataset776,dataset630,dataset520,dataset93
dataset278,dataset356,dataset122,dataset599
dataset119,dataset932,dataset775,dataset515
dataset684,dataset709,dataset745,dataset134
dataset799,dataset288,dataset655,dataset464
dataset428,dataset144,dataset764,dataset774
dataset498,dataset91,dataset349,dataset613
dataset5,dataset75,dataset249,dataset516
dataset10,dataset403,dataset471,dataset534
dataset698,dataset700,dataset401,dataset695
dataset442,dataset908,dataset400,dataset677
dataset566,dataset309,dataset61,dataset721
dataset281,dataset533,dataset36,dataset412
dataset286,dataset7,dataset342,dataset670
dataset614,dataset287,dataset386,dataset472
dataset876,dataset960,dataset665,dataset766
dataset683,dataset691,dataset247,dataset62
dataset862,dataset656,dataset30,dataset650
dataset787,dataset124,dataset526,dataset497
dataset324,dataset832,dataset89,dataset96
dataset4,dataset852,dataset399,dataset759
dataset963,dataset953,dataset55,dataset389
dataset796,dataset711,dataset979,dataset734
dataset212,dataset197,dataset329,dataset855
dataset101,dataset481,dataset773,dataset221
dataset181,dataset965,dataset911,dataset517
dataset393,dataset917,dataset646,dataset753
dataset643,dataset381,dataset160,dataset438
dataset142,dataset311,dataset143,dataset935
dataset231,dataset274,dataset493,dataset978
dataset371,dataset334,dataset610,dataset240
dataset79,dataset225,dataset733,dataset439
dataset489,dataset355,dataset103,dataset503
dataset946,dataset301,dataset207,dataset825
dataset552,dataset756,dataset420,dataset905
dataset340,dataset891,dataset98,dataset639
dataset569,dataset854,dataset770,dataset162
