material1,material2,material3,material4
dataset728,dataset288,dataset953,dataset158
dataset597,dataset285,dataset117,dataset733
dataset413,dataset373,dataset951,dataset870
dataset850,dataset496,dataset987,dataset458
dataset825,dataset202,dataset615,dataset254
dataset71,dataset759,dataset334,dataset224
dataset778,dataset269,dataset36,dataset228
dataset173,dataset423,dataset591,dataset881
dataset773,dataset166,dataset934,dataset400
dataset852,dataset748,dataset729,dataset292
dataset827,dataset68,dataset742,dataset190
dataset48,dataset885,dataset331,dataset932
dataset692,dataset982,dataset751,dataset912
dataset226,dataset323,dataset565,dataset342
dataset668,dataset841,dataset510,dataset462
dataset183,dataset548,dataset941,dataset539
dataset424,dataset10,dataset507,dataset835
dataset915,dataset47,dataset338,dataset644
dataset972,dataset151,dataset824,dataset30
dataset51,dataset577,dataset958,dataset262
dataset416,dataset237,dataset789,dataset28
dataset537,dataset316,dataset556,dataset666
dataset820,dataset177,dataset845,dataset883
dataset429,dataset816,dataset12,dataset504
dataset324,dataset764,dataset6,dataset554
dataset116,dataset258,dataset949,dataset175
dataset185,dataset922,dataset882,dataset318
dataset642,dataset731,dataset545,dataset270
dataset352,dataset232,dataset625,dataset178
dataset776,dataset486,dataset836,dataset526
dataset76,dataset793,dataset662,dataset805
dataset727,dataset527,dataset448,dataset895
dataset894,dataset63,dataset697,dataset812
dataset197,dataset466,dataset483,dataset165
dataset530,dataset701,dataset470,dataset999
dataset645,dataset923,dataset867,dataset679
dataset992,dataset445,dataset172,dataset755
dataset461,dataset543,dataset17,dataset129
dataset67,dataset326,dataset411,dataset960
dataset991,dataset134,dataset551,dataset884
dataset221,dataset81,dataset85,dataset790
dataset385,dataset689,dataset370,dataset851
dataset372,dataset362,dataset441,dataset300
dataset45,dataset127,dataset606,dataset708
dataset108,dataset854,dataset616,dataset518
dataset384,dataset791,dataset853,dataset626
dataset842,dataset861,dataset795,dataset624
dataset93,dataset902,dataset909,dataset608
dataset587,dataset979,dataset801,dataset248
dataset246,dataset207,dataset391,dataset376
dataset62,dataset676,dataset336,dataset104
dataset152,dataset943,dataset77,dataset456
dataset91,dataset744,dataset980,dataset42
dataset965,dataset777,dataset767,dataset247
dataset33,dataset807,dataset365,dataset218
dataset513,dataset961,dataset312,dataset783
dataset309,dataset145,dataset505,dataset169
dataset126,dataset444,dataset685,dataset509
dataset464,dataset375,dataset216,dataset153
dataset199,dataset366,dataset284,dataset839
dataset600,dataset31,dataset163,dataset550
dataset139,dataset66,dataset818,dataset9
dataset138,dataset1,dataset532,dataset215
dataset412,dataset39,dataset533,dataset984
dataset544,dataset115,dataset242,dataset498
dataset901,dataset206,dataset719,dataset24
dataset579,dataset710,dataset72,dataset785
dataset266,dataset682,dataset721,dataset888
dataset665,dataset347,dataset855,dataset781
dataset188,dataset952,dataset454,dataset34
dataset862,dataset203,dataset828,dataset88
dataset191,dataset275,dataset857,dataset761
dataset356,dataset317,dataset22,dataset154
dataset974,dataset578,dataset629,dataset295
dataset485,dataset422,dataset473,dataset35
dataset525,dataset986,dataset78,dataset374
dataset402,dataset123,dataset283,dataset722
dataset29,dataset917,dataset678,dataset164
dataset868,dataset512,dataset995,dataset14
dataset946,dataset844,dataset994,dataset634
dataset267,dataset771,dataset141,dataset595
dataset876,dataset829,dataset220,dataset231
dataset2,dataset957,dataset65,dataset99
dataset320,dataset89,dataset491,dataset515
dataset718,dataset325,dataset393,dataset534
dataset322,dataset910,dataset810,dataset643
dataset15,dataset150,dataset832,dataset588
dataset725,dataset383,dataset301,dataset631
dataset684,dataset938,dataset16,dataset927
dataset962,dataset252,dataset328,dataset779
dataset954,dataset871,dataset632,dataset46
dataset433,dataset219,dataset315,dataset859
dataset452,dataset59,dataset217,dataset942
dataset918,dataset476,dataset106,dataset90
dataset193,dataset401,dataset806,dataset968
dataset815,dataset274,dataset900,dataset522
dataset21,dataset538,dataset711,dataset506
dataset924,dataset903,dataset146,dataset492
dataset371,dataset308,dataset717,dataset499
dataset654,dataset109,dataset623,dataset630
dataset572,dataset680,dataset675,dataset211
dataset278,dataset354,dataset713,dataset570
dataset628,dataset864,dataset674,dataset430
dataset147,dataset490,dataset652,dataset913
dataset455,dataset575,dataset690,dataset585
dataset378,dataset715,dataset956,dataset493
dataset552,dataset745,dataset437,dataset431
dataset212,dataset286,dataset758,dataset967
dataset351,dataset27,dataset977,dataset156
dataset569,dataset740,dataset660,dataset617
dataset37,dataset302,dataset436,dataset929
dataset459,dataset706,dataset189,dataset612
dataset904,dataset619,dataset290,dataset210
dataset0,dataset863,dataset890,dataset98
dataset194,dataset69,dataset919,dataset170
dataset753,dataset477,dataset705,dataset398
dataset985,dataset699,dataset44,dataset359
dataset159,dataset564,dataset101,dataset955
dataset119,dataset236,dataset408,dataset425
dataset567,dataset481,dataset838,dataset651
dataset637,dataset730,dataset905,dataset529
dataset440,dataset340,dataset368,dataset916
dataset353,dataset235,dataset921,dataset294
dataset367,dataset293,dataset364,dataset187
dataset343,dataset438,dataset519,dataset688
dataset788,dataset282,dataset271,dataset479
dataset887,dataset737,dataset752,dataset57
dataset124,dataset349,dataset52,dataset603
dataset428,dataset55,dataset451,dataset817
dataset809,dataset297,dataset488,dataset361
dataset948,dataset140,dataset656,dataset405
dataset227,dataset250,dataset542,dataset3
dataset669,dataset664,dataset983,dataset661
dataset878,dataset348,dataset264,dataset993
dataset808,dataset50,dataset79,dataset503
dataset933,dataset20,dataset465,dataset56
dataset296,dataset204,dataset799,dataset305
dataset417,dataset447,dataset346,dataset907
dataset823,dataset149,dataset245,dataset13
dataset386,dataset186,dataset622,dataset332
dataset658,dataset978,dataset467,dataset241
dataset574,dataset407,dataset667,dataset287
dataset834,dataset926,dataset508,dataset330
dataset70,dataset562,dataset756,dataset369
dataset306,dataset350,dataset535,dataset694
dataset638,dataset208,dataset963,dataset583
dataset593,dataset582,dataset8,dataset673
dataset192,dataset148,dataset265,dataset523
dataset161,dataset137,dataset649,dataset251
dataset457,dataset253,dataset531,dataset620
dataset487,dataset489,dataset480,dataset299
dataset672,dataset794,dataset450,dataset277
dataset566,dataset602,dataset874,dataset54
dataset775,dataset702,dataset613,dataset122
dataset663,dataset563,dataset973,dataset826
dataset726,dataset420,dataset898,dataset641
dataset358,dataset763,dataset536,dataset4
dataset798,dataset142,dataset657,dataset814
dataset313,dataset889,dataset899,dataset873
dataset596,dataset363,dataset716,dataset947
dataset687,dataset392,dataset865,dataset225
dataset936,dataset155,dataset114,dataset61
dataset735,dataset931,dataset757,dataset209
dataset696,dataset601,dataset74,dataset259
dataset49,dataset586,dataset636,dataset869
dataset734,dataset831,dataset655,dataset511
dataset621,dataset84,dataset618,dataset975
dataset97,dataset677,dataset389,dataset633
dataset261,dataset671,dataset590,dataset255
dataset390,dataset239,dataset846,dataset176
dataset96,dataset610,dataset517,dataset811
dataset319,dataset82,dataset468,dataset243
dataset691,dataset112,dataset746,dataset573
dataset607,dataset222,dataset821,dataset700
dataset32,dataset41,dataset162,dataset100
dataset244,dataset478,dataset739,dataset201
dataset906,dataset64,dataset703,dataset404
dataset414,dataset704,dataset966,dataset102
dataset840,dataset971,dataset223,dataset339
dataset195,dataset723,dataset291,dataset23
dataset474,dataset58,dataset782,dataset132
dataset686,dataset196,dataset484,dataset547
