material1,material2,material3,material4
dataset908,dataset949,dataset607,dataset62
dataset631,dataset838,dataset378,dataset302
dataset4,dataset289,dataset67,dataset109
dataset573,dataset983,dataset318,dataset750
dataset197,dataset117,dataset643,dataset5
dataset952,dataset973,dataset704,dataset504
dataset227,dataset551,dataset531,dataset904
dataset791,dataset670,dataset209,dataset530
dataset965,dataset296,dataset871,dataset129
dataset706,dataset732,dataset673,dataset723
dataset342,dataset169,dataset916,dataset540
dataset797,dataset510,dataset335,dataset214
dataset502,dataset26,dataset818,dataset767
dataset10,dataset789,dataset299,dataset537
dataset16,dataset384,dataset915,dataset60
dataset739,dataset626,dataset503,dataset624
dataset971,dataset371,dataset230,dataset354
dataset383,dataset358,dataset663,dataset113
dataset83,dataset518,dataset280,dataset970
dataset634,dataset942,dataset637,dataset515
dataset930,dataset70,dataset419,dataset162
dataset906,dataset548,dataset841,dataset142
dataset837,dataset481,dataset372,dataset133
dataset281,dataset432,dataset529,dataset592
dataset950,dataset38,dataset754,dataset586
dataset420,dataset819,dataset499,dataset931
dataset714,dataset179,dataset914,dataset994
dataset413,dataset734,dataset988,dataset669
dataset861,dataset277,dataset700,dataset462
dataset196,dataset678,dataset64,dataset987
dataset497,dataset867,dataset157,dataset786
dataset821,dataset225,dataset375,dataset6
dataset756,dataset261,dataset671,dataset452
dataset464,dataset188,dataset48,dataset951
dataset195,dataset900,dataset672,dataset390
dataset556,dataset570,dataset654,dataset379
dataset935,dataset101,dataset366,dataset409
dataset955,dataset2,dataset940,dataset620
dataset964,dataset996,dataset753,dataset549
dataset505,dataset868,dataset771,dataset90
dataset909,dataset584,dataset811,dataset283
dataset913,dataset595,dataset465,dataset907
dataset766,dataset831,dataset772,dataset876
dataset429,dataset883,dataset473,dataset154
dataset51,dataset120,dataset30,dataset963
dataset936,dataset972,dataset709,dataset272
dataset740,dataset849,dataset163,dataset925
dataset947,dataset439,dataset822,dataset869
dataset612,dataset958,dataset42,dataset237
dataset346,dataset801,dataset374,dataset506
dataset404,dataset80,dataset757,dataset921
dataset561,dataset710,dataset467,dataset990
dataset598,dataset805,dataset410,dataset645
dataset890,dataset458,dataset430,dataset674
dataset810,dataset613,dataset779,dataset190
dataset364,dataset186,dataset57,dataset59
dataset112,dataset887,dataset694,dataset428
dataset666,dataset912,dataset892,dataset446
dataset825,dataset442,dataset679,dataset774
dataset782,dataset803,dataset469,dataset213
dataset833,dataset792,dataset391,dataset206
dataset698,dataset459,dataset521,dataset642
dataset581,dataset884,dataset13,dataset218
dataset967,dataset986,dataset207,dataset119
dataset329,dataset323,dataset52,dataset348
dataset490,dataset327,dataset850,dataset873
dataset416,dataset602,dataset431,dataset773
dataset919,dataset683,dataset340,dataset638
dataset668,dataset533,dataset888,dataset161
dataset8,dataset569,dataset286,dataset798
dataset98,dataset300,dataset795,dataset596
dataset268,dataset216,dataset675,dataset623
dataset676,dataset588,dataset768,dataset941
dataset541,dataset980,dataset330,dataset829
dataset222,dataset718,dataset519,dataset933
dataset636,dataset621,dataset320,dataset881
dataset75,dataset182,dataset412,dataset87
dataset526,dataset73,dataset210,dataset352
dataset796,dataset99,dataset189,dataset11
dataset138,dataset508,dataset47,dataset875
dataset92,dataset619,dataset737,dataset35
dataset343,dataset567,dataset629,dataset223
dataset553,dataset56,dataset367,dataset15
dataset234,dataset147,dataset116,dataset865
dataset69,dataset121,dataset516,dataset127
dataset614,dataset310,dataset751,dataset938
dataset1,dataset743,dataset776,dataset944
dataset641,dataset957,dataset443,dataset547
dataset544,dataset929,dataset104,dataset557
dataset77,dataset659,dataset552,dataset716
dataset752,dataset562,dataset84,dataset903
dataset242,dataset785,dataset864,dataset728
dataset194,dataset527,dataset436,dataset616
dataset376,dataset208,dataset720,dataset532
dataset44,dataset969,dataset7,dataset943
dataset265,dataset761,dataset17,dataset435
dataset63,dataset351,dataset685,dataset632
dataset559,dataset97,dataset297,dataset778
dataset387,dataset172,dataset349,dataset517
dataset282,dataset29,dataset635,dataset482
dataset460,dataset866,dataset891,dataset775
dataset395,dataset235,dataset174,dataset252
dataset770,dataset657,dataset470,dataset633
dataset609,dataset885,dataset167,dataset224
dataset695,dataset842,dataset491,dataset857
dataset954,dataset28,dataset788,dataset998
dataset108,dataset836,dataset229,dataset501
dataset991,dataset577,dataset804,dataset146
dataset724,dataset319,dataset58,dataset981
dataset100,dataset250,dataset78,dataset604
dataset373,dataset777,dataset50,dataset247
dataset263,dataset845,dataset158,dataset820
dataset159,dataset579,dataset928,dataset152
dataset106,dataset156,dataset392,dataset762
dataset256,dataset217,dataset477,dataset948
dataset76,dataset0,dataset895,dataset880
dataset411,dataset135,dataset180,dataset276
dataset809,dataset835,dataset307,dataset114
dataset40,dataset81,dataset191,dataset405
dataset360,dataset46,dataset326,dataset520
dataset475,dataset211,dataset403,dataset535
dataset852,dataset882,dataset233,dataset993
dataset450,dataset611,dataset755,dataset417
dataset802,dataset270,dataset124,dataset978
dataset610,dataset644,dataset426,dataset204
dataset662,dataset571,dataset902,dataset783
dataset844,dataset353,dataset177,dataset398
dataset292,dataset45,dataset910,dataset722
dataset576,dataset151,dataset507,dataset91
dataset984,dataset927,dataset241,dataset538
dataset9,dataset956,dataset879,dataset423
dataset427,dataset291,dataset582,dataset110
dataset454,dataset918,dataset422,dataset164
dataset524,dataset447,dataset959,dataset19
dataset730,dataset539,dataset684,dataset962
dataset894,dataset259,dataset578,dataset266
dataset54,dataset830,dataset961,dataset305
dataset701,dataset331,dataset220,dataset356
dataset937,dataset834,dataset590,dataset708
dataset627,dataset171,dataset687,dataset653
dataset425,dataset982,dataset826,dataset651
dataset946,dataset287,dataset232,dataset483
dataset555,dataset764,dataset843,dataset304
dataset713,dataset369,dataset646,dataset566
dataset605,dataset14,dataset461,dataset655
dataset317,dataset534,dataset72,dataset306
dataset486,dataset840,dataset31,dataset466
dataset823,dataset703,dataset193,dataset924
dataset813,dataset817,dataset650,dataset480
dataset953,dataset274,dataset689,dataset298
dataset975,dataset400,dataset448,dataset640
dataset911,dataset18,dataset347,dataset294
dataset744,dataset41,dataset187,dataset150
dataset185,dataset923,dataset25,dataset238
dataset175,dataset295,dataset889,dataset201
dataset61,dataset681,dataset513,dataset449
dataset920,dataset705,dataset463,dataset702
dataset660,dataset269,dataset132,dataset608
dataset688,dataset707,dataset859,dataset603
dataset800,dataset738,dataset989,dataset316
dataset71,dataset236,dataset759,dataset476
dataset494,dataset338,dataset745,dataset727
dataset729,dataset103,dataset27,dataset12
dataset68,dataset65,dataset749,dataset492
dataset496,dataset312,dataset485,dataset854
dataset131,dataset565,dataset665,dataset96
dataset24,dataset334,dataset336,dataset932
dataset93,dataset692,dataset253,dataset199
dataset893,dataset858,dataset824,dataset148
dataset856,dataset543,dataset202,dataset939
dataset79,dataset699,dataset863,dataset814
dataset806,dataset82,dataset457,dataset140
dataset855,dataset851,dataset680,dataset917
dataset966,dataset725,dataset500,dataset231
dataset992,dataset615,dataset606,dataset328
dataset832,dataset32,dataset794,dataset580
dataset960,dataset790,dataset111,dataset511
dataset20,dataset341,dataset245,dataset667
dataset255,dataset205,dataset440,dataset597
dataset661,dataset877,dataset22,dataset453
dataset258,dataset897,dataset905,dataset441
dataset522,dataset781,dataset309,dataset736
dataset812,dataset293,dataset711,dataset478
dataset784,dataset542,dataset315,dataset618
