material1,material2,material3,material4
dataset121,dataset8385,dataset7679,dataset5578
dataset6827,dataset8160,dataset6498,dataset7260
dataset1764,dataset3861,dataset5980,dataset7790
dataset4673,dataset9105,dataset7039,dataset6148
dataset5343,dataset2907,dataset3276,dataset9406
dataset9680,dataset554,dataset7308,dataset902
dataset5958,dataset5369,dataset4789,dataset1725
dataset2638,dataset579,dataset5391,dataset8910
dataset8915,dataset7328,dataset8128,dataset4513
dataset7936,dataset8210,dataset2397,dataset9772
dataset7858,dataset5333,dataset1967,dataset3266
dataset5056,dataset6972,dataset959,dataset9524
dataset9376,dataset7194,dataset5064,dataset729
dataset6665,dataset212,dataset3100,dataset2357
dataset2985,dataset3101,dataset6065,dataset8708
dataset5870,dataset9761,dataset7622,dataset4157
dataset8146,dataset9842,dataset3123,dataset1214
dataset6345,dataset6663,dataset7613,dataset1831
dataset1870,dataset7697,dataset3794,dataset6802
dataset3685,dataset6941,dataset5267,dataset8673
dataset4361,dataset5420,dataset3408,dataset7562
dataset3353,dataset9456,dataset2934,dataset6190
dataset2634,dataset4560,dataset1994,dataset2305
dataset9353,dataset6336,dataset4548,dataset8759
dataset3284,dataset2048,dataset1983,dataset8185
dataset9480,dataset5161,dataset621,dataset6591
dataset3867,dataset1466,dataset5017,dataset3331
dataset4025,dataset9017,dataset1795,dataset2321
dataset7319,dataset6975,dataset188,dataset6882
dataset6100,dataset7186,dataset8244,dataset9347
dataset9630,dataset5293,dataset3531,dataset871
dataset2002,dataset9032,dataset5276,dataset2590
dataset3774,dataset3648,dataset3136,dataset2508
dataset2312,dataset3160,dataset9900,dataset8922
dataset7384,dataset4247,dataset2594,dataset6699
dataset5982,dataset438,dataset6383,dataset2782
dataset9133,dataset3784,dataset2302,dataset7142
dataset6017,dataset3411,dataset4878,dataset5111
dataset435,dataset2717,dataset3678,dataset4457
dataset7842,dataset4567,dataset5062,dataset3260
dataset216,dataset7623,dataset3738,dataset8481
dataset4627,dataset3478,dataset6419,dataset9737
dataset9992,dataset7582,dataset3198,dataset9768
dataset5883,dataset577,dataset1216,dataset7366
dataset177,dataset5412,dataset408,dataset8587
dataset9498,dataset6879,dataset3516,dataset7730
dataset1055,dataset8713,dataset839,dataset8357
dataset7987,dataset5444,dataset4759,dataset9005
dataset1662,dataset2910,dataset6820,dataset5613
dataset6721,dataset8496,dataset9898,dataset8354
dataset5629,dataset7497,dataset5700,dataset3384
dataset3730,dataset2873,dataset3782,dataset978
dataset7879,dataset5820,dataset6877,dataset6974
dataset3793,dataset6685,dataset6762,dataset6736
dataset2044,dataset7164,dataset8171,dataset544
dataset5014,dataset8791,dataset5724,dataset4124
dataset5401,dataset8795,dataset3354,dataset5065
dataset2444,dataset5566,dataset3758,dataset4523
dataset4233,dataset8406,dataset5313,dataset3720
dataset4563,dataset849,dataset4268,dataset6529
dataset8040,dataset6468,dataset9132,dataset7216
dataset7482,dataset7641,dataset3515,dataset6265
dataset1367,dataset8756,dataset3246,dataset2807
dataset3734,dataset9704,dataset7590,dataset5991
dataset2570,dataset5043,dataset5234,dataset6772
dataset1211,dataset3837,dataset6009,dataset3903
dataset3852,dataset7310,dataset2175,dataset5180
dataset1176,dataset5427,dataset2492,dataset2740
dataset2988,dataset1697,dataset7168,dataset6960
dataset9841,dataset9323,dataset654,dataset5927
dataset2531,dataset2696,dataset2472,dataset960
dataset5468,dataset9341,dataset8959,dataset2598
dataset3462,dataset8494,dataset5899,dataset8941
dataset9295,dataset2949,dataset2571,dataset8191
dataset5415,dataset4997,dataset8270,dataset9615
dataset1962,dataset9659,dataset1177,dataset443
dataset7828,dataset9626,dataset4342,dataset7349
dataset9775,dataset3718,dataset1852,dataset6053
