material1,material2,material3,material4
dataset121,dataset4178,dataset3432,dataset5579
dataset7440,dataset7690,dataset8361,dataset7286
dataset1764,dataset7693,dataset5981,dataset8795
dataset771,dataset6991,dataset6652,dataset4187
dataset5344,dataset2907,dataset5974,dataset6163
dataset5484,dataset5540,dataset731,dataset8942
dataset712,dataset537,dataset3429,dataset1725
dataset2638,dataset7938,dataset3648,dataset3121
dataset7537,dataset5066,dataset6232,dataset4111
dataset518,dataset8579,dataset2397,dataset7082
dataset9840,dataset8079,dataset1967,dataset9189
dataset9370,dataset6974,dataset8633,dataset6523
dataset3891,dataset7196,dataset5545,dataset9738
dataset4747,dataset212,dataset3101,dataset2357
dataset2985,dataset4657,dataset8346,dataset3936
dataset4110,dataset3268,dataset770,dataset3284
dataset6189,dataset8729,dataset9613,dataset1214
dataset3799,dataset7831,dataset7615,dataset1831
dataset1870,dataset8762,dataset6591,dataset3754
dataset9836,dataset6355,dataset5268,dataset3487
dataset3374,dataset5370,dataset7300,dataset9830
dataset6858,dataset5986,dataset2934,dataset9507
dataset2634,dataset4562,dataset1994,dataset2305
dataset8888,dataset6338,dataset4215,dataset9004
dataset8963,dataset2048,dataset1983,dataset8649
dataset8218,dataset465,dataset4250,dataset8388
dataset7078,dataset1466,dataset873,dataset9770
dataset391,dataset3095,dataset1795,dataset2321
dataset3507,dataset7974,dataset188,dataset6884
dataset6101,dataset7188,dataset8882,dataset6271
dataset8259,dataset5294,dataset3532,dataset7824
dataset2002,dataset9032,dataset6812,dataset2590
dataset3776,dataset9237,dataset6242,dataset2508
dataset2312,dataset4170,dataset7554,dataset4203
dataset3360,dataset9539,dataset2594,dataset5166
dataset3145,dataset6320,dataset3500,dataset2782
dataset4181,dataset3786,dataset2302,dataset7144
dataset6018,dataset617,dataset939,dataset8985
dataset4373,dataset2717,dataset5280,dataset4459
dataset5527,dataset7579,dataset4115,dataset8909
dataset216,dataset7625,dataset374,dataset7688
dataset764,dataset827,dataset9481,dataset5957
dataset3882,dataset7584,dataset72,dataset7445
dataset4355,dataset6859,dataset1216,dataset9711
dataset177,dataset5390,dataset8235,dataset7965
dataset311,dataset7839,dataset3295,dataset9040
dataset1055,dataset4684,dataset3822,dataset8297
dataset5891,dataset4443,dataset5815,dataset4218
dataset1662,dataset2910,dataset6822,dataset588
dataset6730,dataset5693,dataset8763,dataset5096
dataset563,dataset7499,dataset760,dataset7726
dataset77,dataset2873,dataset3784,dataset3841
dataset7880,dataset9196,dataset6879,dataset6765
dataset3795,dataset6687,dataset6764,dataset7416
dataset2044,dataset5721,dataset8373,dataset649
dataset5928,dataset742,dataset9224,dataset4798
dataset3849,dataset7717,dataset8993,dataset3976
dataset2444,dataset5567,dataset3399,dataset4525
dataset8272,dataset5055,dataset7216,dataset6667
dataset8773,dataset849,dataset427,dataset4788
dataset7652,dataset8718,dataset7774,dataset7415
dataset7484,dataset6942,dataset3516,dataset695
dataset1367,dataset8756,dataset6566,dataset2807
dataset5562,dataset9704,dataset930,dataset7973
dataset2570,dataset4442,dataset4834,dataset6223
dataset1211,dataset9889,dataset5947,dataset6047
dataset3854,dataset9109,dataset2175,dataset5670
dataset1176,dataset4503,dataset2492,dataset2740
dataset2988,dataset1697,dataset6961,dataset6778
dataset9452,dataset7517,dataset6541,dataset773
dataset2531,dataset2696,dataset2472,dataset6432
dataset5469,dataset9523,dataset7619,dataset2598
dataset7369,dataset8494,dataset59,dataset5905
dataset6435,dataset2949,dataset2571,dataset8193
dataset7291,dataset779,dataset7210,dataset4199
dataset1962,dataset6156,dataset1177,dataset4431
dataset724,dataset3785,dataset4344,dataset6488
dataset6136,dataset372,dataset1852,dataset9600
dataset4324,dataset6308,dataset8197,dataset688
dataset4749,dataset1844,dataset7902,dataset6125
dataset775,dataset6716,dataset2734,dataset5092
dataset7132,dataset8113,dataset6436,dataset7612
dataset43,dataset2207,dataset5152,dataset7771
dataset8444,dataset1609,dataset4769,dataset4342
dataset2406,dataset5082,dataset5640,dataset5377
dataset6620,dataset5117,dataset8427,dataset4452
dataset1468,dataset9123,dataset7104,dataset2484
dataset2803,dataset5342,dataset6957,dataset9387
dataset7740,dataset4276,dataset283,dataset5708
dataset9805,dataset8325,dataset200,dataset7670
dataset1388,dataset5400,dataset1606,dataset2
dataset6421,dataset6627,dataset8501,dataset3262
dataset218,dataset1632,dataset9483,dataset1315
dataset7438,dataset9255,dataset214,dataset4002
dataset9591,dataset691,dataset7924,dataset5497
dataset6473,dataset3339,dataset3743,dataset3310
dataset9597,dataset3384,dataset6455,dataset8940
dataset9669,dataset1108,dataset6028,dataset3130
dataset6818,dataset3838,dataset2039,dataset9908
dataset373,dataset6684,dataset914,dataset1968
dataset5088,dataset3884,dataset7975,dataset5501
dataset6610,dataset9989,dataset7003,dataset6442
dataset6049,dataset8330,dataset3782,dataset9525
dataset9760,dataset1306,dataset2564,dataset6007
dataset5923,dataset733,dataset991,dataset3305
dataset3080,dataset1954,dataset3821,dataset3058
dataset804,dataset8892,dataset8786,dataset8932
dataset542,dataset2919,dataset7470,dataset6095
dataset6108,dataset7549,dataset4129,dataset6460
dataset6207,dataset6339,dataset4210,dataset5296
dataset6911,dataset2344,dataset7907,dataset7777
dataset4843,dataset2551,dataset966,dataset9939
dataset4461,dataset4975,dataset2018,dataset9859
dataset2098,dataset4156,dataset2132,dataset3671
dataset7064,dataset4485,dataset5251,dataset9530
dataset1280,dataset4725,dataset6063,dataset2686
dataset3818,dataset577,dataset2857,dataset5793
dataset5098,dataset3293,dataset7009,dataset4671
dataset6253,dataset8906,dataset9742,dataset6654
dataset8970,dataset2642,dataset701,dataset4315
dataset7678,dataset4159,dataset6243,dataset7204
dataset3518,dataset7945,dataset5375,dataset32
dataset1678,dataset1819,dataset9417,dataset4672
dataset9463,dataset1455,dataset3300,dataset690
dataset9373,dataset9260,dataset8813,dataset2562
dataset7915,dataset6238,dataset305,dataset995
dataset5682,dataset9862,dataset1199,dataset5722
dataset7160,dataset1011,dataset7759,dataset538
dataset5694,dataset2108,dataset6903,dataset190
dataset12,dataset9122,dataset3550,dataset9339
dataset9974,dataset5145,dataset3003,dataset1880
dataset4387,dataset7852,dataset7222,dataset5416
dataset1551,dataset3392,dataset3995,dataset7198
dataset7956,dataset6533,dataset3140,dataset2366
dataset8661,dataset5611,dataset5384,dataset1020
dataset6381,dataset1196,dataset5203,dataset1133
dataset6817,dataset5580,dataset4934,dataset1586
