id,name,display_name,masterformat,declared_unit,mass_per_declared_unit,description,parent_id,parent_name,depth,path,n_epds_direct,is_leaf
cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,Construction Materials,00 00 00 No Masterformat Code,1 kg,2400 kg,Root node for all materials,,,0,ConstructionMaterials,0,False
f4b20196cf844933b4222809f51386fa,Aggregates,Aggregates,32 10 00 Bases Ballasts and Paving,1 kg,1 kg,"Construction Aggregates, including sand, gravel, crushed stone, etc. for use as bases, ballasts, or as a component in concrete or asphalt",cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,1,ConstructionMaterials/Aggregates,727,True
26021028190540229c4994c0ea5ea476,Aluminium,Aluminium,05 00 00 METALS,1 kg,1 kg,Broad category for construction materials made primarily from Aluminium and its alloys,cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,1,ConstructionMaterials/Aluminium,367,False
973c3b55a5704f6e9cf5a2ad3d0d875b,AluminiumExtrusions,Aluminium Extrusions,05 00 00 METALS,1 kg,1 kg,"Extruded aluminum products used in construction with of a range of finish options including mill finish, painted, and anodized.",26021028190540229c4994c0ea5ea476,Aluminium,2,ConstructionMaterials/Aluminium/AluminiumExtrusions,110,True
aa61ba9aeb2a4566942554362bb496d3,Asphalt,Asphalt,32 12 16 Asphalt Paving,1 kg,1 kg,General category for asphalt mixtures,cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,1,ConstructionMaterials/Asphalt,12720,True
4ec837a26a0a493786442296f4cb2730,CMU,Concrete Unit Masonry,04 22 00 Concrete Unit Masonry,1 m3,2400 kg,Pre-manufactured concrete masonry blocks,cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,1,ConstructionMaterials/CMU,1279,True
e0e179593b504a1b986e849cade3ff15,Cladding,Cladding,07 40 00 Roofing and Siding Panels,1 m2,12.785 kg,Nonstructural materials used primarily on the outside of buildings,cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,1,ConstructionMaterials/Cladding,251,False
335621cd7eec42e89c2b76bb2a05e4fa,InsulatedRoofPanels,Insulated Roof Panels,07 41 00 Roof Panels,1 m2,11.91 kg,Insulated metal panel (IMP) for roof applications,e0e179593b504a1b986e849cade3ff15,Cladding,2,ConstructionMaterials/Cladding/InsulatedRoofPanels,-1,True
8eb6a511c7d94f4f89e673b6e9badd3c,InsulatedWallPanels,Insulated Wall Panels,07 42 00 Wall Panels,1 m2,13.05 kg,Insulated metal panel (IMP) for exterior wall applications,e0e179593b504a1b986e849cade3ff15,Cladding,2,ConstructionMaterials/Cladding/InsulatedWallPanels,-1,True
b9bd97e8c55b49288eb9d672882f72a8,RoofPanels,Roof Panels,07 41 00 Roof Panels,1 m2,5.775 kg,"Solid roofing panels for exterior face of building, made typically of metal, wood, plastic, or composite materials",e0e179593b504a1b986e849cade3ff15,Cladding,2,ConstructionMaterials/Cladding/RoofPanels,-1,True
154ea9e0d9964ddc873cacd7c1968327,WallPanels,Wall Panels,07 42 00 Wall Panels,1 m2,10.955 kg,"Solid panels for exterior wall face of building, made of, e.g., metal, wood, tile, terra cotta, cementitious materials, or composite materials",e0e179593b504a1b986e849cade3ff15,Cladding,2,ConstructionMaterials/Cladding/WallPanels,-1,True
484df282d43f4b0e855fad6b351ce006,Concrete,Concrete,03 00 00 Concrete,1 m3,2400 kg,A composite material composed of fine and coarse aggregate bonded together with a fluid cement (cement paste) that hardens over time,cb0a37f098f547a58fffb297eebe333a,ConstructionMaterials,1,ConstructionMaterials/Concrete,232,False
95793235b70c4b89b30d6a881ab8aee2,CementGrout,High Strength Cement-Based Grout,03 61 00 Cementitious Grouting,1 m3,2400 kg,"Cement grouting is a slurry that is placed as a flowable liquid. It is an effective material for filling and strengthening granular soils, voids in rocks, foundation underpinnings, and other underground voids. Also called structural grout, these materials typically impart significant compressive strength to the system.",484df282d43f4b0e855fad6b351ce006,Concrete,2,ConstructionMaterials/Concrete/CementGrout,6399,True
8cce29c179d249afb3f2e1b9c1bce877,FlowableFill,Flowable Concrete Fill,31 23 23 Fill,1 m3,2080 kg,"Flowable fill is a slurry that is placed as a flowable liquid (high slump) and sets with no compaction. It is often used in tight or restricted access areas where placing and compacting fill is difficult. Applications include filling large voids such as abandoned underground storage tanks, basements, tunnels, mines, and sewers. It can also be used as paving sub-base, bridge abutment, and retaining wall backfill. Also called Controlled Density Fill (CDF) or Controlled Low Strength Materials (CLSMs). These materials typically have compressive strengths under 1200 psi.",484df282d43f4b0e855fad6b351ce006,Concrete,2,ConstructionMaterials/Concrete/FlowableFill,4674,True
b03dba1dca5b49acb1a5aa4daab546b4,ReadyMix,Ready Mix,03 30 00 Cast-in-Place Concrete,1 m3,2400 kg,Concretes to be mixed and then poured on-site,484df282d43f4b0e855fad6b351ce006,Concrete,2,ConstructionMaterials/Concrete/ReadyMix,138972,True
cca4044f110c43aab149b8387c28f749,Shotcrete,Shotcrete,03 37 13 Shotcrete,1 m3,2400 kg,Concretes sprayed on a target,484df282d43f4b0e855fad6b351ce006,Concrete,2,ConstructionMaterials/Concrete/Shotcrete,3175,True
