material,field,band,population,n,cv,split,justification
Aggregates,declared_unit_raw,0.0,Aggregates [1 kg],34,13.618654818868322,True,"Aggregates declarations state the functional unit at scales that differ by at least 3 orders of magnitude: 34 declare per 1 kg against 350 per 1000 kg. A declaration per 1 kg is a different functional unit, so the groups are treated as separate populations rather than pooled."
Aggregates,declared_unit_raw,1.0,Aggregates [1000 kg],350,13.618654818868322,True,"Aggregates declarations state the functional unit at scales that differ by at least 3 orders of magnitude: 350 declare per 1000 kg against 34 per 1 kg. A declaration per 1000 kg is a different functional unit, so the groups are treated as separate populations rather than pooled."
Aggregates,declared_unit_raw,-1.0,Aggregates [band -1],1,13.618654818868322,True,Dropped: fewer than 3 declarations at this declared-unit scale.
Chairs,declared_unit_raw,0.0,Chairs [1 kg],33,3.926085931490718,True,"Chairs declarations state the functional unit at scales that differ by at least 3 orders of magnitude: 33 declare per 1 kg against 55 per 1000 kg. A declaration per 1 kg is a different functional unit, so the groups are treated as separate populations rather than pooled."
Chairs,declared_unit_raw,1.0,Chairs [1000 kg],55,3.926085931490718,True,"Chairs declarations state the functional unit at scales that differ by at least 3 orders of magnitude: 55 declare per 1000 kg against 33 per 1 kg. A declaration per 1000 kg is a different functional unit, so the groups are treated as separate populations rather than pooled."
ConcreteAdmixtures,declared_unit_raw,0.0,ConcreteAdmixtures [1 kg],92,3.6144932427624563,True,"ConcreteAdmixtures declarations state the functional unit at scales that differ by at least 3 orders of magnitude: 92 declare per 1 kg against 26 per 1000 kg. A declaration per 1 kg is a different functional unit, so the groups are treated as separate populations rather than pooled."
ConcreteAdmixtures,declared_unit_raw,1.0,ConcreteAdmixtures [1000 kg],26,3.6144932427624563,True,"ConcreteAdmixtures declarations state the functional unit at scales that differ by at least 3 orders of magnitude: 26 declare per 1000 kg against 92 per 1 kg. A declaration per 1000 kg is a different functional unit, so the groups are treated as separate populations rather than pooled."
Elevators,declared_unit_raw,0.0,Elevators [1 kg],3,3.233231621157608,True,"Elevators declarations state the functional unit at scales that differ by at least 3 orders of magnitude: 3 declare per 1 kg against 17 per 1 t. A declaration per 1 kg is a different functional unit, so the groups are treated as separate populations rather than pooled."
Elevators,declared_unit_raw,1.0,Elevators [1 t],17,3.233231621157608,True,"Elevators declarations state the functional unit at scales that differ by at least 3 orders of magnitude: 17 declare per 1 t against 3 per 1 kg. A declaration per 1 t is a different functional unit, so the groups are treated as separate populations rather than pooled."
Elevators,declared_unit_raw,2.0,Elevators [band 2],2,3.233231621157608,True,Dropped: fewer than 3 declarations at this declared-unit scale.
Grouting,declared_unit_raw,0.0,Grouting [1 kg],211,4.2711912400949315,True,"Grouting declarations state the functional unit at scales that differ by at least 3 orders of magnitude: 211 declare per 1 kg against 14 per 1000 kg. A declaration per 1 kg is a different functional unit, so the groups are treated as separate populations rather than pooled."
Grouting,declared_unit_raw,1.0,Grouting [1000 kg],14,4.2711912400949315,True,"Grouting declarations state the functional unit at scales that differ by at least 3 orders of magnitude: 14 declare per 1000 kg against 211 per 1 kg. A declaration per 1000 kg is a different functional unit, so the groups are treated as separate populations rather than pooled."
Insulation,none,,Insulation,666,7.647790759359962,False,"Insulation has a coefficient of variation of 7.6 but no metadata field separates it: every record carries the same EC3 category path and the same declared-unit type, and its declared quantities fall in one scale band. It is left whole."
PowerCabling,declared_unit_raw,0.0,PowerCabling [0.65 m],3,12.844612534271597,True,"PowerCabling declarations state the functional unit at scales that differ by at least 3 orders of magnitude: 3 declare per 0.65 m against 146 per 1 m, 251 per 1 km. A declaration per 0.65 m is a different functional unit, so the groups are treated as separate populations rather than pooled."
PowerCabling,declared_unit_raw,1.0,PowerCabling [1 m],146,12.844612534271597,True,"PowerCabling declarations state the functional unit at scales that differ by at least 3 orders of magnitude: 146 declare per 1 m against 3 per 0.65 m, 251 per 1 km. A declaration per 1 m is a different functional unit, so the groups are treated as separate populations rather than pooled."
PowerCabling,declared_unit_raw,2.0,PowerCabling [1 km],251,12.844612534271597,True,"PowerCabling declarations state the functional unit at scales that differ by at least 3 orders of magnitude: 251 declare per 1 km against 3 per 0.65 m, 146 per 1 m. A declaration per 1 km is a different functional unit, so the groups are treated as separate populations rather than pooled."
