material,n_implausible,n_before,n_after,n_removed,n_removed_low,n_removed_high,min_over_mean_before,max_over_mean_before,min_over_mean_after,max_over_mean_after,status
AccessFlooring,0,53,53,0,0,0,0.013069216685646227,4.177094946213449,0.013069216685646227,4.177094946213449,ok
AccessFlooringPedestals,0,13,13,0,0,0,0.09113492538721642,2.4885027886584052,0.09113492538721642,2.4885027886584052,ok
AcousticalCeilings,0,412,412,0,0,0,0.006537780951039321,16.60990752062194,0.006537780951039321,16.60990752062194,ok
Aggregates,0,378,378,0,0,0,1.1852050405184022e-05,129.50225866698557,1.1852050405184022e-05,129.50225866698557,ok
AluminiumBillets,1,120,120,0,0,0,0.01964045723026244,5.93742320260277,0.01964045723026244,5.93742320260277,ok
AluminiumExtrusions,1,37,36,1,1,0,0.05838254065829431,4.061394132750909,0.07928270794848406,3.957871875533145,ok
AluminiumSheetGoods,0,28,26,2,2,0,8.268839587598471e-05,3.4258415637060367,0.10598616933678813,3.1811579859967196,ok
AluminiumSiding,0,3,3,0,0,0,0.3488820354664611,1.6422513492675406,0.3488820354664611,1.6422513492675406,ok
AluminiumSuspensionAssembly,0,22,22,0,0,0,0.0034998747877221293,5.01547649651746,0.0034998747877221293,5.01547649651746,ok
Asphalt,0,7461,7232,229,185,44,2.5564162179584288e-08,421.24476280919475,0.3452215141277225,2.6618904598117417,ok
BackingAndUnderlay,0,45,45,0,0,0,0.018092668566356374,6.279254523915737,0.018092668566356374,6.279254523915737,ok
BituminousRoofing,0,66,66,0,0,0,0.1387672247602661,5.530630132338004,0.1387672247602661,5.530630132338004,ok
BlanketFacing,0,31,28,3,2,1,0.06255636133551261,8.145762594439907,0.1334693277231861,3.2142842685629676,ok
BlanketInsulation [mineral wool],0,185,184,1,0,1,0.025076167993355613,156.3013181157667,0.1607744540111552,5.664140656219559,ok
BlanketInsulation [other],0,3,3,0,0,0,0.11308611707018082,1.9583205638982533,0.11308611707018082,1.9583205638982533,ok
BlanketInsulation [type not stated],0,129,129,0,0,0,0.113624282445193,7.692174547735491,0.113624282445193,7.692174547735491,ok
BlownInsulation [cellulose],0,3,3,0,0,0,0.15427124107759616,2.6018880957863226,0.15427124107759616,2.6018880957863226,ok
BlownInsulation [type not stated],0,16,16,0,0,0,0.3751570729620618,2.844691602277892,0.3751570729620618,2.844691602277892,ok
BoardInsulation [EPS],0,47,47,0,0,0,0.020643206516970127,9.976609313452133,0.020643206516970127,9.976609313452133,ok
