arm,dataset,n,method,w1,w1_heldout,model_sd_ratio,w1_rank,w1_heldout_rank,w1_heldout_rank_within,w1_relative
empirical,AccessFlooring,53,"Normal, Uniform",0.15791175076805958,0.27074262251714865,0.8904505185285281,3.0,1.0,1.0,0.9695741337693619
empirical,AccessFlooring,53,"Normal, Variable",0.1740679758248979,0.3582785632712746,0.8634100840655317,5.0,3.0,1.0,1.0687729447398964
empirical,AccessFlooring,53,"Lognormal, Uniform",0.20572388698126817,0.3668368249391595,1.298655800574597,6.0,4.0,3.0,1.2631394341799318
empirical,AccessFlooring,53,"Lognormal, Variable",0.17208602464320977,0.44819537359098516,1.2067701390162326,4.0,6.0,3.0,1.0566038148884962
empirical,AccessFlooring,53,"KDE, Uniform",0.12737405150605513,0.3252838758248956,1.081833909370839,1.0,2.0,2.0,0.7820734369228287
empirical,AccessFlooring,53,"KDE, Variable",0.14003905487214613,0.40684706014673594,1.0097679170734883,2.0,5.0,2.0,0.8598362354994847
empirical,AccessFlooringPedestals,13,"Normal, Uniform",0.20433050309176565,0.4425574398534114,0.7901570861104731,6.0,1.0,1.0,1.1900081451843967
empirical,AccessFlooringPedestals,13,"Normal, Variable",0.19658868521116324,0.5117814879674585,0.8545875960153168,5.0,4.0,1.0,1.1449202792170057
empirical,AccessFlooringPedestals,13,"Lognormal, Uniform",0.14768443695467354,0.47319591182380133,0.9541572376813279,2.0,3.0,3.0,0.8601049781299903
empirical,AccessFlooringPedestals,13,"Lognormal, Variable",0.14673253117213514,0.5945035613520775,1.1714147590711372,1.0,6.0,3.0,0.8545611380398982
empirical,AccessFlooringPedestals,13,"KDE, Uniform",0.15736481510226158,0.4495232955187878,0.9394514604194769,3.0,2.0,2.0,0.9164828985568845
empirical,AccessFlooringPedestals,13,"KDE, Variable",0.17752980756962028,0.5180633700862031,1.0293487045148624,4.0,5.0,2.0,1.033922560871825
empirical,AcousticalCeilings,412,"Normal, Uniform",1.0141187594082854,1.031650722774732,0.729589904450519,6.0,6.0,3.0,2.1719322551465123
empirical,AcousticalCeilings,412,"Normal, Variable",0.9638252520237753,0.9844919246950784,0.7117579919103724,5.0,5.0,3.0,2.0642189425788575
empirical,AcousticalCeilings,412,"Lognormal, Uniform",0.3127347675843605,0.37691478784642674,0.6412758580940169,3.0,2.0,2.0,0.6697822347932311
empirical,AcousticalCeilings,412,"Lognormal, Variable",0.31399820162259495,0.4083678949116188,0.5598684082765597,4.0,4.0,2.0,0.6724881241325551
empirical,AcousticalCeilings,412,"KDE, Uniform",0.14192770024868484,0.33368195511245996,1.034409683457024,2.0,1.0,1.0,0.30396573104391167
empirical,AcousticalCeilings,412,"KDE, Variable",0.05491573579732845,0.3993376464311152,1.0181768311748671,1.0,3.0,1.0,0.11761271230493239
