component,eigenvalue,variance_share,cumulative_share,dominant_metric,arm
PC1,4.4060398942716095,0.48955998825240105,0.48955998825240105,skewness,empirical
PC2,1.6146306843466338,0.1794034093718482,0.6689633976242493,entropy,empirical
PC3,0.9310962589960569,0.10345513988845076,0.7724185375127001,weight_outliers,empirical
PC4,0.8317215833486122,0.09241350926095691,0.864832046773657,fit_lognorm_SW,empirical
PC5,0.4610403687407274,0.0512267076378586,0.9160587544115156,entropy,empirical
PC6,0.3722276239575169,0.04135862488416855,0.9574173792956842,kurtosis,empirical
PC7,0.21774103290815883,0.024193448100906536,0.9816108273965907,coeffvar,empirical
PC8,0.15290646261066274,0.016989606956740302,0.998600434353331,crit_bw_1,empirical
PC9,0.012596090820021699,0.0013995656466690776,1.0,skewness,empirical
PC1,3.080791409556752,0.342310156617417,0.342310156617417,skewness,synthetic
PC2,1.763602689236279,0.1959558543595866,0.5382660109770036,entropy,synthetic
PC3,1.1197256786929715,0.12441396429921908,0.6626799752762227,w_v_uw_wasserstein,synthetic
PC4,1.0148465638499666,0.11276072931666298,0.7754407045928857,weight_outliers,synthetic
PC5,0.7276594226734783,0.08085104696371982,0.8562917515566055,fit_lognorm_SW,synthetic
PC6,0.5438717130302305,0.060430190336692294,0.9167219418932978,entropy,synthetic
PC7,0.3848574223902072,0.04276193582113414,0.959483877714432,crit_bw_1,synthetic
PC8,0.23393017363431917,0.025992241514924356,0.9854761192293564,coeffvar,synthetic
PC9,0.1307149269357939,0.014523880770643769,1.0000000000000002,skewness,synthetic
