material,n_modes
AccessFlooring,1
AccessFlooringPedestals,1
AcousticalCeilings,2
Aggregates,4
AluminiumBillets,2
AluminiumExtrusions,2
AluminiumSheetGoods,1
AluminiumSiding,1
AluminiumSuspensionAssembly,1
Asphalt,2
BackingAndUnderlay,1
BituminousRoofing,2
BlanketFacing,2
BlanketInsulation [mineral wool],2
BlanketInsulation [other],1
BlanketInsulation [type not stated],1
BlownInsulation [cellulose],1
BlownInsulation [type not stated],1
BoardInsulation [EPS],2
BoardInsulation [PIR or PUR],2
BoardInsulation [XPS],2
BoardInsulation [mineral wool],2
BoardInsulation [other],1
BoardInsulation [type not stated],1
Brick,3
CMU [3000-3999 psi],1
CMU [4000-4999 psi],1
CMU [5000-5999 psi],1
CMU [<3000 psi],1
CMU [>=6000 psi],1
CMU [strength not stated],1
CableTrays,2
Carpet,1
CastDecksAndUnderlayment,2
Cement,2
CementBoard,1
CementGrout,2
CementitiousSheathingBoard,1
Chairs,2
Coil,2
CompositeLumber,1
CompositionSiding,1
ConcreteAdmixtures,2
ConcretePaving [3000-3999 psi],1
ConcretePaving [4000-4999 psi],1
ConcretePaving [5000-5999 psi],2
ConcretePaving [<3000 psi],1
ConcretePaving [strength not stated],2
Countertops,2
CurtainWalls,1
DampproofingAndWaterproofing,2
DataCabling,3
DeckingBoards,1
DeckingSteel,1
DemountablePartitionTrack,1
DemountablePartitions,1
DoorsAndFrames,2
Electrical,1
Elevators,2
FenestrationAccessories,2
FenestrationFraming,2
FiberCementSiding,2
FireAndSmokeProtection,2
FlashingAndSheetMetal,1
FlatGlassPanes,2
FlowableFill,2
FoamedInPlace [PIR or PUR],2
FoamedInPlace [type not stated],1
Furnishings,1
GlazedDoors,2
Grouting,2
Gypsum,3
GypsumSheathingBoard,1
HeavyTimber,2
Hollow,2
HotRolled,2
InsulatedRoofPanels,2
InsulatedWallPanels,2
InsulatingGlazingUnits,1
JointProtection,1
Laminate,1
MBQ,2
MasonryCement,1
MassTimber,2
MechanicalInsulation,1
MetalDoorAndFrames,1
MetalRailings,1
MetalStairs,1
Mirrors,1
MiscMetalFabrication,1
Mortar,2
NetworkingCableTrays,1
NetworkingRaceways,1
NonStructuralWood,3
OilPatch,2
OpenWebMembranes,2
Openings,1
OtherFlooring,1
PaintingAndCoating,2
PlateSteel,1
PostTensioningSteel,1
PowerCabling,3
PrecastConcrete,1
ProcessedNonInsulatingGlassPanes,1
ReadyMix [3000-3999 psi],1
ReadyMix [4000-4999 psi],1
ReadyMix [5000-5999 psi],1
ReadyMix [<3000 psi],1
ReadyMix [>=6000 psi],1
ReadyMix [strength not stated],3
RebarSteel,3
ResilientFlooring,3
RoofCoverBoards,1
RoofPanels,1
SheathingPanels,1
Shotcrete [3000-3999 psi],1
Shotcrete [4000-4999 psi],1
Shotcrete [5000-5999 psi],1
Shotcrete [<3000 psi],1
Shotcrete [>=6000 psi],1
Shotcrete [strength not stated],2
SinglePlyEPDM,1
SinglePlyKEE,1
SinglePlyPVC,2
SinglePlyPolyurethane,2
SinglePlyTPO,1
SprayedInsulation,2
SteelSuspensionAssembly,2
StoneCladding,2
StorageFurniture,2
SupplementaryCementitiousMaterials,1
Tables,2
TileGrout,2
Timber,1
TranslucentWallAndRoofAssemblies,2
UnitSkylights,1
VinylSiding,1
WallBase,1
WallFinishes,2
WallPanels,3
WeatherBarriers,2
WindTurbines,1
Windows,1
WireMeshSteel,1
WoodDoors,1
WoodFlooring,1
WoodFraming,1
WoodJoists,1
WorkSurfaces,2
