arm,quantity,value
shipped,n_datasets,10000.0
shipped,effective_metric_dimension,5.413504856636916
shipped,order_duplicate_pairs,1447.0
shipped,order_duplicate_pairs_tested,87064.0
shipped,order_duplicate_rate,0.016619957732242948
shipped,sd__coeffvar,0.2652152653936677
shipped,iqr__coeffvar,0.3859894908059961
shipped,p01__coeffvar,0.019435471709758425
shipped,p99__coeffvar,1.0970266200525958
shipped,sd__entropy,1.0277617029420134
shipped,iqr__entropy,1.671771919015704
shipped,p01__entropy,1.0944833354947976
shipped,p99__entropy,4.795567969570247
shipped,sd__skewness,0.8410908006586457
shipped,iqr__skewness,1.0416003322728693
shipped,p01__skewness,-1.9142756436670278
shipped,p99__skewness,2.4054065914241916
shipped,sd__kurtosis,2.616823765625447
shipped,iqr__kurtosis,1.9771625076613506
shipped,p01__kurtosis,-3.1489480301261374
shipped,p99__kurtosis,10.364187072852571
shipped,sd__mode_count_est,0.13473079546443262
shipped,iqr__mode_count_est,0.14536228820878838
shipped,p01__mode_count_est,1.0
shipped,p99__mode_count_est,1.4982752626808842
shipped,sd__weight_outliers,0.030381110514801107
shipped,iqr__weight_outliers,0.012105204626583382
shipped,p01__weight_outliers,0.0
shipped,p99__weight_outliers,0.13880857177019879
shipped,sd__fit_norm_SW,0.08235291046103443
shipped,iqr__fit_norm_SW,0.12365848795799816
shipped,p01__fit_norm_SW,0.6596761383084615
shipped,p99__fit_norm_SW,0.9926352013718857
shipped,sd__fit_lognorm_SW,0.08797413252921889
shipped,iqr__fit_lognorm_SW,0.1299523973582335
shipped,p01__fit_lognorm_SW,0.6252311348576757
shipped,p99__fit_lognorm_SW,0.9915923392296735
shipped,sd__w_v_uw_wasserstein,0.046508202696289434
shipped,iqr__w_v_uw_wasserstein,0.05154804807813461
shipped,p01__w_v_uw_wasserstein,0.0022963167775137206
shipped,p99__w_v_uw_wasserstein,0.20878529714214578
legacy_rerun,n_datasets,15000.0
legacy_rerun,effective_metric_dimension,5.697653942162307
legacy_rerun,order_duplicate_pairs,1302.0
legacy_rerun,order_duplicate_pairs_tested,122437.0
legacy_rerun,order_duplicate_rate,0.010634040363615574
legacy_rerun,sd__coeffvar,0.32291176915754266
legacy_rerun,iqr__coeffvar,0.41939451609899997
legacy_rerun,p01__coeffvar,0.020722167289060404
legacy_rerun,p99__coeffvar,1.4171905756169636
legacy_rerun,sd__entropy,1.1000458109098281
legacy_rerun,iqr__entropy,1.884393921321501
legacy_rerun,p01__entropy,0.9726774586445434
legacy_rerun,p99__entropy,4.8242489089405645
legacy_rerun,sd__skewness,1.337077241491865
legacy_rerun,iqr__skewness,1.2039733775695456
legacy_rerun,p01__skewness,-2.9542615153714635
legacy_rerun,p99__skewness,4.128540445880321
legacy_rerun,sd__kurtosis,16.85775729573088
legacy_rerun,iqr__kurtosis,2.6178375657855875
legacy_rerun,p01__kurtosis,-3.162026794026377
legacy_rerun,p99__kurtosis,47.21572453729404
legacy_rerun,sd__mode_count_est,0.1774885291538969
legacy_rerun,iqr__mode_count_est,0.1755711089441987
legacy_rerun,p01__mode_count_est,1.0
legacy_rerun,p99__mode_count_est,1.7354606890781756
legacy_rerun,sd__weight_outliers,0.06442602121355254
legacy_rerun,iqr__weight_outliers,0.02997843607955378
legacy_rerun,p01__weight_outliers,0.0
legacy_rerun,p99__weight_outliers,0.278087441390125
legacy_rerun,sd__fit_norm_SW,0.10525689268744377
legacy_rerun,iqr__fit_norm_SW,0.14143418131219132
legacy_rerun,p01__fit_norm_SW,0.5148969559088368
legacy_rerun,p99__fit_norm_SW,0.9930492977724568
legacy_rerun,sd__fit_lognorm_SW,0.11714516257846806
legacy_rerun,iqr__fit_lognorm_SW,0.14036915322240662
legacy_rerun,p01__fit_lognorm_SW,0.4227496754637516
legacy_rerun,p99__fit_lognorm_SW,0.9912752023679615
legacy_rerun,sd__w_v_uw_wasserstein,0.08525188119491381
legacy_rerun,iqr__w_v_uw_wasserstein,0.06229741689799506
legacy_rerun,p01__w_v_uw_wasserstein,0.0022876672289391382
legacy_rerun,p99__w_v_uw_wasserstein,0.41019894888178626
current,n_datasets,15000.0
current,effective_metric_dimension,5.79803589565486
current,order_duplicate_pairs,0.0
current,order_duplicate_pairs_tested,119911.0
current,order_duplicate_rate,0.0
current,sd__coeffvar,0.3475024028771708
current,iqr__coeffvar,0.42354581749252307
current,p01__coeffvar,0.023538429431479862
current,p99__coeffvar,1.5594966050297758
current,sd__entropy,1.0904342251040435
current,iqr__entropy,1.8460214782852935
current,p01__entropy,0.9764239941735319
current,p99__entropy,4.873853706842967
current,sd__skewness,1.5729209575989271
current,iqr__skewness,1.2502742810062972
current,p01__skewness,-3.545313172389866
current,p99__skewness,5.196246537402253
current,sd__kurtosis,26.33446711287218
current,iqr__kurtosis,2.859984518411987
current,p01__kurtosis,-3.10184439657137
current,p99__kurtosis,64.86325333216489
current,sd__mode_count_est,0.1686729240473525
current,iqr__mode_count_est,0.13748322354860765
current,p01__mode_count_est,1.0
current,p99__mode_count_est,1.722414724222751
current,sd__weight_outliers,0.06238060733850803
current,iqr__weight_outliers,0.031509293649292315
current,p01__weight_outliers,0.0
current,p99__weight_outliers,0.2654074794694215
current,sd__fit_norm_SW,0.11107990654869686
current,iqr__fit_norm_SW,0.1357954100922164
current,p01__fit_norm_SW,0.4541607818412596
current,p99__fit_norm_SW,0.9941660884123619
current,sd__fit_lognorm_SW,0.12954495665540844
current,iqr__fit_lognorm_SW,0.13205914662748275
current,p01__fit_lognorm_SW,0.2864188249829488
current,p99__fit_lognorm_SW,0.9942532296993293
current,sd__w_v_uw_wasserstein,0.09312385074996699
current,iqr__w_v_uw_wasserstein,0.06864358528225545
current,p01__w_v_uw_wasserstein,0.002232371623518315
current,p99__w_v_uw_wasserstein,0.4445083574612809
