metric,coeffvar,entropy,skewness,kurtosis,modality_index,crit_bw_1,weight_outliers,fit_norm_SW,fit_lognorm_SW,w_v_uw_wasserstein,arm
coeffvar,1.0,0.047,0.392,0.018,0.158,0.269,0.268,-0.705,-0.092,0.415,empirical
entropy,0.047,1.0,0.146,-0.082,0.167,-0.476,-0.081,0.117,0.298,-0.516,empirical
skewness,0.392,0.146,1.0,0.698,0.081,-0.004,0.483,-0.645,0.134,-0.017,empirical
kurtosis,0.018,-0.082,0.698,1.0,0.051,-0.015,0.238,-0.374,-0.089,-0.028,empirical
modality_index,0.158,0.167,0.081,0.051,1.0,0.34,-0.082,-0.18,-0.042,-0.01,empirical
crit_bw_1,0.269,-0.476,-0.004,-0.015,0.34,1.0,0.008,-0.366,-0.144,0.518,empirical
weight_outliers,0.268,-0.081,0.483,0.238,-0.082,0.008,1.0,-0.574,-0.153,0.12,empirical
fit_norm_SW,-0.705,0.117,-0.645,-0.374,-0.18,-0.366,-0.574,1.0,0.292,-0.313,empirical
fit_lognorm_SW,-0.092,0.298,0.134,-0.089,-0.042,-0.144,-0.153,0.292,1.0,-0.06,empirical
w_v_uw_wasserstein,0.415,-0.516,-0.017,-0.028,-0.01,0.518,0.12,-0.313,-0.06,1.0,empirical
coeffvar,1.0,-0.205,0.058,-0.012,0.242,0.248,0.012,-0.321,-0.28,0.649,synthetic
entropy,-0.205,1.0,0.018,-0.037,0.265,-0.398,0.027,0.21,0.217,-0.284,synthetic
skewness,0.058,0.018,1.0,0.555,0.005,0.008,0.02,-0.006,0.033,0.009,synthetic
kurtosis,-0.012,-0.037,0.555,1.0,-0.014,-0.018,-0.006,-0.049,-0.048,-0.001,synthetic
modality_index,0.242,0.265,0.005,-0.014,1.0,0.294,-0.122,-0.189,-0.195,0.098,synthetic
crit_bw_1,0.248,-0.398,0.008,-0.018,0.294,1.0,-0.146,-0.247,-0.244,0.165,synthetic
weight_outliers,0.012,0.027,0.02,-0.006,-0.122,-0.146,1.0,-0.319,-0.309,0.092,synthetic
fit_norm_SW,-0.321,0.21,-0.006,-0.049,-0.189,-0.247,-0.319,1.0,0.98,-0.394,synthetic
fit_lognorm_SW,-0.28,0.217,0.033,-0.048,-0.195,-0.244,-0.309,0.98,1.0,-0.394,synthetic
w_v_uw_wasserstein,0.649,-0.284,0.009,-0.001,0.098,0.165,0.092,-0.394,-0.394,1.0,synthetic
