metric,empirical_min,empirical_max,synthetic_min,synthetic_max,emp_inside_syn_range,emp_inside_syn_p1_p99,syn_inside_emp_range,syn_outside_emp_p1_p99,margin_below,margin_above
n,3.0,77439.0,3.0,9996.0,0.9927536231884058,0.9927536231884058,1.0,0.0392,0.0,-0.8709514954284828
coeffvar,0.011453121411764602,2.083216027890099,1.6829316573756159e-06,3.136525944284277,1.0,0.7318840579710145,0.8542,0.5618,0.005527388507777099,0.50841238304852
entropy,0.7888316577374002,4.94007996701527,0.0006686788834083527,5.481554799752152,1.0,0.9855072463768116,0.9446,0.0639,0.18986168018243568,0.13043662830929847
skewness,-1.4387884904137103,4.618369371938145,-363.39915921396374,126.20526411215246,1.0,1.0,0.8464,0.2133,59.75746033850423,20.073258366920772
kurtosis,-5.451264418495393,62.72647421181683,-5.973289364790368,34959.473606969426,1.0,0.9699248120300752,0.9864605543710021,0.0453091684434968,0.007656824012975983,511.84958365929594
modality_index,1.0,1.129343647950641,1.0,2.5655582664389405,1.0,1.0,0.7031,0.3247,0.0,11.103866647060832
crit_bw_1,0.12677061561495695,1.142822796244428,0.11454818469990849,5.403122192764196,1.0,0.9927536231884058,0.9892,0.0557,0.012029333874837355,4.192992720000266
weight_outliers,0.0,0.3858740614230005,0.0,0.5191236780374084,1.0,0.9927536231884058,0.9949,0.0354,0.0,0.3453189263953605
fit_norm_SW,0.4909871546058369,0.9998690246456261,0.061911128430336186,0.9999997537737031,1.0,0.9855072463768116,0.9662,0.0855,0.8431741263290663,0.000256894842936275
fit_lognorm_SW,0.6054895931856905,0.9997888659182497,0.05381661837281933,0.9999999680974145,1.0,0.9782608695652174,0.9101,0.1728,1.399122476157986,0.0005353856670896073
w_v_uw_wasserstein,0.0009417437143457697,0.8767953389504549,1.1577366476007029e-06,1.8894312829793212,1.0,0.9637681159420289,0.9253,0.2002,0.0010739077658802206,1.1561703343306866
