metric,alpha5_mean,alpha1_mean,alpha5_sd,alpha1_sd,mean_abs_change,max_abs_change,change_in_sd_units,alpha1_max_share,alpha5_max_share
coeffvar,0.6805213457741301,0.6735703938759344,0.3606436932198119,0.3906462825648313,0.08038858917916933,1.100867294259912,0.22290307772045964,,
entropy,3.070885309564543,2.865116769788056,1.1219010249150838,1.1587399295538585,0.210127162518941,0.5906031217205501,0.18729563290562593,,
skewness,0.9488225755650083,0.9206971378178135,0.7993615473105461,1.1346710946574843,0.5053714261075675,5.263523256860611,0.632218834903794,,
kurtosis,1.32802001535309,2.575655047046882,2.4257959529150477,6.606597608519128,2.375464234616692,39.76859620446712,0.9792514624991963,,
mode_count_est,1.0125353383175397,1.0107360211265382,0.025181878885599324,0.02158324838009222,0.009283540321998964,0.09522745333480209,0.368659557302053,,
weight_outliers,0.048233972683824705,0.04377637707692524,0.060385180892383074,0.055801799796468925,0.03476882540747821,0.24337749104156137,0.5757840730731986,,
fit_norm_SW,0.8681856464152866,0.8629639980294387,0.09883943506397525,0.10604615295788755,0.03926007922941628,0.33350919664433665,0.3972106801703655,,
fit_lognorm_SW,0.8596712753822338,0.8601938051734849,0.1283670863122039,0.13423059860346118,0.03965446734598932,0.3349862312891968,0.30891460175036595,,
w_v_uw_wasserstein,0.059424668197755055,0.1328684298632086,0.06352344332674056,0.1195380872376817,0.08450725414190484,0.5100877530327077,1.3303317596817208,,
__max_weight_share_n10,,,,,,,,0.2915496729680067,
__max_weight_share_n100,,,,,,,,0.0518273069746429,
__max_weight_share_n1000,,,,,,,,0.007477478114801916,
__max_weight_share_n10,,,,,,,,,0.17714677479591062
__max_weight_share_n100,,,,,,,,,0.024850943641529517
__max_weight_share_n1000,,,,,,,,,0.003113948421972169
