material,n_before,n_after,n_removed,min_over_mean_before,min_over_mean_after,status
AccessFlooring,62,60,2,0.006347841775617018,0.08306734097712339,ok
AccessFlooringPedestals,11,11,0,0.10297568661205382,0.10297568661205382,ok
AcousticalCeilings,360,353,7,0.0007797976071098956,0.043522071333267534,ok
Aggregates,206,204,2,6.2845355312554195e-09,0.009978544773907005,ok
Aluminium,124,123,1,9.785033706757554e-05,0.002447077741645689,ok
AluminiumBillets,63,63,0,0.0312417028697827,0.0312417028697827,ok
AluminiumExtrusions,17,17,0,0.07011643433835107,0.07011643433835107,ok
AluminiumSheetGoods,36,34,2,0.00010427289651710736,0.1359368228688341,ok
AluminiumSiding,3,3,0,0.34888203546646107,0.34888203546646107,ok
AluminiumSuspensionAssembly,14,14,0,0.010892132327807174,0.010892132327807174,ok
Asphalt,8925,8865,60,0.009323107983291975,0.367836350081287,ok
BackingAndUnderlay,45,45,0,0.012769452556933066,0.012769452556933066,ok
BituminousRoofing,66,66,0,0.2111030350868261,0.2111030350868261,ok
BlanketFacing,33,33,0,0.10093078248781286,0.10093078248781286,ok
BlanketInsulation,349,349,0,0.16467474737871565,0.16467474737871565,ok
BlownInsulation,27,27,0,0.1452502878896097,0.1452502878896097,ok
BoardInsulation,413,412,1,0.0002807486540641898,0.019831643229581704,ok
Brick,252,252,0,0.06304347200310745,0.06304347200310745,ok
CMU,562,558,4,0.013910173585218294,0.4206573271528038,ok
CableTrays,67,67,0,0.012441284262080713,0.012441284262080713,ok
Carpet,1937,1915,22,0.00031521313253848464,0.06309150405683803,ok
CastDecksAndUnderlayment,123,120,3,0.00015768161728492525,0.06440959361960517,ok
CeilingPanel,240,239,1,0.03076878698922976,0.09847103329784757,ok
Cement,522,505,17,0.008278787762342879,0.17754302814219106,ok
CementBoard,29,29,0,0.23058026194006512,0.23058026194006512,ok
CementGrout,3794,3786,8,0.0005708216057717571,0.23775836849538565,ok
CementitiousMaterials,9,9,0,0.10390780581093499,0.10390780581093499,ok
CementitiousSheathingBoard,73,73,0,0.03596729441939114,0.03596729441939114,ok
Chairs,84,84,0,0.05126838432616478,0.05126838432616478,ok
Cladding,122,122,0,0.00021909860076848597,0.00021909860076848597,ok
Coil,79,76,3,0.000238745329819158,0.19387576166919218,ok
ColdFormedSteel,65,63,2,0.13261564367717352,0.3638089601266674,ok
CompositeLumber,9,8,1,0.5591059694910149,0.6602968537974064,ok
CompositionSiding,4,4,0,0.34993750850823996,0.34993750850823996,ok
Concrete,209,208,1,0.18678280571721884,0.36623538306051157,ok
ConcreteAdmixtures,51,51,0,0.043421986162727015,0.043421986162727015,ok
