metric,n_defined,n_missing,min,p01,p05,median,p95,p99,max,mean,sd
coeffvar,138,0,0.006556219822151697,0.04253099701075343,0.20805706966467336,0.5983600897890897,1.3960836453218124,1.8146522099058882,2.399819591206653,0.6735703938759344,0.3906462825648313
coeffvar_uw,138,0,0.01106448701134831,0.06845413206686701,0.23552057166220344,0.644095563689595,1.3117439748083533,2.031500244311196,2.3062243422093065,0.6896978733304545,0.37310667118796836
entropy,138,0,0.6718290383324041,0.7497772798972065,0.9549922509380148,3.02692489641095,4.653468899297933,4.8470673610892,4.8945067774996165,2.865116769788056,1.1587399295538585
entropy_uw,138,0,1.0986122886681098,1.0986122886681131,1.3862943611198937,3.2812871347163624,4.767091974853733,4.8983458293471855,4.926964633180849,3.1401868225165948,1.1104988323977434
fit_lognorm_SW,138,0,0.3586425761029424,0.41940899886261557,0.5500201577108977,0.912839531655625,0.9844487218121352,0.9957206157609042,0.9977798919139835,0.8601938051734849,0.13423059860346118
fit_lognorm_SW_uw,138,0,0.370304367375192,0.44637705148864204,0.6297411324074663,0.8986862221342893,0.9853080117450418,0.9974372836653583,0.9993944637919266,0.8637972191678622,0.11877770767106674
fit_norm_SW,138,0,0.4051939151707459,0.5204830445806468,0.6820873869800506,0.8867437502929247,0.9821343906572912,0.9903400282483171,0.9984025190627678,0.8629639980294387,0.10604615295788755
fit_norm_SW_uw,138,0,0.4267944647059927,0.5389357827843253,0.682373601186198,0.8912856859197972,0.9778929431689327,0.9854647828554151,0.9998590287176354,0.8675156929826942,0.09996647047099515
kurtosis,133,5,-4.775792400798423,-2.570411889989597,-1.5537793014301846,1.2401301625044254,10.376720488817627,37.390556695415945,48.86425000169986,2.575655047046882,6.606597608519127
kurtosis_uw,133,5,-5.208402347427655,-3.6754208396711316,-1.3549471217288431,1.1650006474544556,4.518341354425862,8.700699562180187,8.939884392111113,1.2722720126925726,2.166400663358329
mean,138,0,0.3543584535376053,0.6099281250070644,0.7685955697349067,0.9972034646885062,1.2380311739044,1.4888780821384358,1.6117814432793376,1.0010325450393731,0.15725311106788162
mean_uw,138,0,0.9999999999999996,0.9999999999999996,0.9999999999999997,1.0,1.0000000000000004,1.0000000000000007,1.0000000000000007,1.0,2.232568683737499e-16
mode_count_est,138,0,1.0,1.0,1.0,1.0000285131974467,1.0515030567919739,1.1057120332477999,1.1401197334356898,1.0107360211265382,0.02158324838009222
mode_count_est_uw,138,0,1.0,1.0,1.0,1.0003992870392202,1.0718817547091823,1.1059962200885267,1.1589637769194363,1.013761981072872,0.02712023421490277
n,138,0,3.0,3.0,4.0,37.0,603.9000000000005,7026.529999999977,77548.0,779.1521739130435,6638.827768857788
skewness,138,0,-5.733288989250014,-1.3606345351228433,-1.0884977684122874,1.0409378346970684,2.657631827731344,3.34516104649139,4.086735301587551,0.9206971378178135,1.1346710946574843
skewness_uw,138,0,-1.7319294810384875,-0.9646635096688324,-0.28008479066583414,0.9805362020051738,2.0307309092250363,2.83278531894353,3.127926448494164,0.9763269543053812,0.7715878445464177
w_v_uw_wasserstein,138,0,0.0009561646125851092,0.005273764749095159,0.016183016544164527,0.09830917856736537,0.35313975347644955,0.5951231379734974,0.6456415464623948,0.1328684298632086,0.1195380872376817
weight_outliers,138,0,0.0,0.0,0.0,0.02523720907457402,0.15088962013966112,0.22109369356883662,0.27046374766678205,0.04377637707692524,0.055801799796468925
weight_outliers_uw,138,0,0.0,0.0,0.0,0.036016949152542374,0.25,0.25,0.25,0.05717971985622761,0.07099978202081124
