material,coeffvar,coeffvar_uw,entropy,entropy_uw,fit_lognorm_SW,fit_lognorm_SW_uw,fit_norm_SW,fit_norm_SW_uw,kurtosis,kurtosis_uw,mean,mean_uw,mode_count_est,mode_count_est_uw,n,skewness,skewness_uw,w_v_uw_wasserstein,weight_outliers,weight_outliers_uw
Tables,0.35824223126404797,0.39625752608938575,1.8713039458967535,1.945910149055317,0.932731359530138,0.9403353460702317,0.9530567924648539,0.9448304499932563,-1.5491614562686034,-1.5570328797186368,1.030779257958733,1.0000000000000002,1.0,1.0,7.0,-0.10854368849115084,0.19826728492038495,0.05821872579686583,0.0,0.0
StoneCladding,1.2199696321196012,1.0290555225083209,2.7433159584764835,3.1282795608278837,0.9494121041577317,0.9439831626021867,0.7600871675248243,0.7914092530658611,4.958962543630454,0.6739387165120909,0.6452104717813077,1.0000000000000002,1.0291707920006412,1.0613461177250894,29.0,2.1474953190510018,1.3440574963437224,0.3547895282186916,0.06419056885067427,0.13793103448275862
OilPatch,0.5872715928985199,0.554654657042404,4.460883595555773,4.598350473229207,0.9714686479291935,0.9601708111713028,0.9260638512802047,0.9576386390068148,1.7960962950694317,0.5066426673198641,1.0016004660104483,1.0,1.0012537943749469,1.0131670219866746,279.0,1.1101316201714333,0.705087307997042,0.042255893967628515,0.02007395139442674,0.007168458781362007
Electrical,0.006556219822151697,0.01106448701134831,0.7550711609147029,1.0986122886681098,0.9736880429533178,0.9820108264654308,0.9718207786312126,0.981045029599754,,,0.9973351718551516,1.0,1.0,1.0,3.0,2.25162169152559,0.6973106571137119,0.005620327826156062,0.08458349326648022,0.0
MetalStairs,0.997352550380153,1.1858821917479898,1.038372801466316,1.609437912434112,0.7550972145723565,0.7662498730071469,0.9032023537611982,0.8079709446907309,-0.9224957277809348,-0.7665001500809515,0.9425154202936743,1.0,1.0,1.0,5.0,0.6413976752698908,1.0505538083033732,0.3125855841779433,0.053159550465646674,0.0
MechanicalInsulation,0.7698228404310731,0.7880791028995437,3.4521190978113983,3.8728045919075575,0.9835017803604756,0.9887131663663365,0.8443528275880927,0.8585361516256779,3.1375041023498604,2.2340163341590666,0.8791655199236486,1.0,1.0074325340587449,1.0051147830027531,57.0,1.5851421232372098,1.479219630474855,0.1268164878149666,0.06191694338354696,0.03508771929824561
AluminiumSiding,0.43109084125709773,0.5280530327661387,0.7466681751726452,1.0986122886681144,0.9425244344775857,0.9561474769901385,0.989213675253519,0.9998590287176354,,,0.7867134441788651,1.0,1.0,1.0,3.0,-0.6039687028537586,-0.061683011513161516,0.2132865558211349,0.0,0.0
DataCabling,1.610802184043629,1.5226450199443775,2.9661477272400383,3.143743604191783,0.9581806432587107,0.9504373499473324,0.6643481415146208,0.7004898066941703,4.81063162361072,2.8528785134015275,0.8304467276522023,1.0000000000000007,1.002250595091875,1.0000510186846694,117.0,2.184089464271215,1.82809914423258,0.17215844635821037,0.09414461563405656,0.06837606837606838
BlanketInsulation,0.685255744024562,0.6758140873691861,4.34671445315044,4.529171490315854,0.9908828319995925,0.9946321262662596,0.8298603386467819,0.8358510203113441,3.6111494262868007,3.810305601995094,0.9560262177889135,0.9999999999999997,1.0126450186216323,1.0124252245199457,349.0,1.7728983628429658,1.7862649707273144,0.04588174915844229,0.06688206315040571,0.05157593123209169
FenestrationFraming,0.8313736358148515,0.8008886820134464,3.887352415182848,4.188142302205305,0.9055322802364825,0.8809457629060079,0.8189809406901288,0.8422521393626317,0.8569863404115953,2.351682161322204,1.2502390031909052,1.0000000000000007,1.041462991446638,1.003105718323195,117.0,1.3417372807509094,1.568018223687935,0.25023900319090636,0.09946131385550927,0.07692307692307693
WindTurbines,0.4735507582456879,0.4153789910288454,1.0117624771394917,1.0986122886681136,0.9964736286399598,0.9981966088328774,0.9741687496561363,0.9666685044175907,,,0.9513529742821296,1.0,1.0,1.0,3.0,1.169821068348105,0.9064969307395134,0.060339887067640124,0.0,0.0
MasonryCement,0.28399376596190984,0.3446818276562538,3.1214584517970656,3.330230943723407,0.45713150699591576,0.5608941092258424,0.8606751852636941,0.9125173287864179,4.639437656662567,2.1111918955360336,1.021948228641401,0.9999999999999998,1.0525772710681602,1.0404724154670761,39.0,-1.356076271024032,-0.839156288608629,0.05059541673338868,0.07110596415266819,0.1282051282051282
UnitSkylights,0.6143731024611171,0.576544618585144,2.2585119629681123,2.4583113296830916,0.9685765480412558,0.9673652209413552,0.9496555533507733,0.9080321139526608,-1.6455988481704404,0.026770315501552257,1.203486019606513,1.0000000000000002,1.0,1.0,13.0,0.23129757896084013,0.9151617747969332,0.2422180728576226,0.0,0.07692307692307693
Openings,0.832044147715387,0.6791016099641805,2.028471652157664,2.458311329683092,0.8225686582828413,0.7214648509564985,0.8627830604647712,0.9065307429718021,-1.409447403492927,-1.159084845375894,0.734028558452793,1.0,1.0185674275852883,1.0056289198758241,13.0,0.0692606356148749,-0.3103110550972685,0.2746949282291953,0.0,0.0
FlashingAndSheetMetal,0.4823669296270249,0.46997161115703373,1.511948582541515,2.0794415416798406,0.9171029212932258,0.9485923611459427,0.8345553799202381,0.8657646760279679,-1.0061628525625266,0.2266127453445296,0.9173194492767565,1.0,1.0,1.0,8.0,0.9859843724226988,1.1435271472790964,0.12425610918249357,0.0017951213861797958,0.25
ManufacturingInputs,1.6318405012663677,0.6425266047424488,0.8228563091041798,1.3862943611198981,0.9716767518360504,0.7854945370200268,0.990357773162823,0.9709961602850896,14.4713269844508,-0.5316203565664377,0.3543584535376053,1.0,1.0,1.0,4.0,2.664199349321594,-0.6437907357190106,0.6456415464623948,0.0,0.0
CementitiousSheathingBoard,0.6686570578511452,0.6384485661308411,3.7644056334351683,4.055407653789452,0.9249133574231738,0.8890970953468423,0.9473708938436816,0.9616788618151633,-0.38236203645187067,-0.04053466995236516,0.9943453983428208,1.0,1.0,1.0,73.0,0.6395689932911457,0.5241991778272629,0.07386521332207736,0.0,0.0
CementBoard,0.347874180311346,0.39500762632778014,2.9228580476496955,3.3672958299864804,0.9800571641384357,0.9498097956113846,0.914924095648269,0.9656965120138044,1.3520342405888761,-0.06768518241489768,0.9210077688552306,1.0000000000000002,1.0,1.0,29.0,1.1515568404624215,0.5326497276505581,0.10226017816040905,0.05383723855138535,0.0
BlanketFacing,0.5057596546746592,0.5240849577453385,2.9995804033756865,3.328471881330743,0.7771729357507188,0.8161471598528622,0.9296716991214937,0.9430429568989149,-0.49349427321892586,-0.7382525987519711,1.012513003339422,1.0000000000000002,1.0,1.0,33.0,-0.38744129870478616,-0.2406143085096524,0.046973849443017066,0.0,0.0
WoodDoors,0.39222074666868506,0.5745000060059082,2.646892211640246,3.1527067166833644,0.683134604966396,0.8123594296010785,0.914653226232441,0.9351723932517038,3.060455241311029,1.306234380656333,0.9477901827716934,0.9999999999999999,1.0005074233697717,1.0,30.0,0.2361364868747475,0.7549446615550371,0.172610170703286,0.1515395392937633,0.03333333333333333
MetalDoorAndFrames,0.5046156369239824,0.5096867583530174,3.1540158105867335,3.35467676984828,0.9691917265583458,0.9663371879464296,0.9291696757580208,0.8952861619672283,0.13430496545554788,0.738030349868272,1.0741741955037625,1.0,1.0,1.0,38.0,0.8393059753253068,1.114997077006518,0.08468209404395266,0.04441575869397154,0.05263157894736842
CableTrays,0.8889205533223079,0.9948997660135476,3.484462549135323,3.7328389820595076,0.8894860362838486,0.885997079126819,0.8786858811520127,0.8516294567086943,1.321340073931861,1.4817509518169623,1.049142951296078,0.9999999999999999,1.0,1.0005377528148858,67.0,1.1838347009051657,1.3213213691482069,0.09973768819032873,0.027321124335902537,0.04477611940298507
SinglePlyKEE,0.11717472508539833,0.17959554673888434,1.5044412921746027,1.7917594692280572,0.9258289052631948,0.9682816558638946,0.9283838646422647,0.9779978867534584,-0.22883368025377065,-0.6108433774680602,1.0227197726105455,1.0,1.0,1.0,6.0,0.2981837031787996,-0.08654540313984176,0.05794014476979654,0.0,0.0
Coil,0.4592384625548399,0.4488964214842975,3.7207562592483363,4.009541707703281,0.4631911488781529,0.5317096531036589,0.9661268580492554,0.9682986303859734,-0.6537994011387154,-0.5110179393713304,1.0364371083165926,1.0000000000000002,1.0,1.0052223950038288,79.0,-0.3738293519215439,-0.26063409997139925,0.04830366584567574,0.0,0.0
StructuralSteel,0.33493102821551596,0.3520012148913083,3.281616649493884,3.6690571702808206,0.7856510170275194,0.724354940313817,0.8369873090006172,0.8046012281599367,-0.7663350216619169,-0.1757119746837524,0.990007979978023,1.0,1.0672744105588716,1.08595813817645,57.0,-0.7803815517749098,-1.038374099815301,0.053279124748465426,0.0,0.0
AcousticalCeilings,0.9484602340952091,0.9492815523452373,4.299162597043576,4.340442014230042,0.9138730739559437,0.8822262990914627,0.7327180079344506,0.6954381186813203,4.51136059250067,8.279916116531135,1.1627146211088997,1.0,1.0381100632155644,1.0281973841805123,360.0,2.1742162201119535,2.720219734605438,0.16302768369937826,0.09591499539952775,0.09166666666666667
FiberCementSiding,0.520617737771121,0.546676490416044,2.811798379351733,3.1649855377779184,0.9727417971378535,0.9588797161924303,0.8060064374649498,0.8355929683260006,6.914354766650569,2.3099783494598043,0.8599595604144636,0.9999999999999999,1.0057515476053014,1.0,28.0,2.251115654692484,1.5825153338613733,0.14004043958553636,0.04614981604139353,0.10714285714285714
WallBase,0.5369178414610559,0.43474110751585177,0.8792946764369257,1.098612288668114,0.9944384586965662,0.9993944637919266,0.9739236242287473,0.9696169863497521,,,0.8628587082741273,1.0,1.0,1.0,3.0,1.9991802229606457,0.8690353630517665,0.13714129172587286,0.0,0.0
CompositeLumber,0.25984686152386216,0.27696303345898243,1.4089354607989923,1.581093750171819,0.9041332278581633,0.9159888074365337,0.8683931490813307,0.9062234150464903,0.15033719938261678,-0.2908773230330325,0.9859831117400104,1.0,1.0,1.0,9.0,0.7809039461699238,0.3347962946411038,0.037156986259792905,0.19996564697534175,0.0
StorageFurniture,1.6346091147344113,1.539163758902845,1.6617008209840352,1.8937882323911532,0.8583773160663236,0.8072257445988017,0.6549083130916367,0.6388814711318862,1.9905780548301877,1.265476961781614,0.9185016829826286,1.0,1.035553334027042,1.0617918271808922,11.0,1.819663358480443,1.6411535098155141,0.08149831701737174,0.16975999932548907,0.18181818181818182
FenestrationAccessories,1.3829018588802817,1.3824508682769288,1.6827357043006663,1.8891591637540373,0.877615366359557,0.9085439860500507,0.6997638163005017,0.7453418392402891,-0.576332010835319,1.5722662326064334,1.2112737198164747,1.0,1.0,1.0,9.0,1.155871005550715,1.557533857202596,0.30407176236150485,0.0,0.2222222222222222
PlateSteel,0.455018162553048,0.4500900309854148,3.5758203655688074,3.9590341907315687,0.8726797017463426,0.8133942827983874,0.977749968991437,0.9680445703453395,-0.6403123417849643,-0.7683472118858675,1.0824520556061668,1.0,1.0,1.0526439932953744,76.0,0.019258079781217154,-0.07144103918646269,0.085954640444656,0.0,0.0
ResilientFlooring,0.5163488496557171,0.5207233849812147,4.485261976359192,4.662092429464009,0.7479432125072297,0.7560818682052773,0.9223680569484625,0.9344659372149421,2.2797330529120314,1.7834716962491275,0.9661214861981549,1.0,1.0098093364043144,1.0030229465903948,444.0,1.153995900307314,1.0335151985569473,0.03815446326600768,0.04866586801351291,0.047297297297297286
DeckingSteel,0.19693809138641058,0.1929275092697812,3.1945312104985657,3.4556244295933753,0.7389276558734861,0.8615156913918699,0.8992769964296102,0.9620088207072186,2.831404523280899,1.6056448070649878,0.994583614178531,1.0,1.0325981114576754,1.0259596336515544,46.0,-1.086652031230142,-0.2752573793127888,0.026986444560599183,0.04426901076141322,0.043478260869565216
AluminiumSheetGoods,0.8372332982670053,0.8884071122777375,3.1443943488147896,3.3234005369492214,0.6935879476883218,0.5800151269124172,0.8371117024074064,0.821075036240178,0.47373086880727816,0.5019972015059982,1.026787093992227,0.9999999999999999,1.0,1.0,36.0,1.210738654903179,1.2563931630929581,0.06893921772974006,0.07309862752093588,0.08333333333333333
InsulatedRoofPanels,0.40759717261659006,0.5543540601930187,2.561364278565094,2.8714761180548747,0.9033180538308606,0.9363922512531296,0.9511020548237685,0.9136390423914031,-0.5127711979563627,-0.5593319991610657,1.2097567666031939,1.0000000000000002,1.0,1.0,19.0,-0.057537666256508344,0.6041526066128643,0.21629817679550495,0.0,0.0
WallFinishes,0.8912504283054035,0.8537786496905914,3.957480565852938,4.260691891631181,0.866533756148405,0.8798851467182887,0.9018269104801497,0.9080641978329885,-0.019722717999582154,-0.14582159713939175,0.9654927429042011,1.0,1.0,1.0,130.0,0.8740448171859003,0.8350739219028929,0.05502541417715424,0.024453803313554155,0.023076923076923078
AluminiumSuspensionAssembly,1.3420437129932588,1.6627218217534026,2.068111343743605,2.0642580751745307,0.946725717973956,0.9513574332321197,0.7426646488533586,0.5975612264534156,0.27832140482293,5.085317709510692,1.5087041035783777,1.0000000000000002,1.0,1.0023887022740159,14.0,1.3034482302381563,2.3670740077256123,0.5601093080835889,0.27046374766678205,0.14285714285714285
SinglePlyPolyurethane,1.175228990273198,1.1087242261962167,2.275772309983267,2.844305326698277,0.9007448959701262,0.8763271687012247,0.8135981518241038,0.8032554875806897,-0.03474605134144936,-0.5391451462851381,0.9468281444783876,1.0,1.0,1.050953682105599,25.0,1.107595613515079,0.9078202029143093,0.09864775099225065,0.0,0.0
JointProtection,0.1513465882054845,0.3184067378982923,0.9284340145116683,1.386294361119894,0.9412089966933719,0.9544059042115549,0.9814562431979817,0.9839234956630523,11.968773527948578,-1.3198896897453987,1.1203937547756408,1.0,1.0,1.0,4.0,-1.138631482579765,-0.31083854592779375,0.18232520275268174,0.0,0.0
