material,n_records,n_with_gwp,dup_manufacturer_gwp,n_manufacturers,top_manufacturer_share,n_unique_uuid,n_missing_uuid,dup_uuid_records,n_unique_name_mfr,frac_industry_wide,frac_product_specific,frac_plant_specific,frac_manufacturer_specific,n_declaration_types,declaration_types
AccessFlooring,162,127,8,42,0.15,162,0,0,154,0.0,0.9382716049382716,0.41975308641975306,1.0,1,Product EPD
AccessFlooringPedestals,18,16,0,11,0.3888888888888889,18,0,0,18,0.0,1.0,0.2222222222222222,1.0,1,Product EPD
AcousticalCeilings,1027,700,89,118,0.1807465618860511,1027,0,0,933,0.0,0.934761441090555,0.43037974683544306,0.9980525803310614,1,Product EPD
Aggregates,727,676,114,187,0.14468085106382977,727,0,0,666,0.0,0.9683631361760661,0.33700137551581844,0.9986244841815681,1,Product EPD
Aluminium,367,268,4,163,0.07563025210084033,367,0,0,354,0.0,0.9945504087193461,0.13896457765667575,0.9945504087193461,1,Product EPD
AluminiumBillets,173,147,5,72,0.3179190751445087,173,0,0,172,0.0,0.9942196531791907,0.09826589595375723,1.0,1,Product EPD
AluminiumExtrusions,110,104,16,34,0.17142857142857143,110,0,0,93,0.0,0.990909090909091,0.4727272727272727,1.0,1,Product EPD
AluminiumSheetGoods,101,68,2,59,0.13,101,0,0,98,0.0,1.0,0.18811881188118812,1.0,1,Product EPD
AluminiumSiding,3,3,0,3,0.3333333333333333,3,0,0,3,0.0,1.0,0.3333333333333333,1.0,1,Product EPD
AluminiumSuspensionAssembly,36,35,6,19,0.2222222222222222,36,0,0,34,0.0,1.0,0.05555555555555555,1.0,1,Product EPD
Asphalt,14808,14740,3125,280,0.12188365650969529,14808,0,0,8065,0.0,0.9998649378714208,0.965829281469476,0.9998649378714208,1,Product EPD
BackingAndUnderlay,103,30,0,39,0.22549019607843138,103,0,0,99,0.0,1.0,0.05825242718446602,1.0,1,Product EPD
BituminousRoofing,174,97,1,51,0.13218390804597702,174,0,0,174,0.0,0.896551724137931,0.3218390804597701,1.0,1,Product EPD
BlanketFacing,65,1,0,11,0.3230769230769231,65,0,0,45,0.0,1.0,0.015384615384615385,1.0,1,Product EPD
BlanketInsulation,877,528,111,79,0.24513172966781213,877,0,0,787,0.0,0.9692132269099202,0.2633979475484607,0.9954389965792474,1,Product EPD
BlownInsulation,98,85,12,35,0.24489795918367346,98,0,0,80,0.0,0.9897959183673469,0.5510204081632653,0.9897959183673469,1,Product EPD
BoardInsulation,1140,792,194,195,0.10856134157105031,1140,0,0,998,0.0,0.9868421052631579,0.4456140350877193,0.9964912280701754,1,Product EPD
Brick,423,404,128,82,0.315035799522673,423,0,0,393,0.0,0.983451536643026,0.5721040189125296,0.983451536643026,1,Product EPD
CMU,1279,910,134,205,0.13307086614173227,1279,0,0,1011,0.0,0.9992181391712275,0.5770132916340891,1.0,1,Product EPD
CableTrays,86,78,1,15,0.47674418604651164,86,0,0,83,0.0,1.0,0.023255813953488372,1.0,1,Product EPD
Carpet,3325,2929,287,97,0.18742478941034899,3325,0,0,2964,0.0,0.9822556390977444,0.42045112781954885,0.9993984962406015,1,Product EPD
CastDecksAndUnderlayment,546,312,18,93,0.40630797773654914,546,0,0,521,0.0,0.978021978021978,0.17032967032967034,0.978021978021978,1,Product EPD
CeilingPanel,607,285,93,76,0.25,607,0,0,575,0.0,0.9456342668863262,0.3871499176276771,0.9967051070840197,1,Product EPD
Cement,1722,1612,187,232,0.1103202846975089,1722,0,0,1485,0.0,0.9982578397212544,0.21777003484320556,1.0,1,Product EPD
CementBoard,59,44,3,24,0.22033898305084745,59,0,0,49,0.0,0.9830508474576272,0.3559322033898305,1.0,1,Product EPD
CementGrout,6399,6371,4123,91,0.5330480266286258,6399,0,0,3051,0.0,0.9990623534927332,0.9707766838568527,1.0,1,Product EPD
CementitiousMaterials,32,32,4,17,0.12903225806451613,32,0,0,32,0.0,0.9375,0.21875,0.9375,1,Product EPD
CementitiousSheathingBoard,96,12,0,25,0.4791666666666667,96,0,0,65,0.0,1.0,0.03125,1.0,1,Product EPD
Chairs,799,459,5,166,0.07721518987341772,799,0,0,765,0.0,0.9962453066332916,0.37296620775969963,0.9974968710888611,1,Product EPD
Cladding,251,147,4,105,0.11336032388663968,251,0,0,246,0.0,0.9760956175298805,0.32270916334661354,1.0,1,Product EPD
Coil,228,193,16,85,0.14537444933920704,228,0,0,195,0.0,0.9956140350877193,0.14912280701754385,1.0,1,Product EPD
ColdFormedSteel,130,125,9,43,0.18461538461538463,130,0,0,116,0.0,0.9384615384615385,0.18461538461538463,0.9692307692307692,1,Product EPD
CompositeLumber,45,37,5,23,0.13953488372093023,45,0,0,42,0.0,0.9777777777777777,0.17777777777777778,1.0,1,Product EPD
CompositionSiding,9,8,0,5,0.375,9,0,0,9,0.0,0.8888888888888888,0.5555555555555556,1.0,1,Product EPD
Concrete,232,223,2,44,0.1724137931034483,232,0,0,205,0.0,0.9094827586206896,0.9267241379310345,0.9698275862068966,1,Product EPD
ConcreteAdmixtures,159,132,7,53,0.0979020979020979,159,0,0,157,0.0,0.9937106918238994,0.07547169811320754,1.0,1,Product EPD
ConcretePaving,625,609,91,71,0.13893376413570274,625,0,0,298,0.0,0.9856,0.8608,1.0,1,Product EPD
Countertops,182,100,5,63,0.13812154696132597,182,0,0,159,0.0,0.9395604395604396,0.12087912087912088,0.9395604395604396,1,Product EPD
CurtainWalls,121,67,8,44,0.16101694915254236,121,0,0,112,0.0,0.9752066115702479,0.2975206611570248,1.0,1,Product EPD
DampproofingAndWaterproofing,275,159,12,86,0.08,275,0,0,267,0.0,0.9781818181818182,0.23272727272727273,0.9818181818181818,1,Product EPD
DataCabling,1810,1113,160,127,0.24544419134396356,1810,0,0,1759,0.0,0.894475138121547,0.1011049723756906,0.9939226519337017,1,Product EPD
DeckingBoards,21,19,1,13,0.2857142857142857,21,0,0,21,0.0,1.0,0.09523809523809523,1.0,1,Product EPD
DeckingSteel,116,100,7,40,0.18421052631578946,116,0,0,93,0.0,0.9913793103448276,0.3017241379310345,1.0,1,Product EPD
DemountablePartitionTrack,16,2,0,13,0.125,16,0,0,16,0.0,1.0,0.0625,1.0,1,Product EPD
DemountablePartitions,127,106,6,28,0.28346456692913385,127,0,0,124,0.0,0.984251968503937,0.47244094488188976,0.984251968503937,1,Product EPD
DoorsAndFrames,310,127,3,91,0.16181229773462782,310,0,0,286,0.0,0.9967741935483871,0.21935483870967742,1.0,1,Product EPD
Electrical,8,0,0,4,0.375,8,0,0,8,0.0,1.0,0.0,1.0,1,Product EPD
Elevators,135,0,0,15,0.291044776119403,135,0,0,126,0.0,1.0,0.044444444444444446,1.0,1,Product EPD
FenestrationAccessories,66,36,1,30,0.12307692307692308,66,0,0,63,0.0,0.9848484848484849,0.18181818181818182,0.9848484848484849,1,Product EPD
FenestrationFraming,635,357,9,244,0.040453074433656956,635,0,0,625,0.0,0.9984251968503937,0.05669291338582677,1.0,1,Product EPD
FiberCementSiding,74,47,0,19,0.16666666666666666,74,0,0,73,0.0,1.0,0.13513513513513514,1.0,1,Product EPD
Finishes,19,19,1,8,0.5263157894736842,19,0,0,19,0.0,1.0,0.2631578947368421,1.0,1,Product EPD
FireAndSmokeProtection,32,30,2,20,0.125,32,0,0,31,0.0,1.0,0.03125,1.0,1,Product EPD
FlashingAndSheetMetal,15,15,0,6,0.5333333333333333,15,0,0,15,0.0,1.0,0.13333333333333333,1.0,1,Product EPD
FlatGlassPanes,246,182,42,34,0.3780487804878049,246,0,0,224,0.0,0.943089430894309,0.15853658536585366,1.0,1,Product EPD
Flooring,26,25,0,18,0.19230769230769232,26,0,0,25,0.0,0.7692307692307693,0.07692307692307693,0.7692307692307693,1,Product EPD
FlowableFill,4674,4665,1118,106,0.2792889269650889,4674,0,0,1462,0.0,0.9957210098416773,0.9839537869062901,1.0,1,Product EPD
FoamedInPlace,57,25,0,28,0.16071428571428573,57,0,0,55,0.0,0.9824561403508771,0.19298245614035087,1.0,1,Product EPD
Furnishings,60,57,0,33,0.18333333333333332,60,0,0,60,0.0,0.9166666666666666,0.48333333333333334,0.9833333333333333,1,Product EPD
GlazedDoors,206,23,0,71,0.06310679611650485,206,0,0,190,0.0,1.0,0.043689320388349516,1.0,1,Product EPD
Grouting,348,308,24,85,0.08645533141210375,348,0,0,331,0.0,1.0,0.3017241379310345,1.0,1,Product EPD
Gypsum,1693,1058,93,145,0.12625963248369887,1693,0,0,1487,0.0,0.9828706438275251,0.2279976373301831,0.9887773183697578,1,Product EPD
GypsumSheathingBoard,55,45,4,14,0.2,55,0,0,50,0.0,1.0,0.16363636363636364,1.0,1,Product EPD
HeavyTimber,9,9,0,7,0.3333333333333333,9,0,0,9,0.0,1.0,0.2222222222222222,1.0,1,Product EPD
Hollow,208,197,16,67,0.18357487922705315,208,0,0,148,0.0,0.8990384615384616,0.38461538461538464,1.0,1,Product EPD
HotRolled,184,176,27,72,0.09392265193370165,184,0,0,151,0.0,0.9565217391304348,0.34782608695652173,1.0,1,Product EPD
InsulatedRoofPanels,319,287,66,39,0.7304075235109718,319,0,0,318,0.0,0.9749216300940439,0.6865203761755486,0.9937304075235109,1,Product EPD
InsulatedWallPanels,548,517,30,46,0.46897810218978103,548,0,0,534,0.0,0.8996350364963503,0.5492700729927007,0.9397810218978102,1,Product EPD
InsulatingGlazingUnits,147,136,23,26,0.2152777777777778,147,0,0,143,0.0,0.9591836734693877,0.19047619047619047,1.0,1,Product EPD
Insulation,1573,488,117,230,0.13610223642172525,1573,0,0,1468,0.0,0.9942784488239034,0.20597584233947872,0.9968213604577241,1,Product EPD
JointProtection,11,7,0,6,0.4444444444444444,11,0,0,11,0.0,1.0,0.36363636363636365,1.0,1,Product EPD
Laminate,70,40,1,37,0.07246376811594203,70,0,0,66,0.0,1.0,0.17142857142857143,1.0,1,Product EPD
MBQ,77,77,9,21,0.38961038961038963,77,0,0,54,0.0,0.987012987012987,0.5714285714285714,1.0,1,Product EPD
ManufacturingInputs,21,18,0,20,0.09523809523809523,21,0,0,21,0.0,1.0,0.19047619047619047,1.0,1,Product EPD
Masonry,56,46,1,28,0.09259259259259259,56,0,0,55,0.0,1.0,0.19642857142857142,1.0,1,Product EPD
MasonryCement,44,44,7,14,0.2727272727272727,44,0,0,38,0.0,1.0,0.7272727272727273,1.0,1,Product EPD
MassTimber,138,129,6,54,0.06716417910447761,138,0,0,122,0.0,1.0,0.4057971014492754,1.0,1,Product EPD
MechanicalInsulation,234,146,63,37,0.28205128205128205,234,0,0,161,0.0,0.9957264957264957,0.38461538461538464,1.0,1,Product EPD
MembraneRoofing,291,191,10,82,0.15862068965517243,291,0,0,275,0.0,1.0,0.10309278350515463,1.0,1,Product EPD
MetalDoorAndFrames,294,184,11,62,0.3333333333333333,294,0,0,288,0.0,0.9965986394557823,0.22108843537414966,1.0,1,Product EPD
MetalRailings,20,16,0,13,0.2,20,0,0,20,0.0,1.0,0.25,1.0,1,Product EPD
MetalStairs,10,7,0,6,0.2,10,0,0,10,0.0,1.0,0.1,1.0,1,Product EPD
Mirrors,36,17,3,10,0.3333333333333333,36,0,0,35,0.0,1.0,0.1111111111111111,1.0,1,Product EPD
MiscMetalFabrication,76,76,1,38,0.14473684210526316,76,0,0,76,0.0,0.9736842105263158,0.13157894736842105,0.9736842105263158,1,Product EPD
Mortar,492,424,36,117,0.08213552361396304,492,0,0,466,0.0,0.991869918699187,0.23170731707317074,0.991869918699187,1,Product EPD
NetworkingCableTrays,54,34,0,14,0.3888888888888889,54,0,0,49,0.0,1.0,0.12962962962962962,1.0,1,Product EPD
NetworkingRaceways,87,54,1,28,0.3333333333333333,87,0,0,85,0.0,1.0,0.022988505747126436,1.0,1,Product EPD
NonStructuralWood,157,129,8,63,0.07741935483870968,157,0,0,147,0.0,0.9490445859872612,0.1910828025477707,1.0,1,Product EPD
OilPatch,520,516,65,26,0.45664739884393063,520,0,0,240,0.0,0.9961538461538462,0.9673076923076923,1.0,1,Product EPD
OpenWebMembranes,25,25,3,13,0.2,25,0,0,19,0.0,0.96,0.16,1.0,1,Product EPD
Openings,37,10,0,17,0.26666666666666666,37,0,0,30,0.0,1.0,0.16216216216216217,1.0,1,Product EPD
OtherFlooring,463,304,14,91,0.10845986984815618,463,0,0,425,0.0,0.9978401727861771,0.3347732181425486,1.0,1,Product EPD
PaintingAndCoating,77,20,0,21,0.2727272727272727,77,0,0,75,0.0,1.0,0.025974025974025976,1.0,1,Product EPD
PlateSteel,127,114,6,63,0.12195121951219512,127,0,0,112,0.0,0.952755905511811,0.23622047244094488,1.0,1,Product EPD
PostTensioningSteel,67,62,7,23,0.26865671641791045,67,0,0,66,0.0,1.0,0.14925373134328357,1.0,1,Product EPD
PowerCabling,421,390,16,28,0.5083532219570406,421,0,0,398,0.0,0.997624703087886,0.27078384798099764,0.997624703087886,1,Product EPD
PrecastConcrete,978,853,55,173,0.12295081967213115,978,0,0,917,0.0,0.9989775051124744,0.5991820040899796,1.0,1,Product EPD
ProcessedNonInsulatingGlassPanes,430,274,31,100,0.11904761904761904,430,0,0,412,0.0,0.9837209302325581,0.07674418604651163,1.0,1,Product EPD
ReadyMix,138988,138253,94044,716,0.14095742766014127,138988,0,0,52214,0.0,0.98581891961896,0.9436570063602613,0.9996114772498346,1,Product EPD
RebarSteel,513,490,62,186,0.1450980392156863,513,0,0,382,0.0,0.9649122807017544,0.442495126705653,0.9941520467836257,1,Product EPD
ResilientFlooring,1260,806,90,157,0.07913669064748201,1260,0,0,1087,0.0,0.9246031746031746,0.2857142857142857,0.9619047619047619,1,Product EPD
RoofCoverBoards,35,35,1,10,0.21212121212121213,35,0,0,29,0.0,1.0,0.2857142857142857,1.0,1,Product EPD
RoofPanels,204,125,9,80,0.08823529411764706,204,0,0,192,0.0,0.9803921568627451,0.3333333333333333,1.0,1,Product EPD
