material,n,n_manufacturers,dup_mfr_gwp,top_mfr_share,plant_specific_share
AccessFlooring,127,29,8,0.1889763779527559,0.5039370078740157
AccessFlooringPedestals,16,9,0,0.4375,0.25
AcousticalCeilings,700,79,89,0.1841726618705036,0.5785714285714286
Aggregates,676,173,114,0.1282442748091603,0.35650887573964496
Aluminium,268,128,4,0.09885931558935361,0.13805970149253732
AluminiumBillets,147,62,5,0.35374149659863946,0.10204081632653061
AluminiumExtrusions,104,32,16,0.18,0.4807692307692308
AluminiumSheetGoods,68,39,2,0.19117647058823528,0.27941176470588236
AluminiumSiding,3,3,0,0.3333333333333333,0.3333333333333333
AluminiumSuspensionAssembly,35,18,6,0.22857142857142856,0.05714285714285714
Asphalt,14740,270,3125,0.12241297414670557,0.9700814111261873
BackingAndUnderlay,30,17,0,0.2413793103448276,0.2
BituminousRoofing,97,35,1,0.12371134020618557,0.35051546391752575
BlanketInsulation,528,55,111,0.38857142857142857,0.3996212121212121
BlownInsulation,85,30,12,0.24705882352941178,0.6235294117647059
BoardInsulation,792,139,194,0.1554993678887484,0.6237373737373737
Brick,404,73,128,0.32754342431761785,0.594059405940594
CMU,910,103,134,0.18756936736958935,0.8087912087912088
CableTrays,78,12,1,0.5128205128205128,0.02564102564102564
Carpet,2929,64,287,0.19767838852850803,0.4701263229771253
CastDecksAndUnderlayment,312,90,18,0.11475409836065574,0.2980769230769231
CeilingPanel,285,43,93,0.5335689045936396,0.7298245614035088
Cement,1612,212,187,0.11779607346421786,0.2313895781637717
CementBoard,44,18,3,0.29545454545454547,0.4772727272727273
CementGrout,6371,81,4123,0.5351686823679185,0.9745722806466802
CementitiousMaterials,32,17,4,0.12903225806451613,0.21875
CementitiousSheathingBoard,12,10,0,0.25,0.16666666666666666
Chairs,459,122,5,0.07947019867549669,0.4880174291938998
Cladding,147,53,4,0.19310344827586207,0.5306122448979592
Coil,193,75,16,0.17098445595854922,0.17616580310880828
ColdFormedSteel,125,41,9,0.192,0.184
CompositeLumber,37,20,5,0.16666666666666666,0.1891891891891892
CompositionSiding,8,5,0,0.375,0.625
Concrete,223,41,2,0.17937219730941703,0.9641255605381166
