arm,dataset,n,estimate_maxima,crit_bw_1,n_modes_silverman
empirical,Tables,7,1.0,0.6355441781132687,1
empirical,StoneCladding,29,1.0613461177250894,0.687818091136974,2
empirical,OilPatch,279,1.0131670219866746,0.42305409729156,1
empirical,Electrical,3,1.0,0.6935139086036973,1
empirical,MetalStairs,5,1.0,0.601704485164105,1
empirical,MechanicalInsulation,57,1.0051147830027531,0.5275633991301969,1
empirical,AluminiumSiding,3,1.0,0.6038252026953387,1
empirical,DataCabling,117,1.0000510186846694,0.4119666853264099,1
empirical,BlanketInsulation,349,1.0124252245199457,0.5338689298401295,1
empirical,FenestrationFraming,117,1.003105718323195,0.43528824111363457,1
empirical,WindTurbines,3,1.0,0.7190962020828512,1
empirical,MasonryCement,39,1.0404724154670761,0.6565389555724638,2
empirical,UnitSkylights,13,1.0,0.5707856370765418,1
empirical,Openings,13,1.0056289198758241,0.6500908266644618,1
empirical,FlashingAndSheetMetal,8,1.0,0.6565321223809604,1
empirical,ManufacturingInputs,4,1.0,0.5691280892311961,1
empirical,CementitiousSheathingBoard,73,1.0,0.42606691352805837,1
empirical,CementBoard,29,1.0,0.3201766296890081,1
empirical,BlanketFacing,33,1.0,0.499805473126982,1
empirical,WoodDoors,30,1.0,0.5290652263256842,1
empirical,MetalDoorAndFrames,38,1.0,0.4470381406278548,1
empirical,CableTrays,67,1.0005377528148858,0.4651321239728518,1
empirical,SinglePlyKEE,6,1.0,0.5750934564494576,1
empirical,Coil,79,1.0052223950038288,0.4572910194412192,1
empirical,StructuralSteel,57,1.08595813817645,0.6580590637255541,2
empirical,AcousticalCeilings,360,1.0281973841805123,0.8785123811820408,2
empirical,FiberCementSiding,28,1.0,0.4664328610627139,1
empirical,WallBase,3,1.0,0.7146313536532133,1
empirical,CompositeLumber,9,1.0,0.5869476641700416,1
empirical,StorageFurniture,11,1.0617918271808922,0.7878699069760269,2
empirical,FenestrationAccessories,9,1.0,0.49893333331232914,1
empirical,PlateSteel,76,1.0526439932953744,0.5255792452452251,2
empirical,ResilientFlooring,444,1.0030229465903948,0.3719676011858497,1
empirical,DeckingSteel,46,1.0259596336515544,0.6675567040433775,1
empirical,AluminiumSheetGoods,36,1.0,0.41012794848717515,1
empirical,InsulatedRoofPanels,19,1.0,0.5680416338818425,1
empirical,WallFinishes,130,1.0,0.3300353594355977,1
empirical,AluminiumSuspensionAssembly,14,1.0023887022740159,0.6854076475103643,1
empirical,SinglePlyPolyurethane,25,1.050953682105599,0.6391382685555942,1
empirical,JointProtection,4,1.0,0.4889215967588521,1
empirical,Aluminium,124,1.0006170598336686,0.4264615139360041,1
empirical,RebarSteel,196,1.0232267949988152,0.51838953770053,2
empirical,Aggregates,206,1.0265838817240829,0.8056196234911343,2
empirical,SinglePlyOther,5,1.0,0.5193290575486792,1
empirical,DemountablePartitionTrack,5,1.0,0.6565977864419229,1
empirical,ReadyMix,77548,1.0024716086526795,0.22675264087026722,2
empirical,BoardInsulation,413,1.0025054487094303,0.3753809001396323,1
empirical,CastDecksAndUnderlayment,123,1.0,0.382676932700822,1
empirical,WorkSurfaces,10,1.0,0.5093676982189345,1
empirical,FireAndSmokeProtection,6,1.0,0.6908434369810528,1
empirical,Cladding,122,1.1011102716426608,0.5463680655480736,2
empirical,DampproofingAndWaterproofing,62,1.0450573389789855,0.6674762198782328,1
empirical,AluminiumExtrusions,17,1.0,0.4972976629733073,1
empirical,TranslucentWallAndRoofAssemblies,4,1.0,0.5060011514429896,1
empirical,VinylSiding,8,1.0,0.6386070273432598,1
empirical,CementGrout,3794,1.0053790828132503,0.2601012619896263,1
empirical,AluminiumBillets,63,1.0363853318875609,0.6726316748161817,2
empirical,CurtainWalls,17,1.0434783542929318,0.8316431535335332,2
empirical,Grouting,222,1.002646895461915,0.4124146484457978,1
empirical,Steel,443,1.0811813140874813,0.4344971227745082,1
empirical,SinglePlyTPO,30,1.0,0.4669566322916172,1
empirical,DemountablePartitions,50,1.0010416367035258,0.49485264235858034,1
empirical,AccessFlooring,62,1.0,0.3461404394415212,1
empirical,PowerCabling,209,1.0001824062146267,0.3697081639523093,1
empirical,CeilingPanel,240,1.0554998191471103,0.713476957742769,2
empirical,DeckingBoards,9,1.0997577998185089,0.80498905928279,2
empirical,Concrete,209,1.005866518129341,0.44390467354926194,1
empirical,Chairs,84,1.0414026082293113,0.964179696549897,2
empirical,DoorsAndFrames,25,1.0,0.5278350045631554,1
empirical,HotRolled,63,1.0105804813863437,0.6015749398111818,1
empirical,Elevators,16,1.0501637510792887,0.9247580255590315,3
empirical,TileGrout,43,1.0039927948064056,0.5687882178443013,1
empirical,WireMeshSteel,24,1.0382993540379741,0.6204635787752207,1
empirical,Countertops,46,1.037271524530629,0.7976030996488177,2
empirical,WoodFraming,7,1.0880718026465894,0.834386666477706,2
empirical,MembraneRoofing,55,1.0,0.29142013389118165,1
empirical,BlownInsulation,27,1.0027408525726877,0.5865446615402357,1
empirical,SinglePlyPVC,84,1.0022278884823668,0.46812547609363275,1
empirical,RoofCoverBoards,8,1.0,0.6617508226334415,1
empirical,ProcessedNonInsulatingGlassPanes,114,1.0002608212635549,0.4384079961732328,1
empirical,ThermalMoistureProtection,4,1.0,0.7517646949479249,1
empirical,MetalRailings,4,1.0,0.7103168886883051,1
empirical,GypsumSheathingBoard,19,1.0,0.4283735394013527,1
empirical,FlowableFill,2075,1.0040260498955644,0.2781500820745305,2
empirical,Shotcrete,1682,1.003351682604777,0.2994538879756946,1
empirical,Siding,4,1.0702406559953648,0.9213449961670682,1
empirical,NetworkingCableTrays,17,1.0,0.39587778482086794,1
empirical,NetworkingRaceways,26,1.0,0.39887466463368915,1
empirical,InsulatedWallPanels,72,1.0,0.41670035074390105,1
empirical,Masonry,21,1.0,0.5612621165114471,1
empirical,HeavyTimber,4,1.0,0.7913567754819681,1
empirical,Flooring,3,1.0,0.8072933976930368,2
empirical,Insulation,677,1.0055979179918366,0.3563567707111893,1
empirical,Gypsum,591,1.0000260566997345,0.2990153715597306,1
empirical,SheathingPanels,48,1.0001816291252699,0.49456831782967375,1
empirical,CMU,562,1.0016360841517187,0.32958435855218576,1
empirical,SprayedInsulation,12,1.0063391117364882,0.6634303135082171,1
empirical,Hollow,116,1.0,0.37527737921668436,1
empirical,Laminate,21,1.0013942680764163,0.5916925349033578,1
empirical,SteelSuspensionAssembly,87,1.0,0.42705292674830253,1
empirical,InsulatingGlazingUnits,32,1.0053439263942603,0.5778239715899565,1
empirical,PrecastConcrete,159,1.0569577521221014,0.7014587781488922,3
empirical,WallPanels,248,1.0070955118236218,0.5946127961407062,1
empirical,Mirrors,4,1.0122700008328187,0.8385773388280421,1
empirical,MiscMetalFabrication,28,1.1088657453662574,0.8133045711657991,3
empirical,WoodFlooring,109,1.0006987176173756,0.4251842571987015,1
empirical,NonStructuralWood,33,1.0,0.4657947445388036,1
empirical,MBQ,44,1.0,0.4515085067607334,1
empirical,SinglePlyEPDM,14,1.0,0.5650540563195963,1
empirical,Timber,17,1.0,0.5247729005265159,1
empirical,ConcreteAdmixtures,51,1.0288777647879852,0.6826937069728727,1
empirical,CementitiousMaterials,9,1.0135565002683158,0.7168472479606249,1
empirical,OtherFlooring,154,1.0326791405841516,0.672018366768569,2
empirical,WeatherBarriers,21,1.0,0.5416620868981968,1
empirical,GlazedDoors,145,1.0,0.3477698519563562,1
empirical,PaintingAndCoating,19,1.0572862153645912,0.6942833123518183,2
empirical,PostTensioningSteel,11,1.0,0.44492334549837537,1
empirical,Cement,522,1.0010091329007562,0.35127086458111745,1
empirical,BackingAndUnderlay,45,1.0,0.4732156409067479,1
empirical,WoodJoists,4,1.0,0.6154405302962243,1
empirical,OpenWebMembranes,8,1.0,0.4225440681630531,1
empirical,Windows,293,1.004732565395422,0.3859677892351584,1
empirical,FlatGlassPanes,44,1.0,0.3770854633396201,1
empirical,CompositionSiding,4,1.000769018220933,0.8088419925535678,1
empirical,Furnishings,17,1.007824501726355,0.6359379220591301,1
empirical,RoofPanels,89,1.0,0.37030929479673624,1
empirical,BituminousRoofing,66,1.0045531678457837,0.48982440196158067,1
empirical,Mortar,151,1.003923758558183,0.4813212907358961,1
empirical,FoamedInPlace,15,1.0,0.6033202993232649,1
empirical,ConcretePaving,400,1.0130327572683189,0.4397911281802029,1
empirical,Carpet,1937,1.004557427611085,0.44781308119621926,2
empirical,SupplementaryCementitiousMaterials,8,1.0,0.5781846948345519,1
empirical,Finishes,14,1.0,0.43477899069154485,1
empirical,AccessFlooringPedestals,11,1.0,0.5384793239402724,1
empirical,MassTimber,45,1.0,0.33059038647864225,1
empirical,Asphalt,8925,1.0173714331809545,0.3507122445136145,4
empirical,ColdFormedSteel,65,1.0,0.3621730455307821,1
empirical,Brick,252,1.1589637769194363,0.7011093056229822,3
shipped_synthetic,dataset1707,57,1.4631130091369717,0.8297696299883306,2
shipped_synthetic,dataset4007,28,1.1811547325900171,0.7036622389187538,3
shipped_synthetic,dataset11656,113,1.0,0.28790594890721216,1
shipped_synthetic,dataset4482,4,1.0,0.7503090959607355,1
shipped_synthetic,dataset9292,12,1.0,0.47177465193953205,1
shipped_synthetic,dataset5466,21,1.043804630471729,0.6824429691389382,1
shipped_synthetic,dataset7032,9,1.0,0.4356972849803489,1
shipped_synthetic,dataset13517,49,1.092017170819025,0.6103118962996901,2
shipped_synthetic,dataset10050,211,1.0022632371198867,0.42087082385093966,1
shipped_synthetic,dataset4504,176,1.4800826255253334,0.694876323924137,3
shipped_synthetic,dataset578,64,1.1832347179851535,0.7066393782976566,2
shipped_synthetic,dataset7041,290,1.0053345532189364,0.39471513604644776,1
shipped_synthetic,dataset9993,65,1.1071487143031478,0.6208925886823627,2
shipped_synthetic,dataset1954,407,1.4488324130531962,0.7662214015692039,2
shipped_synthetic,dataset193,12,1.0336064522428707,0.6996684391789838,1
shipped_synthetic,dataset8302,350,1.0163052293448358,0.43223839536696845,2
shipped_synthetic,dataset7522,186,1.0,0.34868173074542846,1
shipped_synthetic,dataset5255,14,1.1823122286689332,0.8036813618170544,2
shipped_synthetic,dataset12919,117,1.3519028839257932,0.792153488764139,2
shipped_synthetic,dataset5554,24,1.0376684170071597,0.7309716933706333,2
shipped_synthetic,dataset13115,28,1.0,0.438250160571162,1
shipped_synthetic,dataset4018,54,1.0,0.3385993106672899,1
shipped_synthetic,dataset4253,135,1.0765040970737512,0.49602601093855037,1
shipped_synthetic,dataset3851,269,1.1808978899146212,0.5040672679778394,3
shipped_synthetic,dataset894,304,1.2192224337104383,0.6288924859021424,2
shipped_synthetic,dataset7076,21,1.0238854258913819,0.6140392310798297,3
shipped_synthetic,dataset11257,61,1.0,0.36923166027206816,1
shipped_synthetic,dataset4065,601,1.2744831562874699,0.5967003588482125,2
shipped_synthetic,dataset5480,663,1.4558526059281134,0.743792494212778,2
shipped_synthetic,dataset7157,72,1.0,0.35017294487097567,1
shipped_synthetic,dataset10466,28,1.0192873665675217,0.7082263373550954,1
shipped_synthetic,dataset13087,31,1.011366085210482,0.5617013951662797,1
shipped_synthetic,dataset3504,46,1.0356887268295558,0.6696486329605864,4
shipped_synthetic,dataset9880,36,1.0,0.3747078378060832,1
shipped_synthetic,dataset5353,308,1.2299234327090536,0.4713580637553369,3
shipped_synthetic,dataset12334,288,1.0,0.33267660481017286,1
shipped_synthetic,dataset1195,135,1.0238056015218524,0.48561383548820536,2
shipped_synthetic,dataset13292,9,1.1172700630696497,0.8188517369175125,2
shipped_synthetic,dataset13403,90,1.0,0.3310322311676152,1
shipped_synthetic,dataset11509,190,1.0055454925362526,0.49657738738017576,1
shipped_synthetic,dataset4592,162,1.0,0.32603988743930756,1
shipped_synthetic,dataset1003,39,1.1709349371666218,0.6981865493908328,2
shipped_synthetic,dataset65,536,1.0007434828822523,0.32583812819011243,1
shipped_synthetic,dataset12512,100,1.0001156327041465,0.4264233337255804,1
shipped_synthetic,dataset12245,8,1.0081249268698904,0.7234355750432118,1
shipped_synthetic,dataset3567,4,1.1040920612855392,0.9634661123017124,2
shipped_synthetic,dataset169,31,1.0,0.527498017602854,1
shipped_synthetic,dataset3520,142,1.2077461981931943,0.6216319811912363,2
shipped_synthetic,dataset6330,103,1.3021976916608475,0.7337334925933751,2
shipped_synthetic,dataset4999,731,1.0285989068043773,0.4459525250226838,1
shipped_synthetic,dataset9059,24,1.0,0.5449526780709694,1
shipped_synthetic,dataset9462,81,1.5224888562945285,0.7981649094121388,2
shipped_synthetic,dataset2543,308,1.2513062509875457,0.6337073702263751,3
shipped_synthetic,dataset8390,37,1.384096444458354,0.7904512920041253,2
shipped_synthetic,dataset9120,6,1.0,0.6873381207305492,1
shipped_synthetic,dataset1595,193,1.5263708781365661,0.6683654871761364,3
shipped_synthetic,dataset4412,26,1.2279269259303047,0.7660920742648004,2
shipped_synthetic,dataset3431,70,1.2313673467978987,0.6753096494012844,2
shipped_synthetic,dataset3180,21,1.0,0.39009588418655355,1
shipped_synthetic,dataset11516,63,1.1512207760143092,0.7337219941625496,3
shipped_synthetic,dataset6238,20,1.258016890248432,0.825559386084097,2
shipped_synthetic,dataset6417,5,1.0,0.6321071932034392,1
shipped_synthetic,dataset11333,117,1.2243309498331862,0.6463018508350445,2
shipped_synthetic,dataset5980,43,1.0,0.48601206421186044,1
shipped_synthetic,dataset10576,86,1.2694719183685625,0.6787796485773393,2
shipped_synthetic,dataset7176,55,1.0,0.37196176710875933,1
shipped_synthetic,dataset8066,15,1.0,0.4839546062045975,1
shipped_synthetic,dataset9002,226,1.4281987689550528,0.7168427082777775,2
