dataset,k,overlap_true,mean_sep_in_sd,max_mode_share,min_mode_share
0,1,0.0,,1.0,1.0
1,5,0.12076611787439998,8.473219526014155,0.25032275181408736,0.15392472355395215
2,1,0.0,,1.0,1.0
3,4,0.04338057179593282,4.790346505433669,0.3389467511907983,0.191726558613285
4,3,0.23867579561526833,5.596939204556111,0.40320643004944506,0.2388922902395182
5,4,0.2907454070162961,3.3040420938817086,0.3446031232232267,0.17036709238442305
6,3,0.0029392173403874166,5.108268525774651,0.42279056862864567,0.2383056834487226
7,4,0.2071730130310709,5.104295495770844,0.28830308692845136,0.20642416111610226
8,2,0.5516579729384065,1.22425348372097,0.5914828856067313,0.40851711439326877
9,3,0.12443719943044633,3.0477474674685596,0.38134850823416794,0.27112869928023686
10,1,0.0,,1.0,1.0
11,4,0.27353917103735403,3.6017719609635974,0.3028400103419849,0.2035268162023424
12,1,0.0,,0.9999999999999999,0.9999999999999999
13,2,3.1522229384063985e-15,11.443861344922384,0.5817903558972057,0.4182096441027943
14,4,0.1565895883891436,3.384055406853101,0.32644657615730804,0.18736624074892239
15,5,0.14736616108728676,5.513406940503053,0.2636881139660917,0.15925186263647786
16,3,0.0018460884903561828,8.083375140862676,0.43570625562807436,0.26618833354018767
17,2,0.0001020367347283043,3.9512619412881045,0.6902089906350708,0.30979100936492926
18,2,4.933305956881348e-15,15.27895165898296,0.576679803137403,0.4233201968625971
19,3,0.5778225410892498,0.9212290953217454,0.43567739946669576,0.1953197616131341
20,2,5.150863826825453e-06,6.686484335923702,0.5530844718408396,0.4469155281591603
21,3,0.4428121680381027,2.1362321825499264,0.4591975498390905,0.1792631294769353
22,1,0.0,,1.0,1.0
23,4,0.11009970836313819,6.743514738531844,0.2905798572652925,0.2083605519821827
24,1,0.0,,1.0,1.0
25,5,0.1267306734322083,8.52097558587594,0.2848074937490057,0.1382737949456675
26,2,1.0006401966086281e-23,18.82334015011126,0.5127238195947311,0.48727618040526893
27,2,0.000490697034662402,12.823686254343084,0.5676967685833386,0.4323032314166613
28,1,0.0,,1.0,1.0
29,1,0.0,,1.0,1.0
30,1,0.0,,1.0,1.0
31,2,0.01887025903033968,2.5258074944080975,0.5532917838221657,0.4467082161778343
32,3,0.030964111983321125,9.271463706712058,0.44030925083697786,0.19939728731659545
33,5,0.1083396936024598,4.142822823570716,0.26973733606919803,0.13318711778626877
34,2,0.38555612008894313,0.268595364393424,0.6349845217729354,0.36501547822706454
35,1,0.0,,1.0,1.0
36,4,0.06547241518631657,8.715961736020764,0.29819119650137405,0.19291774899018552
37,4,0.06622078016331912,6.583800917024114,0.3334564186091867,0.18446017003313592
38,4,0.0644127865170697,4.774313550049068,0.34005938918896594,0.13715895465494463
39,2,0.5409178507772123,1.296049259436253,0.6695260018232607,0.3304739981767394
40,3,0.1447448123564322,6.994337735870919,0.45702928804004933,0.25996770684367804
41,3,0.2527270218218298,2.4097239955880236,0.39349438176417745,0.235217907178148
42,3,0.14892413686655806,3.483044296729281,0.3973581112866455,0.23219196084642615
43,5,0.14776828936327283,6.682403347468133,0.328736707898428,0.1443005010202786
44,2,1.3967936998368146e-06,5.7087260048871125,0.6347216774308153,0.36527832256918474
45,3,0.3251415466343749,5.016689782821324,0.5149226738462949,0.20648877481420544
46,1,0.0,,1.0,1.0
47,3,0.1968200257727225,3.428097259694441,0.4219836905523236,0.2767240691810415
48,3,0.09319341884983844,2.902607266270747,0.38157473786807766,0.2905851683418702
49,4,0.13416196813010586,5.266999167905339,0.2680175969230201,0.23261025524187146
50,2,1.2734735062802552e-32,7.212928483340344,0.5895754118356704,0.4104245881643297
51,1,0.0,,1.0,1.0
52,5,0.07490872806143051,6.938943709663216,0.28998292260924985,0.1258092056195679
53,1,0.0,,1.0,1.0
54,2,0.00040050752388788336,15.757798544945016,0.5791515139285269,0.42084848607147307
55,4,0.10979688080967276,5.291757575830353,0.30293769013158434,0.22044042686398527
56,4,0.08559206028332565,6.4905403810622415,0.36298606060179456,0.1873119422970311
57,2,0.12328130185189212,3.0942354274960016,0.6919627620821472,0.30803723791785287
58,2,0.8362972829757661,0.003926490951834722,0.6444877840876532,0.35551221591234694
59,1,0.0,,1.0,1.0
60,3,0.333648294287254,5.622277741661089,0.58620999469356,0.19896706036763712
61,1,0.0,,1.0,1.0
62,2,3.386271962732293e-23,10.4326461546316,0.5359588197027444,0.46404118029725566
63,1,0.0,,1.0,1.0
64,5,0.153597020381498,5.092052131577568,0.2680385771335507,0.1516947294128709
65,5,0.11422921296089436,12.384586994341637,0.268714102046341,0.16329112493730685
66,1,0.0,,1.0,1.0
67,4,0.11952081131026782,3.5682317512209827,0.3155282677193968,0.18353598409164806
68,1,0.0,,1.0,1.0
69,4,0.024167154686539013,4.784186563203265,0.3240989026957773,0.15535341395207442
70,2,0.01987628698073684,10.593029904291548,0.5510373381746739,0.44896266182532607
71,3,0.07287553326154078,7.80821693613172,0.4619319737091029,0.17145343880087138
72,5,0.13574113817900513,5.273552365339132,0.2692325162419305,0.10695995115368308
73,5,0.035990794854700775,7.912406625656314,0.28609274232929843,0.12383020423708568
74,3,0.0007840320825123525,20.954707400932616,0.38792941307836365,0.2463002925190907
75,1,0.0,,1.0,1.0
76,3,0.3119353763391043,2.057151496087781,0.46602080260361334,0.2148034939756824
77,2,9.310929805345408e-06,8.698794261494609,0.6468674444448292,0.35313255555517076
78,4,0.18734105062219797,2.179895710154759,0.3668611086314992,0.1709599226898993
79,5,0.28217359784606094,4.291442616241719,0.25376015607633035,0.1098162936226583
80,2,1.4470045917855344e-44,16.177417325510604,0.6516156542483579,0.3483843457516421
81,2,6.60199696805742e-08,7.754671180514037,0.6202278101792774,0.37977218982072247
82,2,0.8929861054086798,0.2213935962097356,0.5085020368165073,0.49149796318349276
83,2,1.3707852328882052e-07,10.638521472448511,0.575996756832773,0.42400324316722693
84,4,0.04900017840347754,8.022610900806015,0.3573712211763013,0.15643441390358076
85,4,0.061202040659659306,12.63959692275418,0.4193657616827236,0.15409494616144365
86,4,0.48798548489371596,1.2141991948895388,0.295276932621366,0.19829011035799257
87,5,0.12031729120029218,3.1031027263459348,0.2618969354407263,0.13256391672996146
88,5,0.10602448325730766,3.344997129330209,0.3239908063556236,0.09118392503559111
89,1,0.0,,1.0,1.0
90,1,0.0,,1.0,1.0
91,5,0.13509790554374687,7.088165963216196,0.3009360136541044,0.120422262340923
92,2,0.2331533653547631,2.552837029358416,0.5137668716160044,0.4862331283839955
93,3,0.029866252988143164,8.498456766671554,0.4243061989509187,0.2862580294389954
94,2,0.10762653725913891,3.5710566959290295,0.604716484230475,0.3952835157695249
95,4,0.03323814057845519,7.426443239191727,0.2990879388164515,0.15921461172781012
96,4,0.08135346838878836,7.6268767621116815,0.39592201172235175,0.139037209762984
97,1,0.0,,1.0,1.0
98,4,0.009532137305081232,8.584439045340602,0.39221022376843384,0.12653089556972877
99,2,0.47444294694156064,0.019011237848622062,0.6123211393166748,0.3876788606833252
100,4,0.11558006308978273,5.495405641092397,0.3576466344246324,0.18453663151447922
101,3,0.07391567389275572,4.7640576536507515,0.4207213028796183,0.26194300872684345
102,3,0.10055840514252738,7.479672441194985,0.4632599685557621,0.24511470109499225
103,4,0.05470637600478672,6.246242277450726,0.38820523020600717,0.12516592707890886
104,4,0.1125861127624606,4.139247043788792,0.35828888428579914,0.12630074634206795
105,4,0.2561557937688215,2.3161290094491984,0.4714006265723706,0.14862168404020118
106,5,0.09652634335247619,4.982104795102218,0.2673473129666302,0.11868185365849539
107,4,0.0047280007225193816,9.574548097223508,0.41113933145404385,0.1407199379830553
108,2,6.343764391392845e-08,10.874084410549512,0.6204939340016686,0.37950606599833137
109,5,0.15975583583286238,6.422689589641372,0.24080677080900867,0.1593121433121827
110,4,0.32768455168770805,1.258319196079478,0.2840026619889027,0.18972766316528542
111,1,0.0,,1.0,1.0
112,3,0.01867606392092242,9.510825002747067,0.3389235476385854,0.32362644915532335
113,5,0.14298563888787294,4.704017859413071,0.2880007675164342,0.09103540523064184
114,1,0.0,,1.0,1.0
115,4,0.03231889224012357,5.94843235242007,0.35321919522930034,0.16958250673127556
116,4,0.020738080134825605,14.26884217399226,0.3449754395757267,0.12033674886714227
117,1,0.0,,1.0,1.0
118,2,0.959523468513305,0.20237448736090957,0.7225304978838728,0.27746950211612714
119,4,0.0446853651378479,7.374408501298707,0.34353036503866563,0.13248729445264779
120,5,0.11448020062460804,4.46743631673287,0.30251754774723194,0.14129990311016294
121,5,0.30833205185554746,3.1687465181370524,0.29273935866056816,0.1361088424604472
122,2,0.3617986752665816,0.5810910559770112,0.5240873318291602,0.4759126681708397
123,1,0.0,,1.0,1.0
124,2,0.2757952208465599,2.1596663085296637,0.5168740729747413,0.4831259270252586
125,2,0.003388298863655383,7.401628514799238,0.6989663870573113,0.3010336129426889
126,4,0.07991412465520707,5.837381786713966,0.3059054914332889,0.1691952176977098
127,5,0.09323409857926701,5.182212520896909,0.26931058050009,0.14940152177215654
128,5,0.057724452211528963,10.240714630074056,0.27723220457377246,0.13179091317912953
129,4,0.22148888065333341,4.327232826133596,0.3033268150574245,0.1877835833296508
130,4,0.0343743333471973,8.622226456548576,0.2873047201835672,0.20038570596915425
131,1,0.0,,1.0,1.0
132,4,0.12959192895060823,6.676098367588182,0.26992503317235206,0.20848764089974417
133,4,0.07880739835007973,8.608579166598211,0.2984159846562093,0.19175284771993426
134,2,2.0971676783497732e-06,6.707892092095787,0.5900125754546117,0.4099874245453883
135,3,0.2962841184926546,2.426143844544319,0.3363170869872023,0.32956934517955905
136,5,0.06627205503187437,5.129416015441729,0.29404237535578176,0.15848530588208243
137,1,0.0,,1.0,1.0
138,1,0.0,,1.0,1.0
139,5,0.09793793460159392,5.490330658915865,0.29234927395051413,0.10171153768621127
140,5,0.07591523146411365,4.490974736150255,0.28504979434329814,0.10162853566201584
141,3,0.17670731435180378,4.359387099488538,0.3810600876006954,0.26003519910849704
142,3,0.0010943450289183693,13.677029658134671,0.5052093616405458,0.1931026149624575
143,1,0.0,,1.0,1.0
144,3,0.013631040169101142,7.425173189241192,0.40317523096187585,0.27129610191971854
145,4,0.16801261534343404,7.3596848645543345,0.2979973225919786,0.20910118214309553
146,3,0.19830461353433407,4.495559408636195,0.3776335467046163,0.29093903330197846
147,2,0.019019084002167702,6.287895543248717,0.6253358453534977,0.3746641546465023
148,1,0.0,,1.0,1.0
149,4,0.16735101306578604,3.2668185847879254,0.31476113935021377,0.18335144091065786
150,2,0.0008652144949694584,6.65614599861208,0.5340262869040727,0.4659737130959273
151,3,0.017306152145180387,8.713801483271691,0.4040853951921809,0.24576744203572376
152,3,0.2563038999716903,2.907874021017617,0.3784001430224421,0.24466560705416163
153,3,9.30220318663284e-08,12.001621713362413,0.3750759549078771,0.29189032274857885
154,3,0.17003189348625528,13.633091562153803,0.38626341727145547,0.2834047319086034
155,1,0.0,,1.0,1.0
156,4,0.26151686830118404,2.478924834676358,0.33860290614899635,0.1982589692532515
157,5,0.10433344836107916,7.21387957018337,0.2562028949370773,0.1364099374643678
158,4,0.12750195892637314,5.3823256976700975,0.31456622600089107,0.16973037824072548
159,2,0.2750305110438128,2.191008640100871,0.6082730728712273,0.3917269271287726
160,2,0.03721852258295526,4.757530885488951,0.5768486626738668,0.42315133732613325
161,1,0.0,,1.0,1.0
162,1,0.0,,0.9999999999999999,0.9999999999999999
163,5,0.09561004853062352,5.652224515768721,0.34542914987467394,0.11599595298296776
164,1,0.0,,1.0,1.0
165,2,0.03506662426932899,3.4515804802643566,0.5080118470652032,0.49198815293479686
166,4,0.096737510969986,6.827285690218287,0.33456630095893836,0.18545029257031795
167,2,0.2750357838820705,2.7852937913368496,0.6118355290805042,0.3881644709194958
168,2,3.59515851743777e-52,11.00877367586127,0.5060541321189312,0.4939458678810688
169,2,4.234388049219369e-09,11.045331052638941,0.6151923465700899,0.38480765342990997
170,3,0.2562515936026342,4.020413126839718,0.39721027736078607,0.21907342718476966
171,2,0.007707738826529396,10.026188525470097,0.5331281200049178,0.46687187999508234
172,1,0.0,,1.0,1.0
173,4,0.1325662752999998,9.232460541085151,0.3225603143091368,0.1841076959830799
174,1,0.0,,1.0,1.0
175,5,0.23385020984828359,1.7241382161536591,0.22183914382928444,0.16008223462669158
176,1,0.0,,1.0,1.0
177,1,0.0,,1.0,1.0
178,4,0.011484961545402975,12.404324474551546,0.3699705912686646,0.16195486543281312
179,1,0.0,,1.0,1.0
180,3,0.030530712419677444,9.322840096434634,0.39033682472207076,0.27091449711703874
181,4,0.21029841866107227,2.979071001639323,0.34195568791294173,0.1745559032636572
182,1,0.0,,0.9999999999999999,0.9999999999999999
183,4,0.14597723824925102,7.993472855530784,0.32147115968847834,0.21338132674205004
184,1,0.0,,1.0,1.0
185,4,0.05794650459086142,7.874268040625128,0.36196071584211587,0.2062569923976124
186,1,0.0,,0.9999999999999999,0.9999999999999999
187,1,0.0,,1.0,1.0
188,3,0.00691858500621744,9.331390450457809,0.43965262651489445,0.19699258306381845
189,1,0.0,,1.0,1.0
190,3,0.005001203673955952,10.718826517052355,0.3723521023183621,0.26129643099437333
191,4,0.21616264284205458,4.640134067662043,0.37292977153331847,0.11497856335087697
192,1,0.0,,1.0,1.0
193,4,0.12766327869660216,4.579118931376388,0.2588349442058132,0.23348660418676268
194,4,0.20159112283956002,7.055831940246834,0.3321332705263379,0.13594692332304636
195,2,0.0001167261604251214,5.120152638506179,0.6148136780261139,0.385186321973886
196,1,0.0,,1.0,1.0
197,1,0.0,,1.0,1.0
198,4,0.14739150250462027,4.227002594654141,0.43686954430337727,0.17293073662395753
199,4,0.20226346672782014,4.553496322431909,0.34204156940481895,0.17889412018132286
200,5,0.0451877302558032,12.129463959430888,0.32940044824166653,0.12579841719180107
201,5,0.108054783453568,10.29377679443833,0.23732663320096553,0.13064838344065854
202,5,0.07117651395230244,8.299637132712999,0.2742356563682766,0.13164794425444107
203,5,0.08420261991445245,8.808770375495188,0.3029385449403841,0.08968643799798433
204,3,0.2255714050650897,3.5254294493612175,0.38962385773264524,0.3034450982865449
205,2,0.06103761522158076,3.7553895884002135,0.5653127537396921,0.43468724626030786
206,4,0.38757540780806227,1.2755335849215002,0.2980246934420366,0.13760655408801536
207,1,0.0,,1.0,1.0
208,2,0.06299311623199887,7.559872127588154,0.5433002425924278,0.4566997574075721
209,4,0.1091656817367862,6.595819630805138,0.2914717816921776,0.13122839159599414
210,2,0.02085769219656386,2.3360294870382785,0.5211561975225393,0.4788438024774606
211,2,0.005087434640029164,8.194143764215955,0.7196314630388496,0.2803685369611505
212,5,0.09807762230805081,8.063875302435024,0.26214043522603986,0.14180000217618463
213,2,0.024269228204194915,15.479748764792694,0.5473555507263369,0.45264444927366315
214,3,3.708125874200915e-08,11.225830496253467,0.38465625963706884,0.2865343512263999
215,1,0.0,,0.9999999999999999,0.9999999999999999
216,4,0.01656094021920389,7.817648126589487,0.33443260503464495,0.19423363845912786
217,1,0.0,,1.0,1.0
218,5,0.08142818801480234,6.603597414725961,0.3293838491784116,0.11868927804870208
219,5,0.2782058151766266,2.7520098307608314,0.287166215671237,0.15579512674773408
220,4,0.31514993044573886,1.0580721079259987,0.3304803772383276,0.16193438834673302
221,5,0.08476453505576238,5.259698172974685,0.301699488101933,0.11832222164371865
222,3,0.28585424505693996,5.926192633080798,0.3925231676533745,0.28410728413478387
223,2,1.0673162741595047e-09,8.909331091772392,0.5313903005175222,0.46860969948247766
224,5,0.11173656121086384,6.301688827938139,0.3775486096616818,0.12183617203980723
