arm,dataset,n,k_fitted,overlap_fitted
empirical,Tables,7.0,1,0.0
empirical,StoneCladding,29.0,5,0.007625333048012012
empirical,OilPatch,279.0,5,0.09969060631951705
empirical,Electrical,3.0,1,
empirical,MetalStairs,5.0,1,
empirical,MechanicalInsulation,57.0,2,0.25511499674219035
empirical,AluminiumSiding,3.0,1,
empirical,DataCabling,117.0,3,0.06091995967452705
empirical,BlanketInsulation,349.0,5,0.09688040222519256
empirical,FenestrationFraming,117.0,3,0.11467457862545904
empirical,WindTurbines,3.0,1,
empirical,MasonryCement,39.0,3,0.000689772747364125
empirical,UnitSkylights,13.0,3,0.004156909741187511
empirical,Openings,13.0,3,4.599316322242492e-05
empirical,FlashingAndSheetMetal,8.0,2,0.002651989922385142
empirical,ManufacturingInputs,4.0,1,
empirical,CementitiousSheathingBoard,73.0,1,0.0
empirical,CementBoard,29.0,1,0.0
empirical,BlanketFacing,33.0,2,0.011010419079793903
empirical,WoodDoors,30.0,4,0.0007436910713954112
empirical,MetalDoorAndFrames,38.0,2,0.16317718751953292
empirical,CableTrays,67.0,3,0.033139744228530325
empirical,SinglePlyKEE,6.0,1,0.0
empirical,Coil,79.0,4,0.021540008719518073
empirical,StructuralSteel,57.0,4,0.0004910643886688316
empirical,AcousticalCeilings,360.0,5,0.04956110656447194
empirical,FiberCementSiding,28.0,2,0.24670387999414342
empirical,WallBase,3.0,1,
empirical,CompositeLumber,9.0,2,0.0014017305716520474
empirical,StorageFurniture,11.0,3,6.167792724533062e-08
empirical,FenestrationAccessories,9.0,3,0.0026707320211249116
empirical,PlateSteel,76.0,3,0.02146179760224386
empirical,ResilientFlooring,444.0,4,0.1316486991219021
empirical,DeckingSteel,46.0,2,2.810085128537653e-05
empirical,AluminiumSheetGoods,36.0,3,0.11114352342952087
empirical,InsulatedRoofPanels,19.0,3,0.0034459905739774783
empirical,WallFinishes,130.0,5,0.027779239595314163
empirical,AluminiumSuspensionAssembly,14.0,2,0.07131901972455518
empirical,SinglePlyPolyurethane,25.0,4,0.00594347140671992
empirical,JointProtection,4.0,1,
empirical,Aluminium,124.0,3,0.14974159798353345
empirical,RebarSteel,196.0,4,0.04335447422219601
empirical,Aggregates,206.0,4,0.07714239782472693
empirical,SinglePlyOther,5.0,1,
empirical,DemountablePartitionTrack,5.0,1,
empirical,ReadyMix,77548.0,3,0.576420696314624
empirical,BoardInsulation,413.0,3,0.240242744656696
empirical,CastDecksAndUnderlayment,123.0,2,0.19949363291594902
empirical,WorkSurfaces,10.0,3,0.0004994054153591207
empirical,FireAndSmokeProtection,6.0,2,1.427771123945282e-08
empirical,Cladding,122.0,2,0.026565043697948366
empirical,DampproofingAndWaterproofing,62.0,2,8.554305533949493e-07
empirical,AluminiumExtrusions,17.0,5,0.00013616688947521281
empirical,TranslucentWallAndRoofAssemblies,4.0,1,
empirical,VinylSiding,8.0,2,0.02994984580590607
empirical,CementGrout,3794.0,4,0.2665783308296487
empirical,AluminiumBillets,63.0,2,0.007926732180464992
empirical,CurtainWalls,17.0,4,0.009146784067310763
empirical,Grouting,222.0,4,0.1024926894675882
empirical,Steel,443.0,3,0.2014430411041502
empirical,SinglePlyTPO,30.0,1,0.0
empirical,DemountablePartitions,50.0,3,0.08139298333495772
empirical,AccessFlooring,62.0,1,0.0
empirical,PowerCabling,209.0,4,0.10024340725171486
empirical,CeilingPanel,240.0,3,0.10911452839483099
empirical,DeckingBoards,9.0,2,4.0957534810049566e-111
empirical,Concrete,209.0,2,0.6719339797321594
empirical,Chairs,84.0,3,0.06789346924951305
empirical,DoorsAndFrames,25.0,1,0.0
empirical,HotRolled,63.0,2,0.1673058949682816
empirical,Elevators,16.0,5,0.0071854248139448604
empirical,TileGrout,43.0,4,0.01940532062290264
empirical,WireMeshSteel,24.0,2,0.07330422434943375
empirical,Countertops,46.0,5,0.004100851380505198
empirical,WoodFraming,7.0,2,1.2617051230175212e-05
empirical,MembraneRoofing,55.0,1,0.0
empirical,BlownInsulation,27.0,4,0.03297821291131502
empirical,SinglePlyPVC,84.0,2,0.38062557057779145
empirical,RoofCoverBoards,8.0,2,4.77013336584561e-07
empirical,ProcessedNonInsulatingGlassPanes,114.0,4,0.10486873742712265
empirical,ThermalMoistureProtection,4.0,1,
empirical,MetalRailings,4.0,1,
empirical,GypsumSheathingBoard,19.0,5,0.008523723540346365
empirical,FlowableFill,2075.0,4,0.15094210486954793
empirical,Shotcrete,1682.0,2,0.5770843422096477
empirical,Siding,4.0,1,
empirical,NetworkingCableTrays,17.0,5,0.0009434004898887093
empirical,NetworkingRaceways,26.0,4,0.0013421585097465596
empirical,InsulatedWallPanels,72.0,1,0.0
empirical,Masonry,21.0,3,0.007009780377601531
empirical,HeavyTimber,4.0,1,
empirical,Flooring,3.0,1,
empirical,Insulation,677.0,4,0.10368331045352341
empirical,Gypsum,591.0,2,0.48732036311084104
empirical,SheathingPanels,48.0,3,0.05477522517373997
empirical,CMU,562.0,2,0.4524863671577697
empirical,SprayedInsulation,12.0,3,3.086066245719445e-05
empirical,Hollow,116.0,2,0.49498357426465867
empirical,Laminate,21.0,5,0.008197658636950104
empirical,SteelSuspensionAssembly,87.0,2,0.25193807027583887
empirical,InsulatingGlazingUnits,32.0,4,0.03935369103189106
empirical,PrecastConcrete,159.0,3,0.004100354491266104
empirical,WallPanels,248.0,2,0.239184603348519
empirical,Mirrors,4.0,1,
empirical,MiscMetalFabrication,28.0,5,6.239335192886212e-06
empirical,WoodFlooring,109.0,5,0.016443076056668227
empirical,NonStructuralWood,33.0,2,0.0030632692438225134
empirical,MBQ,44.0,2,0.08441113601673057
empirical,SinglePlyEPDM,14.0,4,4.0302903205803675e-05
empirical,Timber,17.0,3,0.002730274185229349
empirical,ConcreteAdmixtures,51.0,5,0.015047577826891017
empirical,CementitiousMaterials,9.0,3,1.7391633552031827e-17
empirical,OtherFlooring,154.0,4,0.06716233783456403
empirical,WeatherBarriers,21.0,3,0.02702072567710766
empirical,GlazedDoors,145.0,4,0.09898968818922538
empirical,PaintingAndCoating,19.0,5,0.004269889443086237
empirical,PostTensioningSteel,11.0,1,0.0
empirical,Cement,522.0,3,0.29567064982820024
empirical,BackingAndUnderlay,45.0,5,0.022126969398402575
empirical,WoodJoists,4.0,1,
empirical,OpenWebMembranes,8.0,2,0.00607042793145255
empirical,Windows,293.0,5,0.0638083808966358
empirical,FlatGlassPanes,44.0,2,0.19718699944634643
empirical,CompositionSiding,4.0,1,
empirical,Furnishings,17.0,4,1.41808304132931e-08
empirical,RoofPanels,89.0,2,0.4028550635081828
empirical,BituminousRoofing,66.0,2,0.12472600885409763
empirical,Mortar,151.0,2,0.2926540044775024
empirical,FoamedInPlace,15.0,5,0.002403343962471719
empirical,ConcretePaving,400.0,3,0.09538807410203964
empirical,Carpet,1937.0,3,0.38290051043386225
empirical,SupplementaryCementitiousMaterials,8.0,2,0.00011210640374560872
empirical,Finishes,14.0,4,0.014334371845906203
empirical,AccessFlooringPedestals,11.0,2,0.003738379192392895
empirical,MassTimber,45.0,2,0.1969190461639755
empirical,Asphalt,8925.0,3,0.4594681773619466
empirical,ColdFormedSteel,65.0,1,0.0
empirical,Brick,252.0,3,0.05868768805728201
shipped_synthetic,dataset1707,57.0,4,0.03411669112747164
shipped_synthetic,dataset4007,28.0,5,0.023158390834277006
shipped_synthetic,dataset11656,113.0,2,0.46100185885027833
shipped_synthetic,dataset4482,4.0,1,
shipped_synthetic,dataset9292,12.0,1,0.0
shipped_synthetic,dataset5466,21.0,5,0.0022345655836568928
shipped_synthetic,dataset7032,9.0,1,0.0
shipped_synthetic,dataset13517,49.0,4,0.0014450216636190118
shipped_synthetic,dataset10050,211.0,3,0.2012812469914718
shipped_synthetic,dataset4504,176.0,5,0.046930897338895924
shipped_synthetic,dataset578,64.0,3,0.022920344505281996
shipped_synthetic,dataset7041,290.0,2,0.16568524999239756
shipped_synthetic,dataset9993,65.0,3,0.008480097571138453
shipped_synthetic,dataset1954,407.0,3,0.14814806865873223
shipped_synthetic,dataset193,12.0,4,4.678223604060112e-07
shipped_synthetic,dataset8302,350.0,1,0.0
