component,eigenvalue,variance_share,cumulative_share,top_loading,arm
PC1,3.1899425461131106,0.318994254611311,0.318994254611311,fit_norm_SW,empirical
PC2,2.058338548946637,0.20583385489466366,0.5248281095059746,skewness,empirical
PC3,1.3246219524954967,0.13246219524954966,0.6572903047555243,modality_index,empirical
PC4,1.0665985510524936,0.10665985510524933,0.7639501598607736,fit_lognorm_SW,empirical
PC5,0.9396977533190484,0.09396977533190481,0.8579199351926785,fit_lognorm_SW,empirical
PC6,0.6105701021778926,0.061057010217789254,0.9189769454104677,weight_outliers,empirical
PC7,0.3469389281612494,0.034693892816124935,0.9536708382265926,w_v_uw_wasserstein,empirical
PC8,0.2476474950775937,0.024764749507759365,0.978435587734352,entropy,empirical
PC9,0.13367154359837066,0.013367154359837064,0.9918027420941891,coeffvar,empirical
PC10,0.08197257905810815,0.008197257905810813,0.9999999999999999,skewness,empirical
PC1,3.044416130293483,0.3044416130293484,0.3044416130293484,fit_norm_SW,synthetic
PC2,1.5609882319762731,0.15609882319762736,0.46054043622697577,skewness,synthetic
PC3,1.4418142095471025,0.1441814209547103,0.604721857181686,weight_outliers,synthetic
PC4,1.2079955827012312,0.12079955827012316,0.7255214154518091,entropy,synthetic
PC5,1.0302688489527376,0.1030268848952738,0.8285483003470829,coeffvar,synthetic
PC6,0.6363132725800791,0.06363132725800794,0.8921796276050908,weight_outliers,synthetic
PC7,0.42835405666885434,0.04283540566688545,0.9350150332719763,kurtosis,synthetic
PC8,0.3282353158911423,0.03282353158911424,0.9678385648610905,entropy,synthetic
PC9,0.30614506976810313,0.030614506976810323,0.9984530718379009,coeffvar,synthetic
PC10,0.015469281620989926,0.0015469281620989932,0.9999999999999999,fit_lognorm_SW,synthetic
