material,n_old_trimmed,n_new_raw,delta,med_old,med_new,med_ratio,below_min_n,abs_log_ratio
AccessFlooring,62,53,-9,26.15,25.9,0.9904397705544933,False,0.004171929122041228
AccessFlooringPedestals,11,13,2,1.88,2.14,1.1382978723404256,False,0.05625592408551099
AcousticalCeilings,360,412,52,3.985,5.481955,1.3756474278544544,False,0.1385071404710022
Aggregates,206,385,179,0.0047639580345999995,0.00695,1.4588709534221471,False,0.1640168774346896
Aluminium,124,181,57,2.432280628,2.9799,1.2251464595392074,False,0.08818800932719625
AluminiumBillets,63,121,58,4.1,3.487121376,0.8505174087804879,False,0.07031679262175228
AluminiumExtrusions,17,38,21,3.87,5.585,1.4431524547803618,False,0.15931221243271648
AluminiumSheetGoods,36,28,-8,2.355,3.285,1.3949044585987262,False,0.14454446243088465
AluminiumSiding,3,3,0,52.34,52.34,1.0,False,0.0
AluminiumSuspensionAssembly,14,22,8,0.0916,0.96137548775,10.495365586790394,False,1.0209975710327996
Asphalt,8925,7461,-1464,0.06064,0.0660357021723904,1.0889792574602637,False,0.03701960752772912
BackingAndUnderlay,45,45,0,5.35,3.33,0.6224299065420561,False,0.20590954851490856
BituminousRoofing,66,66,0,2.96,3.21,1.0844594594594594,False,0.03521332134593348
BlanketFacing,33,31,-2,1.37,1.44,1.0510948905109487,False,0.021641924938842816
BlanketInsulation,349,319,-30,1.8,1.67,0.9277777777777777,False,0.032556033955722825
BlownInsulation,27,24,-3,0.414,0.3849,0.9297101449275363,False,0.03165243002630796
BoardInsulation,413,335,-78,5.45,4.18,0.7669724770642201,False,0.11522022050160728
Brick,252,225,-27,0.3674302916405,0.206,0.5606505633497247,False,0.25130773712600457
CMU,562,492,-70,267.0,261.15028774999996,0.9780909653558051,False,0.009620752661337615
CableTrays,67,59,-8,0.14945351777110039,0.1426106306562594,0.954213944128626,False,0.020354241294312087
Carpet,1937,2014,77,8.16,8.84,1.0833333333333333,False,0.03476210625921191
CastDecksAndUnderlayment,123,255,132,0.278,227.0,816.546762589928,False,2.9119810612750463
CeilingPanel,240,240,0,4.119757774775842,5.048977431,1.2255520122841974,False,0.08833174738628649
Cement,522,1202,680,0.7915000000000001,0.66,0.833859759949463,False,0.07890698365650604
CementBoard,29,21,-8,8.59,7.04,0.8195576251455181,False,0.08642050468913005
CementGrout,3794,3771,-23,309.0,310.0,1.0032362459546926,False,0.0014032144094380686
CementitiousMaterials,9,24,15,0.37008,0.6699999999999999,1.8104193687851273,False,0.2577791872742822
CementitiousSheathingBoard,73,51,-22,52.7,36.2,0.6869070208728653,False,0.16310204467938091
Chairs,84,88,4,0.048510576535,0.09506932561,1.9597649090277918,False,0.292203977052625
Cladding,122,135,13,48.3,48.61,1.0064182194616977,False,0.0027784903230300205
Coil,79,141,62,2.3368971999999997,2.27,0.9713734947348135,False,0.01261375102507697
ColdFormedSteel,65,67,2,2.830188679245283,2.359935218,0.8338437770266667,False,0.07891530803193784
CompositeLumber,9,16,7,239.47,274.12813965,1.1447285240322378,False,0.05870250458516244
CompositionSiding,4,3,-1,31.490307226308957,25.5,0.8097729824209438,False,0.09163671729499276
Concrete,209,213,4,277.9927271,279.2728381,1.0046048362968125,False,0.001995264578022615
ConcreteAdmixtures,51,118,67,0.601,0.773285,1.2866638935108154,False,0.10946511391511206
ConcretePaving,400,383,-17,324.5,324.0,0.9984591679506933,False,0.000669690929775912
Countertops,46,76,30,21.685000000000002,30.65,1.4134194143417107,False,0.15027105236965307
CurtainWalls,17,56,39,136.0,140.39247311827955,1.032297596457938,False,0.013804916155598089
DampproofingAndWaterproofing,62,162,100,1.9449999999999998,2.14,1.1002570694087406,False,0.04149416768746438
DataCabling,117,951,834,0.037083979974650814,0.0252906566912453,0.6819833445205455,False,0.1662262316062001
DeckingBoards,9,7,-2,19.294,28.8,1.4926920286099306,False,0.1739702135709841
DeckingSteel,46,63,17,2.383954154727794,2.261249492,0.9485289335432693,False,0.022949417029896786
DemountablePartitionTrack,5,5,0,0.12827,0.12827,1.0,False,0.0
DemountablePartitions,50,46,-4,71.6,59.45,0.8303072625698326,False,0.0807611633531451
DoorsAndFrames,25,61,36,74.0,86.18,1.1645945945945946,False,0.06617477002137276
Electrical,3,5,2,7.791429977,7.791429977,1.0,False,0.0
Elevators,16,22,6,0.030150987499999997,0.1471068702290076,4.8790067067955105,False,0.6883314151039202
FenestrationAccessories,9,17,8,0.6969,20.554,29.493471086239058,False,1.4697258876718076
FenestrationFraming,117,261,144,5.47,5.792275317,1.058916876965265,False,0.024861870124336365
FiberCementSiding,28,31,3,7.492,7.17,0.9570208222103577,False,0.01907861303539966
Finishes,14,15,1,0.245,0.26,1.0612244897959184,False,0.025807263606285526
FireAndSmokeProtection,6,23,17,0.8699531655,3.1412916,3.6108743833290875,False,0.5576123802640084
FlashingAndSheetMetal,8,12,4,1.675,1.865,1.1134328358208956,False,0.04666402477184239
FlatGlassPanes,44,47,3,11.3039,11.8,1.0438875078512726,False,0.018653700436632503
Flooring,3,17,14,34.8,13.68,0.3931034482758621,False,0.4054931465624835
FlowableFill,2075,2008,-67,111.0,112.0,1.009009009009009,False,0.003895043883524138
FoamedInPlace,15,16,1,7.75317578,6.2620000000000005,0.8076690349460902,False,0.09276656712465235
Furnishings,17,7,-10,5.22,93.9,17.98850574712644,False,1.2549950892638488
GlazedDoors,145,141,-4,65.1,69.63028573,1.0695896425499232,False,0.02921718875168961
Grouting,222,225,3,0.3015,0.3971667907,1.3173027883913764,False,0.11968561111480137
Gypsum,591,777,186,2.5,2.54692816,1.0187712640000002,False,0.008076686524952678
GypsumSheathingBoard,19,19,0,3.3369214208826694,3.5090363066854673,1.0515789448099353,False,0.021841881880498473
HeavyTimber,4,5,1,73.995,117.0,1.5811879181025743,False,0.1989834872283391
Hollow,116,150,34,1.9714814349999998,1.830915915915916,0.9287005616240643,False,0.0321242918158537
HotRolled,63,85,22,0.888,0.703,0.7916666666666666,False,0.10145764075877708
InsulatedRoofPanels,19,271,252,26.33636474,32.3636556,1.2288581176446753,False,0.08950174270657713
InsulatedWallPanels,72,425,353,34.7,34.5199019,0.9948098530259365,False,0.0022599219409002716
InsulatingGlazingUnits,32,32,0,75.24000000000001,75.24000000000001,1.0,False,0.0
Insulation,677,666,-11,3.9682539682539684,3.89,0.98028,False,0.00864985789274815
JointProtection,4,5,1,3.4768568353067812,2.9709364908503764,0.8544891640866873,False,0.06829344026588519
Laminate,21,27,6,2.7,7.9,2.925925925925926,False,0.46626332713145413
MBQ,44,40,-4,0.88295031,0.92486789,1.0474744496097408,False,0.02014343829338528
ManufacturingInputs,4,13,9,2.71,0.577,0.2129151291512915,False,0.6717934777186744
Masonry,21,35,14,0.16203957,0.177,1.0923257819062344,False,0.03835218432418221
MasonryCement,39,28,-11,0.62390746,0.5961843634999999,0.9555653710247349,False,0.019739597144608954
MassTimber,45,66,21,144.0,164.0126009,1.138976395138889,False,0.05651472358115941
MechanicalInsulation,57,22,-35,3.032520325203252,4.0225,1.326454423592493,False,0.12269233240177742
MembraneRoofing,55,168,113,2.85,4.354409082,1.5278628357894737,False,0.1840843671103481
MetalDoorAndFrames,38,42,4,143.3197103,143.3197103,1.0,False,0.0
MetalRailings,4,14,10,3.6751397735845224,2.9833173202638124,0.8117561518902597,False,0.09057441139075773
MetalStairs,5,6,1,0.2326,2.92,12.553740326741186,False,1.0987731410559887
Mirrors,4,19,15,17.4,39.8349,2.2893620689655174,False,0.3597144829842003
MiscMetalFabrication,28,69,41,2.5011969105,2.92,1.1674410710095908,False,0.06723496788374643
Mortar,151,250,99,0.27,0.36114185,1.3375624074074073,False,0.12631405428980627
NetworkingCableTrays,17,22,5,0.18999189740437541,0.18084790234213272,0.9518716577540105,False,0.021421604227605077
NetworkingRaceways,26,32,6,0.08140695604024373,0.059435967904577294,0.7301092043681744,False,0.1366121764446936
NonStructuralWood,33,58,25,343.6,415.06730565,1.2079956509022118,False,0.08206537071510416
OilPatch,279,282,3,312.0,312.0,1.0,False,0.0
OpenWebMembranes,8,18,10,0.9925843914999999,1.0255,1.0331615213596679,False,0.014168223118436537
Openings,13,12,-1,1.4858991976144333,1.4770092024150305,0.9940170940170938,False,0.00260614701771332
OtherFlooring,154,217,63,9.6,6.28,0.6541666666666667,False,0.1843115893023723
PaintingAndCoating,19,19,0,0.06705596378977956,3.81,56.818212499999994,False,1.754487566704807
PlateSteel,76,74,-2,2.0595,2.24,1.0876426317067251,False,0.03648622204172654
PostTensioningSteel,11,35,24,1.87,316.8182155,169.42150561497326,False,2.228968536910351
PowerCabling,209,400,191,0.08718864107533382,0.0598694743599838,0.6866659879267373,False,0.16325446363179788
PrecastConcrete,159,546,387,0.22654066644879997,0.25099269660464996,1.107936603785777,False,0.0445149107410526
ProcessedNonInsulatingGlassPanes,114,130,16,34.25,29.25512746,0.8541643054014598,False,0.06845858122467172
ReadyMix,77548,86995,9447,335.0,326.19,0.9737014925373134,False,0.011574164285344643
RebarSteel,196,208,12,0.8636598849999999,0.8457870399999999,0.9793056904570716,False,0.009081721929200341
ResilientFlooring,444,476,32,8.661200000000001,9.59,1.1072368724888004,False,0.044240539948467605
RoofCoverBoards,8,25,17,4.9475,4.56,0.921677614957049,False,0.03542096021399888
RoofPanels,89,61,-28,22.7,14.2,0.6255506607929515,False,0.20373751281006625
SheathingPanels,48,71,23,291.5129151291513,285.0,0.9776582278481013,False,0.00981294040752548
Shotcrete,1682,1670,-12,376.17911955,378.0,1.0048404612467012,False,0.0020971141940629183
Siding,4,1,-3,7.845,37.2,4.74187380497132,True,0.6759499919589421
SinglePlyEPDM,14,30,16,4.335,4.04104685,0.932190738177624,False,0.030495216334062197
SinglePlyKEE,6,11,5,6.0,6.5,1.0833333333333333,False,0.03476210625921191
SinglePlyOther,5,2,-3,1.78,3.6965,2.076685393258427,True,0.3173707082246422
SinglePlyPVC,84,80,-4,5.052509525,5.182141123999999,1.025656873749288,False,0.011002094926935088
SinglePlyPolyurethane,25,27,2,9.91,4.68,0.4722502522704339,False,0.3258278014111513
SinglePlyTPO,30,62,32,3.6100000000000003,4.205,1.1648199445983378,False,0.066258798228273
SprayedInsulation,12,13,1,2.14,2.91,1.3598130841121496,False,0.1334792156367165
Steel,443,576,133,2.18,2.296787312,1.05357216146789,False,0.022664286744343475
SteelSuspensionAssembly,87,114,27,2.9733333333333336,2.9570247933884297,0.9945150650409517,False,0.0023886337415565347
StoneCladding,29,19,-10,24.8,31.2,1.2580645161290323,False,0.09970291319222653
StorageFurniture,11,17,6,2.11,2.771129787526016,1.3133316528559318,False,0.11837441140347815
StructuralSteel,57,105,48,2.831275720164609,2.5,0.8829941860465116,False,0.05404215596516153
SupplementaryCementitiousMaterials,8,28,20,0.1394973305,0.07644999999999999,0.5480391612225153,False,0.26118840703538243
Tables,7,161,154,23.1,0.6487182667,0.028083041848484848,False,1.5515558528647688
ThermalMoistureProtection,4,4,0,3.755,16.009999999999998,4.263648468708388,False,0.6297813905791125
TileGrout,43,44,1,0.4385340463,0.5443365321,1.2412640174524119,False,0.09386416596898348
Timber,17,17,0,122.527,122.527,1.0,False,0.0
TranslucentWallAndRoofAssemblies,4,47,43,72.45,103.0,1.4216701173222912,False,0.1527988348979788
UnitSkylights,13,17,4,146.07,131.94444444444446,0.9032959844214723,False,0.044169920407977396
VinylSiding,8,11,3,5.095,3.796,0.7450441609421001,False,0.12781798458719013
WallBase,3,14,11,0.02793998491240815,0.02806698484382815,1.0045454545454533,False,0.0019695928629039224
WallFinishes,130,173,43,21.486842860000003,15.05,0.7004286343070505,False,0.1546361077808408
WallPanels,248,164,-84,22.33613775,24.65,1.1035927641518954,False,0.04280884430877368
WeatherBarriers,21,59,38,0.5335952839,0.6782846439,1.271159368093508,False,0.1042000024381515
WindTurbines,3,3,0,813.0,813.0,1.0,False,0.0
Windows,293,363,70,75.7,72.9,0.9630118890356671,False,0.016368351182098118
WireMeshSteel,24,55,31,1.9951811,1.86,0.9322462006080552,False,0.030469377940716476
WoodDoors,30,32,2,18.57502797,21.3,1.1467008305129351,False,0.05945012705148076
WoodFlooring,109,90,-19,9.585585585585585,10.614,1.1072875939849625,False,0.044260434120994833
WoodFraming,7,9,2,102.974,96.4,0.9361586419872978,False,0.0286505492302065
WoodJoists,4,5,1,0.10314934429935409,0.0737361601824735,0.7148485594681112,False,0.14578595365836328
WorkSurfaces,10,13,3,44.0,48.0,1.0909090909090908,False,0.037788560889399754
