material,n_old,n_slice_incl_expired,n_new,delta,slice_covers_old,unit_type_new,unit_type_mix,n_unit_types,med_ratio
AccessFlooring,62,162,53,-9,True,area,area:141|weight:7|length:1,4,0.9904397705544933
AccessFlooringPedestals,11,18,13,2,True,weight,weight:15|area:3,2,1.1382978723404256
AcousticalCeilings,360,1027,412,52,True,area,area:955|weight:16|length:10,4,1.3756474278544544
Aggregates,206,727,385,179,True,weight,weight:687|vol:20|area:12,4,1.4588709534221471
Aluminium,124,367,181,57,True,weight,weight:243|area:43|length:27,4,1.2251464595392074
AluminiumBillets,63,173,121,58,True,weight,weight:144|length:18|vol:3,4,0.8505174087804879
AluminiumExtrusions,17,110,38,21,True,weight,weight:91|length:12|area:2,4,1.4431524547803618
AluminiumSheetGoods,36,101,28,-8,True,weight,weight:65|area:14|length:2,4,1.3949044585987262
AluminiumSiding,3,3,3,0,True,area,area:3,1,1.0
AluminiumSuspensionAssembly,14,36,22,8,True,weight,weight:36,1,10.495365586790394
Asphalt,8925,14808,7461,-1464,True,weight,weight:14792|area:4|length:2,4,1.0889792574602637
BackingAndUnderlay,45,103,45,0,True,area,area:60|vol:9|weight:3,4,0.6224299065420561
BituminousRoofing,66,174,66,0,True,area,area:155|weight:18,2,1.0844594594594594
BlanketFacing,33,65,31,-2,True,area,area:47|length:1,2,1.0510948905109487
BlanketInsulation,349,877,319,-30,True,area,area:836|vol:8|weight:8,4,0.9277777777777777
BlownInsulation,27,98,24,-3,True,area,area:84|weight:7|vol:3,4,0.9297101449275363
BoardInsulation,413,1140,335,-78,True,area,area:1049|weight:34|vol:26,4,0.7669724770642201
Brick,252,423,225,-27,True,weight,weight:396|area:14|vol:6,3,0.5606505633497247
CMU,562,1279,492,-70,True,vol,vol:847|area:277|weight:50,4,0.9780909653558051
CableTrays,67,86,59,-8,True,length,length:75|area:3,2,0.954213944128626
Carpet,1937,3325,2014,77,True,area,area:3122|weight:45|length:3,3,1.0833333333333333
CastDecksAndUnderlayment,123,546,255,132,True,vol,weight:276|vol:255|area:12,4,816.546762589928
CeilingPanel,240,607,240,0,True,area,area:567|weight:12|length:2,4,1.2255520122841974
Cement,522,1722,1202,680,True,weight,weight:1613|vol:50|area:25,4,0.833859759949463
CementBoard,29,59,21,-8,True,area,area:58,1,0.8195576251455181
