material,coeffvar,coeffvar_uw,crit_bw_1,crit_bw_1_uw,entropy,entropy_uw,fit_lognorm_SW,fit_lognorm_SW_uw,fit_norm_SW,fit_norm_SW_uw,kurtosis,kurtosis_uw,mean,mean_uw,modality_index,modality_index_uw,n,skewness,skewness_uw,w_v_uw_wasserstein,weight_outliers,weight_outliers_uw
AccessFlooring,0.7503911674694778,0.7973928575390324,0.8676549519159824,0.7274248494701964,3.2040357623834166,3.6726978358901863,0.8084823679905724,0.912889545161801,0.8443445032319709,0.8870817017132662,6.155803021706818,3.3764462370627895,1.0182971422188556,0.9999999999999999,1.0288399387176805,1.0280841516181272,53.0,1.821856707444566,1.4611833411752164,0.14639590904520958,0.026165663613333015,0.018867924528301886
AccessFlooringPedestals,0.712715399619916,0.6420544974645521,0.4317553779467755,0.4942698121611483,2.119627929752668,2.351673301904639,0.9236331737534935,0.9247448315443465,0.9271319377521956,0.9467795739712258,2.2715970148960896,0.49182272625335366,0.7025280362987643,1.0000000000000002,1.0,1.0,13.0,1.1425816875343155,0.7895028742751836,0.29747196370123563,0.01634850201210562,0.0
AcousticalCeilings,1.9473150628810856,1.6591697013389641,1.9210795433796963,1.6255745426907335,3.232399547215983,3.348246316654555,0.9524541231811475,0.9622585378473276,0.3990237897358407,0.5006358208247527,38.34374455025252,38.18153348513542,1.0118806626388754,1.0000000000000002,1.012482523916325,1.008822288055942,412.0,5.717682358295114,5.27016477638714,0.1441610358935398,0.13569027937699768,0.145631067961165
Aggregates,10.253741279085842,13.600956754446665,4.228787934539407,4.366959600325371,0.24353559528015867,0.23312573115082397,0.9221482375939892,0.9226675547271814,0.05948272969981177,0.04217035484506115,475.2466828290616,368.31693775132794,1.1012568472391724,0.9999999999999996,1.015383998523275,1.0049317218972285,385.0,20.646232455926846,19.026036176258025,0.5644059248119965,0.06578297715570768,0.1064935064935065
Aluminium,1.2373498439366357,1.1373243131891615,1.311650696336597,1.4747411091879208,3.6715898056675718,3.8042870708527023,0.9898692704865104,0.9886150041865063,0.6307506191116721,0.6705498711678214,17.582143595612425,22.42413995157351,1.042192856365389,0.9999999999999999,1.014464966677935,1.0119558914664593,178.0,3.581887649319286,3.768632344472071,0.07557736691142072,0.07273486412404231,0.06179775280898876
AluminiumBillets,0.7677285000504069,0.8656033349634747,1.128033334585071,0.9840579270630823,3.8376230523292802,4.126670474533679,0.902101225053181,0.9537935662538458,0.8568789944435538,0.822467890478628,10.17128937795658,8.613243147204013,0.9804158494707013,1.0,1.0283526447779507,1.017329270759607,120.0,1.971632023803514,2.236995624420989,0.11063611586867371,0.007188839897442279,0.03333333333333333
AluminiumExtrusions,0.971965735567773,0.8424412596827917,0.9785477215781156,0.9415570094719036,2.7958274659040327,3.2828949078742866,0.959835346329948,0.9227744837479634,0.7403340942252178,0.7307795213591978,5.2333779580145805,7.093139300939295,0.9666296465768862,1.0000000000000002,1.0532808343472788,1.0698587077307478,37.0,2.2262216832981574,2.4761288678314393,0.12156916763380811,0.06699953566275631,0.05405405405405406
AluminiumSheetGoods,0.7379147790842484,0.8322869541332962,0.5486932546621879,0.470608801393936,2.6263732524423355,2.971376539969033,0.927555235415576,0.9510641296365299,0.8687051964336872,0.8443267531038592,-0.6074152312423932,0.15362685049534813,1.201141625780241,1.0,1.0,1.0,26.0,0.7342003420816642,1.0742523999301254,0.2081958042802606,0.0,0.038461538461538464
AluminiumSiding,0.5561338655929918,0.5280530327661387,0.5821742760483836,0.6038252026953387,0.9107057113534405,1.0986122886681144,0.9595336539315152,0.9561474769901381,0.9998353931150059,0.9998590287176354,,,0.7385624489963935,1.0,1.0,1.0,3.0,1.3125566135966271,-0.06168301151315891,0.26143755100360666,0.0,0.0
AluminiumSuspensionAssembly,1.1591672302651108,1.201867774075298,0.9449747686559659,0.7015529080303639,1.9679215847591536,2.347180829317888,0.8638024897995541,0.9093437360966836,0.6836888403952984,0.7629110641513599,5.41379130118988,4.483214366916057,1.0996401897401178,1.0000000000000002,1.0605189923758895,1.0204005894902481,22.0,2.203997009123925,1.9275733301416929,0.2406646987739408,0.0764537284725682,0.045454545454545456
Asphalt,0.26861393636559583,0.26500025515816206,0.35484036808570035,0.4518768062802839,4.606699707480429,4.623080975179613,0.9626795515541609,0.9678180434231227,0.889387213545733,0.8963405675894759,6.473890939075535,6.109877075826179,0.9979099502877521,1.0000000000000002,1.013653980536607,1.009154565156715,7232.0,1.6825704372793573,1.6228284976725058,0.0035180796065417755,0.04690060731451337,0.045492256637168146
