material,n_modes
AccessFlooring,1
AccessFlooringPedestals,1
AcousticalCeilings,2
Aggregates,3
Aluminium,2
AluminiumBillets,2
AluminiumExtrusions,2
AluminiumSheetGoods,1
AluminiumSiding,1
AluminiumSuspensionAssembly,1
Asphalt,1
BackingAndUnderlay,1
BituminousRoofing,2
BlanketFacing,2
BlanketInsulation,1
BlownInsulation,1
BoardInsulation,2
Brick,3
CMU,1
CableTrays,2
Carpet,1
CastDecksAndUnderlayment,1
CeilingPanel,2
Cement,2
CementBoard,1
CementGrout,2
CementitiousMaterials,2
CementitiousSheathingBoard,1
Chairs,4
Cladding,2
Coil,2
ColdFormedSteel,2
CompositeLumber,1
CompositionSiding,1
Concrete,2
ConcreteAdmixtures,2
ConcretePaving,1
Countertops,2
CurtainWalls,3
DampproofingAndWaterproofing,3
DataCabling,3
DeckingBoards,1
DeckingSteel,2
DemountablePartitionTrack,1
DemountablePartitions,1
DoorsAndFrames,2
Electrical,1
Elevators,2
FenestrationAccessories,2
FenestrationFraming,2
FiberCementSiding,2
Finishes,2
FireAndSmokeProtection,2
FlashingAndSheetMetal,1
FlatGlassPanes,2
Flooring,1
FlowableFill,2
FoamedInPlace,2
Furnishings,1
GlazedDoors,2
Grouting,2
Gypsum,3
GypsumSheathingBoard,1
HeavyTimber,2
Hollow,2
HotRolled,2
InsulatedRoofPanels,2
InsulatedWallPanels,2
InsulatingGlazingUnits,1
Insulation,2
JointProtection,1
Laminate,1
MBQ,1
ManufacturingInputs,2
Masonry,3
MasonryCement,1
MassTimber,2
MechanicalInsulation,1
MembraneRoofing,3
MetalDoorAndFrames,1
MetalRailings,1
MetalStairs,1
Mirrors,1
MiscMetalFabrication,1
Mortar,2
NetworkingCableTrays,1
NetworkingRaceways,1
NonStructuralWood,3
OilPatch,2
OpenWebMembranes,2
Openings,1
OtherFlooring,1
PaintingAndCoating,2
PlateSteel,1
PostTensioningSteel,1
PowerCabling,3
PrecastConcrete,1
ProcessedNonInsulatingGlassPanes,1
ReadyMix,1
RebarSteel,3
ResilientFlooring,2
RoofCoverBoards,1
RoofPanels,1
SheathingPanels,1
Shotcrete,1
SinglePlyEPDM,1
SinglePlyKEE,1
SinglePlyPVC,2
SinglePlyPolyurethane,3
SinglePlyTPO,1
SprayedInsulation,2
Steel,6
SteelSuspensionAssembly,2
StoneCladding,2
StorageFurniture,1
StructuralSteel,2
SupplementaryCementitiousMaterials,1
Tables,2
ThermalMoistureProtection,1
TileGrout,2
Timber,1
TranslucentWallAndRoofAssemblies,1
UnitSkylights,1
VinylSiding,1
WallBase,1
WallFinishes,2
WallPanels,3
WeatherBarriers,2
WindTurbines,1
Windows,1
WireMeshSteel,1
WoodDoors,1
WoodFlooring,1
WoodFraming,1
WoodJoists,1
WorkSurfaces,2
