material,n,k_bic,overlap
AccessFlooring,53,3,0.0532264320681202
AccessFlooringPedestals,13,4,0.011051090128594421
AcousticalCeilings,412,4,0.10794155284435712
Aggregates [1 kg],34,4,0.053182084785440904
Aggregates [1000 kg],350,4,0.09190592592894649
Aluminium,178,5,0.06931251464734761
AluminiumBillets,120,3,0.1738396241318514
AluminiumExtrusions,37,3,0.004935334420283054
AluminiumSheetGoods,26,2,0.08339016079182648
AluminiumSiding,3,1,
AluminiumSuspensionAssembly,22,5,0.0027569205407969423
Asphalt,7232,3,0.3091813662027643
BackingAndUnderlay,45,5,0.030484047408467236
BituminousRoofing,66,3,0.08530154026864713
BlanketFacing,28,3,0.0008164916234813506
BlanketInsulation,318,3,0.17254016141066267
BlownInsulation,24,4,5.4435617804329636e-05
BoardInsulation,335,4,0.09463152738069665
Brick,215,3,0.2364917650738301
CMU,486,2,0.38385616449765014
CableTrays,59,3,0.08273117523230648
Carpet,1989,3,0.22117658134189833
CastDecksAndUnderlayment,255,3,0.08822819207500997
CeilingPanel,239,3,0.15050611065645503
Cement,1088,2,0.407365192386477
CementBoard,21,5,0.004266204540718281
CementGrout,3764,4,0.23298048157403248
CementitiousMaterials,24,5,0.0024095878941610286
CementitiousSheathingBoard,51,2,0.10389477576813871
Chairs [1 kg],31,3,2.6593396245188223e-05
Chairs [1000 kg],50,4,0.06663475596040584
Cladding,135,3,0.0712283653495442
Coil,140,3,0.13601160765309575
ColdFormedSteel,67,3,0.07414248356177892
CompositeLumber,16,2,8.009824310000863e-07
CompositionSiding,3,1,
Concrete,211,2,0.4849606796603082
ConcreteAdmixtures [1 kg],92,5,0.05980976477885852
ConcreteAdmixtures [1000 kg],26,2,3.89233310945998e-08
ConcretePaving,381,3,0.1202178848738688
Countertops,76,3,0.014363535677272256
CurtainWalls,54,3,0.021298050872287085
DampproofingAndWaterproofing,162,4,0.07465385020196215
DataCabling,951,5,0.10408145047947696
DeckingBoards,7,2,4.1035367835201126e-08
DeckingSteel,62,1,0.0
DemountablePartitionTrack,4,1,
DemountablePartitions,45,2,8.014207964737479e-05
DoorsAndFrames,61,2,0.12963147317293836
Electrical,3,1,
Elevators [1 kg],3,1,
Elevators [1 t],17,5,8.11240562327611e-07
FenestrationAccessories,17,5,0.010771939143400185
FenestrationFraming,259,4,0.09725242349899677
FiberCementSiding,29,2,0.0001163960122183112
Finishes,14,3,1.8024475520641013e-05
FireAndSmokeProtection,22,3,1.0132559477234573e-05
FlashingAndSheetMetal,12,4,0.004056215386522955
FlatGlassPanes,47,4,0.028048151280589417
Flooring,17,3,0.010315008788111492
FlowableFill,2008,5,0.13445326079237233
FoamedInPlace,16,3,0.004321862055030263
Furnishings,7,2,0.0008349464636257751
GlazedDoors,141,4,0.0881614571450588
Grouting [1 kg],205,5,0.06349345034103733
Grouting [1000 kg],14,4,6.494264301347331e-05
Gypsum,771,3,0.2702737145584339
GypsumSheathingBoard,19,1,0.0
HeavyTimber,5,1,
Hollow,145,2,6.347534079144186e-10
HotRolled,81,2,0.10998977085893512
InsulatedRoofPanels,271,2,0.5251517158132089
InsulatedWallPanels,420,3,0.16004177497088504
InsulatingGlazingUnits,32,4,0.02711753852753705
Insulation,666,5,0.06415732847333286
JointProtection,5,1,
Laminate,26,4,0.012155007728281665
MBQ,40,2,0.16484533565799814
ManufacturingInputs,13,4,0.0026122538833526945
Masonry,35,4,0.01283141988303159
MasonryCement,26,2,0.00017322862116889422
MassTimber,66,3,0.052687384590019766
MechanicalInsulation,22,4,0.007473830597099006
MembraneRoofing,167,4,0.032384516457632774
MetalDoorAndFrames,42,2,0.2569542625961616
MetalRailings,13,4,8.164401663946576e-06
MetalStairs,5,1,
Mirrors,19,3,0.006690566971703865
MiscMetalFabrication,69,4,0.04606061318707167
Mortar,248,3,0.14414559758350565
NetworkingCableTrays,22,2,0.030631105276099687
NetworkingRaceways,32,3,0.06844409240164645
NonStructuralWood,57,4,0.050624120922930775
OilPatch,282,3,3.074770969552164e-05
OpenWebMembranes,17,5,0.0011978135143021907
Openings,12,3,6.163069401965878e-05
OtherFlooring,217,4,0.10117791780984835
PaintingAndCoating,19,5,0.009182615130285284
PlateSteel,72,4,0.017589217337664016
PostTensioningSteel,35,4,0.044590782942644513
PowerCabling [0.65 m],3,1,
PowerCabling [1 km],251,5,0.05618223949338643
PowerCabling [1 m],146,5,0.02497031127495699
PrecastConcrete,499,3,0.10539072032142373
ProcessedNonInsulatingGlassPanes,130,4,0.08538763181836852
ReadyMix,86770,3,0.5661892137483858
RebarSteel,204,3,0.04693957252781115
ResilientFlooring,468,5,0.09757506382187783
RoofCoverBoards,20,3,0.012439598351422465
RoofPanels,61,4,0.06986057687213981
SheathingPanels,71,2,0.07451887045058189
Shotcrete,1669,2,0.5764151553011809
SinglePlyEPDM,29,5,0.005416210409019149
SinglePlyKEE,11,1,0.0
SinglePlyPVC,74,4,0.054437885047031724
SinglePlyPolyurethane,27,3,0.00848899844815653
SinglePlyTPO,62,1,0.0
SprayedInsulation,11,2,2.504770266804323e-31
Steel,554,4,0.09178166258686703
SteelSuspensionAssembly,99,2,4.165112031871356e-08
StoneCladding,19,5,0.002935758688712525
StorageFurniture,15,4,0.00015381462864567493
StructuralSteel,103,3,0.01045244369852287
SupplementaryCementitiousMaterials,28,3,0.07874351687682618
Tables,161,5,0.03533722448233971
ThermalMoistureProtection,4,1,
TileGrout,43,5,0.029020213695135633
Timber,17,1,0.0
TranslucentWallAndRoofAssemblies,46,2,0.14058208235312025
UnitSkylights,17,3,0.0007848411339139019
VinylSiding,11,3,0.0019730055754555876
WallBase,14,2,0.00011928790226334308
WallFinishes,173,5,0.07064007776194733
WallPanels,163,3,0.11383707747473605
WeatherBarriers,59,3,0.12259593761168792
WindTurbines,3,1,
Windows,358,2,0.24215728813948625
WireMeshSteel,53,3,0.07924390068453073
WoodDoors,32,4,0.0021723195007074757
WoodFlooring,86,4,0.020677476017335057
WoodFraming,7,2,3.3898746648496646e-08
WoodJoists,5,1,
WorkSurfaces,12,4,0.0009663306006369925
