metric,empirical_median,synthetic_median,empirical_iqr,synthetic_iqr,median_shift_in_sd,w1_standardized,ks,weight,empirical_arm,corpus
kurtosis,1.240586458333579,1.5160142883373866,3.1964196360331782,2.7410454561643913,0.05694004644584228,0.6692941145873953,0.09696669240207463,1.0,old arm,2026-09-12b
fit_lognorm_SW,0.9309445549678381,0.8962455258504454,0.0787021898554382,0.10666759280294202,-0.4475749805548858,0.5090419239974302,0.23004202898550724,1.0,old arm,2026-09-12b
coeffvar,0.5933860915339209,0.48735213318953363,0.409459696555252,0.42039996319259865,-0.26047073611659577,0.4646069247412644,0.21795797101449274,3.0,old arm,2026-09-12b
entropy,2.944749005448351,3.628324700963848,1.7682364345459956,2.860630974485852,0.5874352352428905,0.3919456853086337,0.2526014492753623,1.0,old arm,2026-09-12b
crit_bw_1,0.553923693991585,0.480527091133957,0.24387615455043793,0.3013220014797662,-0.4202348454188355,0.3874615344294707,0.20349710144927535,3.0,old arm,2026-09-12b
fit_norm_SW,0.8821267070840402,0.9149875447365619,0.13317741007437145,0.090900407521735,0.2845997412238784,0.33879249782887877,0.21007536231884058,1.0,old arm,2026-09-12b
skewness,1.0342074458202621,0.842885641402844,1.0477898594320347,1.2606606325296803,-0.14501862550568603,0.3337576281262836,0.15564057971014492,1.0,old arm,2026-09-12b
n,35.0,99.5,105.5,989.75,0.009729805239280596,0.19574262498332234,0.2667652173913043,0.25,old arm,2026-09-12b
w_v_uw_wasserstein,0.08331637239335321,0.09293270513387279,0.10611732616990302,0.14526848806280956,0.07968414424657441,0.14490808137033426,0.08500869565217391,1.0,old arm,2026-09-12b
weight_outliers,0.028211303421512283,0.03250741481887488,0.06829293797129772,0.06419381311235946,0.06840447713805932,0.10144604770553833,0.07292898550724637,1.0,old arm,2026-09-12b
kurtosis,1.240586458333579,0.9549505713748774,3.1964196360331782,3.8998325968666645,-0.0590503896058833,1.389737460417429,0.15142190798683972,1.0,old arm,2026-09-12c
fit_lognorm_SW,0.9309445549678381,0.8524967964861607,0.0787021898554382,0.18246488192606336,-1.0118800113462472,1.3073896775408178,0.39265797101449273,1.0,old arm,2026-09-12c
w_v_uw_wasserstein,0.08331637239335321,0.13884598270669812,0.10611732616990302,0.2555829079183687,0.4601368939242387,0.8121404232466805,0.22148695652173914,1.0,old arm,2026-09-12c
skewness,1.0342074458202621,0.7405096726202796,1.0477898594320347,1.5803676913802422,-0.22261784281846658,0.5429792048439646,0.21694057971014494,1.0,old arm,2026-09-12c
fit_norm_SW,0.8821267070840402,0.8461234099188499,0.13317741007437145,0.208153204462032,-0.31181582054507473,0.45743509362192886,0.18619420289855074,1.0,old arm,2026-09-12c
crit_bw_1,0.553923693991585,0.6125636917770872,0.24387615455043793,0.3058273884017688,0.33574538119362424,0.3822291086042452,0.13896521739130435,3.0,old arm,2026-09-12c
entropy,2.944749005448351,2.8526447020053753,1.7682364345459956,2.69844373248176,-0.07915043427502952,0.2672841688487815,0.1212231884057971,1.0,old arm,2026-09-12c
coeffvar,0.5933860915339209,0.5396796715695688,0.409459696555252,0.5277039440323098,-0.1319289684241267,0.2618012708990211,0.1641217391304348,3.0,old arm,2026-09-12c
n,35.0,99.5,105.5,989.75,0.009729805239280596,0.19574262498332234,0.2667652173913043,0.25,old arm,2026-09-12c
weight_outliers,0.028211303421512283,0.012928770028012612,0.06829293797129772,0.07342015675391766,-0.24333486947499727,0.17656004529701663,0.12286666666666667,1.0,old arm,2026-09-12c
fit_lognorm_SW,0.9367945627134653,0.8962455258504454,0.05983337897752261,0.10666759280294202,-0.6923069665860688,0.8647032921736354,0.31181764705882353,1.0,new arm,2026-09-12b
fit_norm_SW,0.7561292197164595,0.9149875447365619,0.26690587174687486,0.090900407521735,0.7582094186456918,0.7568911451347129,0.44435882352941175,1.0,new arm,2026-09-12b
crit_bw_1,0.8519580788266062,0.480527091133957,0.5009935395726246,0.3013220014797662,-0.5809557487046253,0.6953813914434137,0.4380588235294118,3.0,new arm,2026-09-12b
skewness,2.059584054459011,0.842885641402844,2.2347104851405817,1.2606606325296803,-0.3742749202936054,0.634061806600242,0.4465470588235294,1.0,new arm,2026-09-12b
entropy,2.930540038638127,3.628324700963848,1.2226748905496998,2.860630974485852,0.6883940684032692,0.6193200350301091,0.33036470588235295,1.0,new arm,2026-09-12b
coeffvar,0.7823090199084836,0.48735213318953363,0.7141164284265065,0.42039996319259865,-0.18204015683918895,0.3951120173864682,0.41318823529411763,3.0,new arm,2026-09-12b
weight_outliers,0.05714269684099743,0.03250741481887488,0.09204808347203428,0.06419381311235946,-0.39240057380375853,0.34675986724915064,0.22265882352941177,1.0,new arm,2026-09-12b
