dataset,k,min_mode_cv,median_mode_cv,overlap_achieved
dataset0,3,0.2500634830137377,1.215100084914109,0.6102247022558104
dataset1,1,1.0100001543141512,1.0100001543141512,0.0
dataset2,3,0.5854928680188922,0.627064387812846,0.4891923568541014
dataset3,2,1.3940978030598248,2.399515082202999,0.7197885996599749
dataset4,4,0.25809069478149493,1.0271830411903733,0.5768086183440211
dataset5,2,0.8259812966379565,1.1438177998137191,0.7685042463147685
dataset6,3,0.23639131305157413,0.3061180666763333,0.33799407007288745
dataset7,3,0.14818482220291349,0.27062189865398345,0.3905111923805647
dataset8,3,0.569956854780438,0.6166059209228218,0.3247265215529018
dataset9,5,0.1621266148266537,0.3785614885792151,0.5572350676002447
dataset10,5,0.11845170697582626,0.4087367079624336,0.37337488226137056
dataset11,4,0.3894516607726766,1.4398942793254528,0.7336968964289666
dataset12,4,0.6075027865828106,1.1970777836953408,0.3132589754284499
dataset13,1,0.40712714656071375,0.40712714656071375,0.0
dataset14,3,0.47327978517620534,0.47698027785533076,0.8614721688887341
dataset15,2,0.11881551205555804,0.5767236615967118,0.25332336937988836
dataset16,5,0.11237035705581681,0.2379265590836235,0.4734640281657462
dataset17,4,0.16532609162245054,0.42874521480094707,0.5333078189249605
dataset18,5,0.06412681281654611,0.16139053387096017,0.44366733709768713
dataset19,4,0.18792849905275194,0.3215982733815908,0.35341384732816733
dataset20,2,0.618267990005144,0.7045048112961667,0.3171157557319793
dataset21,1,0.20615912880642323,0.20615912880642323,0.0
dataset22,1,0.7069945315619143,0.7069945315619143,0.0
dataset23,1,0.4930514774485496,0.4930514774485496,0.0
dataset24,1,1.1298064266754926,1.1298064266754926,0.0
dataset25,3,0.47924355097020094,1.1283297137186068,0.4633785543203887
dataset26,3,0.20638502195869088,0.23895180569125227,0.3886185605317151
dataset27,1,0.7838308139737609,0.7838308139737609,0.0
dataset28,4,1.4004909397332004,2.5684206434678094,0.5210328405441906
dataset29,2,0.4683813726295358,0.6940699725315947,0.2622397876597363
dataset30,1,0.15174686107980714,0.15174686107980714,0.0
dataset31,5,0.17344121123040965,0.30095798146775005,0.798914404532405
dataset32,2,0.25373421233858107,0.36372244480385707,0.754832256032274
dataset33,2,0.2107758176319316,0.30243589309323254,0.7892850937416802
dataset34,5,0.05889953227413694,0.2811874970894337,0.334000320253628
dataset35,2,0.009718092640607525,0.009991063205158808,0.7683143079068697
dataset36,2,0.5960324346890395,0.6373803432715361,0.5028760816842401
dataset37,3,0.15530309381390878,0.8646530599545235,0.42413720123810883
dataset38,2,0.15119893742695587,0.387201533239891,0.4538517393320572
dataset39,4,0.5376076823843551,0.6334144059667006,0.826631118512922
dataset40,3,0.6925517133202908,0.9011531374029306,0.5750510616344326
dataset41,4,0.4529251975879288,0.7773327232253897,0.5817469772955303
dataset42,1,1.0446225581195276,1.0446225581195276,0.0
dataset43,3,0.45071750818551515,0.48687148490857335,0.459042679905276
dataset44,5,0.3177497770705706,0.7036341741111549,0.45119551545729175
dataset45,4,0.23631833522278156,1.138714439805808,0.5631014340776294
dataset46,4,0.31244415078478205,1.3508269957037577,0.4169802304105617
dataset47,3,1.0160275544442372,1.6748657114931293,0.9004948422054717
dataset48,2,0.5015568316655642,1.2881816291615975,0.265318282664991
dataset49,1,0.6660343743220053,0.6660343743220053,0.0
dataset50,4,0.48730667519930426,0.7116372153800654,0.4827513635910519
dataset51,4,0.8645842352156605,0.9439627500019527,0.5212217667861578
dataset52,4,1.2595690715137002,1.357278649172721,0.6747648867808156
dataset53,2,0.11118332152951976,0.17275340066354558,0.37417132244623086
dataset54,5,0.25141229058447795,0.37436327757743165,0.376801967964403
dataset55,5,0.17223023283549393,0.18174519756289434,0.6811748818211958
dataset56,3,0.34874434323331666,1.0686522094086308,0.6161289274354028
dataset57,1,0.4932130070522086,0.4932130070522086,0.0
dataset58,4,0.6771306351110039,0.9052969378082154,0.8807202650946632
dataset59,2,0.3479194177033966,0.3722172001640064,0.49681332152008306
dataset60,5,0.3011943727485084,0.8236825299410024,0.3543214764043973
dataset61,1,0.5335941725240603,0.5335941725240603,0.0
