dataset,k,min_mode_cv,median_mode_cv,overlap_achieved
dataset0,3,0.18083099288312585,0.8786878922074267,0.297133066112214
dataset1,1,1.6685616382152444,1.6685616382152444,0.0
dataset2,3,0.40031191400827437,0.4287351033688209,0.021926964198947015
dataset3,2,0.981230168002598,1.6888891023765418,0.10087861538513977
dataset4,4,0.0004608300365587348,0.0018340715414983323,0.04194178110593479
dataset5,2,0.39388109842522673,0.5454460206578127,0.1308076798366557
dataset6,3,0.050557068072063525,0.0654695459628304,0.0050569876417229315
dataset7,3,0.00012399887154690388,0.00022645240956610445,0.20249505703163254
dataset8,3,0.06008937233211607,0.06500748688914697,0.00433433591212265
dataset9,5,0.1579296592369399,0.3687617048901418,0.35095541442474515
dataset10,5,5.081061072353897e-05,0.0001753302023831403,0.04001041687824454
dataset11,4,0.39796338072876547,1.4713641075646664,0.22771711497995115
dataset12,4,0.021842714098240644,0.04304083596009752,0.0037426228631308477
dataset13,1,0.5533942651117073,0.5533942651117073,0.0
dataset14,3,0.5150871096326327,0.5191144865416164,0.2047104048127887
dataset15,2,1.361464366178095,1.414190148960239,0.9267391295730296
dataset16,5,0.010913130938123424,0.023106838502319545,0.019153458279339775
dataset17,4,0.22779102127066367,0.5907374291981111,0.5333078189249605
dataset18,5,0.0014898721517020066,0.003749621280111731,0.014804611467140277
dataset19,4,0.02325415250022607,0.039794365041598494,0.006062824535155207
dataset20,2,0.14636599970916617,0.16678131922117298,0.0039209359724233775
dataset21,1,0.22154957186299595,0.22154957186299595,0.0
dataset22,1,1.2745713228169164,1.2745713228169164,0.0
dataset23,1,0.7149338771321005,0.7149338771321005,0.0
dataset24,1,1.2870145812600473,1.2870145812600473,0.0
dataset25,3,0.7313950477120367,1.7219945122463274,0.2205173852602751
dataset26,3,0.17961225036733847,0.2079543909835435,0.008819633801478224
dataset27,1,0.7838308139737609,0.7838308139737609,0.0
dataset28,4,0.040834458325331176,0.07488807156980726,0.028001099549217492
dataset29,2,0.4968827350198606,0.7363046576991712,0.07461632305512858
dataset30,1,0.1403880393891715,0.1403880393891715,0.0
dataset31,5,0.22743677387948824,0.3946519508986608,0.798914404532405
dataset32,2,0.2235285507156846,0.3204232893957655,0.12191877157770306
dataset33,2,0.20547704992030094,0.294832850376259,0.2984269774936268
dataset34,5,0.0025352653911513787,0.012103405617506937,0.004823697760128224
dataset35,2,0.001953300236658945,0.002008166298144197,0.1307499205028601
dataset36,2,0.5960324346890395,0.6373803432715361,0.5028760816842401
dataset37,3,0.11930644978153682,0.664241029219456,0.07106887552384765
dataset38,2,0.026721285621434287,0.06842986424926967,0.01629581664449544
dataset39,4,0.0030575340824812195,0.0036024152891349056,0.255121508760106
dataset40,3,0.6925517133202908,0.9011531374029306,0.5750510616344326
dataset41,4,0.05356461772824702,0.09193025777538447,0.04343198857280584
dataset42,2,0.7258792791164558,1.135260981031843,0.7037393662372304
dataset43,3,0.05454678745797128,0.06942732315070382,0.023994908688463656
dataset44,4,0.0006279869452323209,0.0016507580374161876,0.004736502621353657
dataset45,5,0.010594066470785342,0.044747986740856935,0.1717565804557377
dataset46,4,0.01032266794860761,0.04462921932652885,0.011593881140974427
dataset47,3,1.0160275544442372,1.6748657114931293,0.9004948422054717
dataset48,2,0.31706414369717195,0.8143368395964611,0.18408361213380728
dataset49,1,0.6660343743220053,0.6660343743220053,0.0
dataset50,4,0.046605326906802406,0.0680599851177287,0.020775459298473766
