dataset,k,min_mode_cv,median_mode_cv,overlap_achieved
dataset0,3,0.06026175857140606,0.07886104142397382,0.07238592325173833
dataset1,3,0.18687197738447373,0.46080841899110414,0.1396209926315385
dataset2,4,0.09508665027807675,0.17423175277757758,0.5224794136017974
dataset3,1,2.509476247817345,2.509476247817345,0.0
dataset4,1,0.011523695988552522,0.011523695988552522,0.0
dataset5,1,1.2223583062814856,1.2223583062814856,0.0
dataset6,4,0.24971787573286902,0.42949708557365346,0.2996927062470146
dataset7,3,0.03798493536275009,0.04721066516443385,0.16200228117978674
dataset8,2,0.09653107066965656,0.28457840062553547,0.017701382578426777
dataset9,4,0.05704964587750516,0.09332881309669974,0.11381190657455068
dataset10,4,0.8906473807317657,2.0949521256605834,0.44964317440873736
dataset11,2,0.1410653508368998,0.16458408033962524,0.02891208078816472
dataset12,4,0.13047326782022858,0.34431893276357317,0.025473970750067788
dataset13,3,0.3460540663346379,0.5207759586493771,0.07279578595631367
dataset14,2,0.08605836278164151,0.1122732451245819,0.7035041612764941
dataset15,2,0.32428068275373473,1.449538137179407,0.22567754781125005
dataset16,3,0.008425483602130726,0.02584503211368131,0.0139595319625175
dataset17,4,0.2132970342401857,0.4790015031597311,0.47966868678565633
dataset18,5,0.028682149402798392,0.055598886725593585,0.027462142624006924
dataset19,1,1.0050953084619245,1.0050953084619245,0.0
dataset20,3,0.0044055007340502075,0.005816233351424274,0.016300758580331344
dataset21,4,0.10367274377375325,0.15027250326386138,0.019396476640397165
dataset22,3,0.11265146891958755,0.1165513728622798,0.01119189602691104
dataset23,5,0.1471606906760605,0.42684990979178605,0.016707132503851196
dataset24,4,0.10776465295475188,0.2697897172614907,0.24206413481656244
dataset25,3,0.152254809880434,0.6356158336987585,0.4642312285063847
dataset26,5,0.1962212294131806,0.4398789022475549,0.3278799720440121
dataset27,3,0.031196401605425292,0.05899880574140684,0.13087874597395957
dataset28,5,0.04849560349582373,0.09021468548478338,0.019283247001689322
dataset29,1,1.0185736292509064,1.0185736292509064,0.0
dataset30,5,0.24961708784618422,0.5862243647216063,0.47343380544207236
dataset31,5,0.4107417141725131,0.9052793431012182,0.5145375209200261
dataset32,2,0.23848856676660082,0.418991171520941,0.3387083659292786
dataset33,1,0.25680227312837345,0.25680227312837345,0.0
dataset34,4,0.48050191310152157,1.1641627553561678,0.2167978464562855
dataset35,3,0.0019965440118860337,0.004360425015837147,0.1082169185730977
dataset36,2,0.07361248046443741,0.16803823303734625,0.012946239082724145
dataset37,4,0.14180694746551412,0.16918732954514365,0.44167726451367273
dataset38,1,0.8759607460428392,0.8759607460428392,0.0
dataset39,4,0.1999258530280799,0.5668713003115954,0.23984820054941222
dataset40,2,0.01511287499113587,0.0261915329405962,0.041490631046318865
dataset41,3,0.71076055549487,0.8548984086017926,0.2218553741564389
dataset42,1,0.6395673057624575,0.6395673057624575,0.0
dataset43,5,0.504338348246291,0.8846688433714857,0.049448325656145514
dataset44,5,0.37529407130816567,1.2841580230976293,0.5613136104402632
dataset45,3,0.7419711840764165,0.8374485670520662,0.6087467089682999
dataset46,4,0.0717657787122252,0.28775113196509816,0.04665418558673318
dataset47,3,0.2931394960097909,1.0304575777097322,0.40591410666425937
dataset48,4,0.006346521387351673,0.021033136190422526,0.01244000944978364
dataset49,2,0.2157102202220777,0.3632503555484512,0.013930482419766469
dataset50,2,0.09596734918744182,0.3546170084886756,0.3999603893212695
dataset51,3,0.3935611533339262,0.4232668317793444,0.2999546874355268
dataset52,2,0.3807876573627742,0.5147312307017228,0.047416431748941244
dataset53,1,0.5845886187335417,0.5845886187335417,0.0
dataset54,5,0.515653016880718,0.5932516683498532,0.17094567976616815
dataset55,5,0.32637430676759976,0.5022485535940511,0.09851102043995522
dataset56,1,1.1377498029407866,1.1377498029407866,0.0
dataset57,1,0.9829113448867092,0.9829113448867092,0.0
dataset58,3,0.2407331510225809,0.28359992557413244,0.01791827288339314
dataset59,4,0.08805311799123276,0.10758747688887343,0.032786233827248545
dataset60,1,1.3349044621135187,1.3349044621135187,0.0
dataset61,3,0.14334944042546213,0.24098182831282175,0.07599350981236203
dataset62,1,1.1581570810019555,1.1581570810019555,0.0
dataset63,3,0.006254965083361312,0.010487070330562788,0.13646506385899845
dataset64,5,0.6606510353275753,0.7126220618444874,0.19065896260304335
dataset65,5,0.17414797143097016,0.635850632277556,0.010129845780583138
dataset66,4,0.17496874918286648,0.21296489840940586,0.10021173717909058
dataset67,3,0.11900977350580638,0.19977256387040326,0.03944203775907235
dataset68,2,0.22514716579177926,0.3711129195786638,0.1893765330025036
dataset69,1,0.8473001851144578,0.8473001851144578,0.0
dataset70,5,0.23108735756461404,0.29893418941486677,0.03112387585474542
dataset71,5,0.24305558436526312,0.3805046753661791,0.04257334317866095
dataset72,1,1.1496168015431072,1.1496168015431072,0.0
dataset73,1,0.46625097891367345,0.46625097891367345,0.0
dataset74,4,0.07920474484880953,0.14876998670665048,0.12817674062593176
dataset75,4,0.25413541776277127,1.2596842081616573,0.3776739264392402
dataset76,2,0.18593155955007146,0.3637500965149678,0.02325829857193699
dataset77,5,0.0466045212477915,0.0787397237581412,0.03742911370410108
dataset78,5,0.095946908363999,0.19745389023932622,0.027896238599109238
dataset79,2,0.2554339340651751,0.3033444024240929,0.026700909867202714
dataset80,3,0.1982567885440121,0.5546073567963817,0.43879968264080355
dataset81,3,0.612801145420766,0.6926543232452447,0.4837508541842039
dataset82,1,1.0697335609147691,1.0697335609147691,0.0
dataset83,1,1.12362888316763,1.12362888316763,0.0
dataset84,5,0.057914469782778234,0.16325549674675438,0.37292347514724683
dataset85,2,0.21115747629482798,0.2740529889951529,0.016226209516104727
dataset86,1,3.2365477793457513,3.2365477793457513,0.0
dataset87,5,0.03737010094563754,0.09076292491568347,0.48729624005774375
