material,k,min_mode_cv,median_mode_cv,avg_overlap,min_overlap
AccessFlooring,3,0.0010000000000000002,0.1490560997988944,0.053226432005601516,5.349974543734073e-150
AccessFlooringPedestals,4,0.001,0.04691049049552058,0.011051090236416164,0.0
AcousticalCeilings,4,0.15657578803693256,0.7490212863202942,0.10794155297447487,3.2659776757916366e-11
Aggregates,5,0.0020216352436287317,0.19920281123932612,0.04785504682959964,6.347532314932675e-05
Aluminium,5,0.001,0.17249492997438692,0.07006354161115128,4.66386895551834e-304
AluminiumBillets,3,0.23564441507972814,0.3528885503817318,0.17383986802204268,0.09509454981323229
AluminiumExtrusions,3,0.05641711509876898,0.08418716801396317,0.004935334960352427,4.624312895800312e-53
AluminiumSheetGoods,2,0.1416422787400804,0.4293507528010307,0.08339091660738569,0.08339091660738569
AluminiumSuspensionAssembly,5,0.001,0.05644330779126936,1.2496542409995833e-06,5.15787303350384e-305
Asphalt,5,0.03200619765229768,0.14533898923543226,0.1879049234801488,1.021612369031873e-06
BackingAndUnderlay,4,0.002778199630121186,0.22168684090216353,0.050131289753385856,6.297225824765556e-304
BituminousRoofing,3,0.11788764018609767,0.4802669563145322,0.19583353229708247,0.0513316266559075
BlanketFacing,3,0.00985727107695386,0.1928596486957763,0.0008164918911553724,7.411897378026852e-46
BlanketInsulation,4,0.001,0.30262375744695763,0.08150437967547901,4.969236146389684e-303
BlownInsulation,2,0.18800945431064,0.667687252556248,0.13397530424930432,0.13397530424930432
BoardInsulation,4,0.14480028665388245,0.5725094885500408,0.09463152847936947,1.9129556026950142e-19
Brick,3,0.2737935008609491,0.516717568836879,0.23649207462561142,0.09345584591997046
CMU,2,0.16602640749933026,0.26658796532188833,0.38385746963443584,0.38385746963443584
CableTrays,3,0.028317705753158753,0.37061273967913366,0.08273117645955987,0.012042498360476628
Carpet,3,0.09914991109513498,0.1289078524352635,0.2210888103300155,0.12368078407879186
CastDecksAndUnderlayment,3,0.0009999999999999998,0.16038322377132655,0.0890325603165592,3.774686628581362e-24
CeilingPanel,3,0.1806638802066423,0.5664112733715787,0.1505077358862347,0.05997685315500596
Cement,2,0.3432151954628431,0.6539327030456958,0.40735900127484864,0.40735900127484864
CementBoard,5,0.0010000000000000002,0.08366039700856434,0.004266202625463524,0.0
CementGrout,4,0.01734537970172993,0.18914068181275864,0.23317808879394367,0.021197868539963763
CementitiousMaterials,1,0.63483403777114,0.63483403777114,,
CementitiousSheathingBoard,2,0.15353625650733035,0.4370165338049373,0.1038948359987404,0.1038948359987404
Chairs,5,0.002122222827197725,0.017952895536762985,0.03013749072109522,3.3049781272764252e-15
Cladding,3,0.033079289150962296,0.1191594518415019,0.0712283514768002,0.006471316791006695
Coil,3,0.16234288312836337,0.1993921941097223,0.13601111870267393,0.06158699390182827
ColdFormedSteel,3,0.016443250095197835,0.07361598271410053,0.07414248299790847,3.845952208613725e-15
CompositeLumber,2,0.0009999999999999998,0.1258919022523861,8.009820873274984e-07,8.009820873274984e-07
Concrete,2,0.20369455028376607,0.3808540919779703,0.4849599177363296,0.4849599177363296
ConcreteAdmixtures,4,0.0010000000000000009,0.1381311817573011,0.07606262659275156,6.093265349952676e-304
ConcretePaving,3,0.09475723636614196,0.17173393243857063,0.12021799916223237,0.07880904986267555
Countertops,3,0.011647865838973117,0.038279754348963614,0.01436353278672406,3.363481568202513e-303
CurtainWalls,3,0.18602717554475873,0.2611777771663762,0.021298119231733813,1.735890564533948e-05
