material,n_pulled,n_usable,unit_type,canonical_unit,n_in_unit_type,n_ecc
AccessFlooring,72,58,area,m2,53,53
AccessFlooringPedestals,14,14,weight,kg,13,13
AcousticalCeilings,468,437,area,m2,419,412
Aggregates,435,417,weight,kg,393,385
Aluminium,284,243,weight,kg,184,181
AluminiumBillets,145,135,weight,kg,122,121
AluminiumExtrusions,50,47,weight,kg,38,38
AluminiumSheetGoods,56,44,weight,kg,28,28
AluminiumSiding,3,3,area,m2,3,3
AluminiumSuspensionAssembly,22,22,weight,kg,22,22
Asphalt,7513,7471,weight,kg,7465,7461
BackingAndUnderlay,62,57,area,m2,47,45
BituminousRoofing,105,82,area,m2,66,66
BlanketFacing,48,31,area,m2,31,31
BlanketInsulation,357,348,area,m2,339,319
BlownInsulation,34,31,area,m2,25,24
BoardInsulation,398,379,area,m2,342,335
Brick,246,240,weight,kg,225,225
CMU,823,751,vol,m3,506,492
CableTrays,67,59,length,in,59,59
Carpet,2239,2104,area,m2,2058,2014
CastDecksAndUnderlayment,443,438,vol,m3,255,255
CeilingPanel,266,253,area,m2,241,240
Cement,1350,1279,weight,kg,1204,1202
CementBoard,22,21,area,m2,21,21
CementGrout,3844,3831,vol,m3,3771,3771
CementitiousMaterials,25,24,weight,kg,24,24
CementitiousSheathingBoard,53,52,area,m2,52,51
Chairs,504,99,weight,kg,90,88
Cladding,173,159,area,m2,136,135
Coil,175,152,weight,kg,141,141
ColdFormedSteel,71,71,weight,kg,67,67
CompositeLumber,25,23,vol,m3,19,16
CompositionSiding,4,4,area,m2,3,3
Concrete,223,216,vol,m3,213,213
ConcreteAdmixtures,148,128,weight,kg,120,118
ConcretePaving,437,431,vol,m3,383,383
Countertops,103,86,area,m2,77,76
CurtainWalls,77,57,area,m2,56,56
DampproofingAndWaterproofing,220,209,area,m2,178,162
DataCabling,1206,1096,length,in,951,951
DeckingBoards,9,9,area,m2,7,7
DeckingSteel,82,78,weight,kg,63,63
DemountablePartitionTrack,9,9,length,in,6,5
DemountablePartitions,49,47,area,m2,46,46
DoorsAndFrames,184,82,area,m2,61,61
Electrical,7,7,weight,kg,5,5
Elevators,90,28,weight,kg,22,22
FenestrationAccessories,49,33,area,m2,17,17
FenestrationFraming,543,433,weight,kg,261,261
FiberCementSiding,35,33,area,m2,31,31
Finishes,18,18,weight,kg,15,15
FireAndSmokeProtection,27,27,weight,kg,23,23
FlashingAndSheetMetal,15,12,area,m2,12,12
FlatGlassPanes,99,89,area,m2,48,47
Flooring,22,18,area,m2,17,17
FlowableFill,2032,2026,vol,m3,2008,2008
FoamedInPlace,30,26,area,m2,16,16
Furnishings,33,13,area,m2,7,7
GlazedDoors,144,143,area,m2,143,141
Grouting,244,233,weight,kg,227,225
Gypsum,912,877,area,m2,784,777
GypsumSheathingBoard,20,20,area,m2,19,19
HeavyTimber,7,7,vol,m3,7,5
Hollow,160,151,weight,kg,150,150
HotRolled,94,89,weight,kg,85,85
InsulatedRoofPanels,275,273,area,m2,271,271
InsulatedWallPanels,426,425,area,m2,425,425
InsulatingGlazingUnits,33,32,area,m2,32,32
Insulation,893,834,area,m2,677,666
JointProtection,9,6,area,m2,5,5
Laminate,33,31,area,m2,28,27
MBQ,40,40,weight,kg,40,40
ManufacturingInputs,18,16,weight,kg,13,13
