metric,split (142),unsplit (136),change
entropy,0.4815769818863025,0.4136809114862004,0.0678960704001021
coeffvar,0.45777837375315833,0.33225807553970127,0.12552029821345706
fit_norm_SW,0.45666350869360905,0.44310123460069867,0.013562274092910387
skewness,0.32697048763808373,0.27828814100251,0.04868234663557375
fit_lognorm_SW,0.21739994673378618,0.2462916224279789,-0.02889167569419271
crit_bw_1,0.1851139487907302,0.14193297703182353,0.04318097175890667
n,0.1836073001390789,0.18120042123508176,0.0024068789039971283
weight_outliers,0.14099879773897483,0.13879318816651914,0.0022056095724556912
w_v_uw_wasserstein,0.12963176094863496,0.17352414362579405,-0.043892382677159086
kurtosis,0.10469478389318211,0.12227999389106267,-0.01758520999788056
