metric,split (149),unsplit (136),change
fit_lognorm_SW,0.39967024644435556,0.24629347584593303,0.15337677059842253
entropy,0.3043601126537363,0.4038135922657229,-0.09945347961198658
fit_norm_SW,0.2674643682304159,0.43660640031854314,-0.16914203208812723
coeffvar,0.2618801339781923,0.3344112075980429,-0.07253107361985056
w_v_uw_wasserstein,0.2507845067834151,0.179183437383785,0.07160106939963007
n,0.2419826071409274,0.18040432128473083,0.06157828585619657
skewness,0.1736855250045657,0.27445184180348164,-0.10076631679891596
kurtosis,0.12828996872909654,0.13180120635979078,-0.003511237630694247
weight_outliers,0.12647352158155162,0.11121897076050881,0.015254550821042809
crit_bw_1,0.11526955471001986,0.15346580797371834,-0.03819625326369848
