metric,split (149),unsplit (136),change
fit_lognorm_SW,0.38604361502679974,0.23594883458431656,0.15009478044248317
entropy,0.3207058226974937,0.42052020126400935,-0.09981437856651565
fit_norm_SW,0.28579122335954343,0.4557188747713144,-0.16992765141177096
coeffvar,0.274206632750735,0.3459765889874399,-0.0717699562367049
w_v_uw_wasserstein,0.25099207179972843,0.17535741009872835,0.07563466170100008
n,0.2448109292192655,0.18121465778342755,0.06359627143583796
skewness,0.18926610516280476,0.2926479303100814,-0.10338182514727665
weight_outliers,0.13382613214427053,0.1381932834309731,-0.004367151286702564
crit_bw_1,0.1229033313047528,0.16297537928549388,-0.040072047980741085
kurtosis,0.11755450526587899,0.12274876923833693,-0.005194263972457938
