dataset,n,kde_scott_Uniform,h_over_sd_scott_Uniform,mass_below_scott_Uniform,kde_silverman_Uniform,h_over_sd_silverman_Uniform,mass_below_silverman_Uniform,lognormal_Uniform,kde_scott_Variable,h_over_sd_scott_Variable,mass_below_scott_Variable,kde_silverman_Variable,h_over_sd_silverman_Variable,mass_below_silverman_Variable,lognormal_Variable
AccessFlooring,53,0.13197953881570895,0.4791270509923671,0.09691025342343053,0.12737405150605513,0.3984701586428092,0.08128651976950223,0.20572388698126817,0.16219088738370763,0.5510953681070727,0.10485962165584999,0.14003905487214613,0.4679111616003448,0.09151115907628385,0.17208602464320977
AccessFlooringPedestals,13,0.17393584520448285,0.6346250268739874,0.07897781573806027,0.15736481510226158,0.5388325699873479,0.06453198053935479,0.14768443695467354,0.20412313233679763,0.6761661735774762,0.12776540522499194,0.17032040991665967,0.544096676181845,0.10910873304617043,0.14673253117213514
AcousticalCeilings,412,0.4057833744270291,0.31792627530445644,0.19418047005271058,0.14192770024868484,0.08832827097834202,0.045355073808240894,0.3127347675843605,0.3732647546446137,0.36626532743159523,0.21507731658071022,0.05491573579732845,0.08577404180496119,0.042001035308643964,0.31399820162259495
Aggregates,384,2.0571731732988674,0.3224331012033991,0.4200702161972254,1.0771380655783505,0.021272540390820167,0.30249397062318434,0.9630766114056604,2.0352868334629166,0.3656440973144236,0.42274861764524996,0.784576932530652,0.031198092310895088,0.3169803427266326,0.8938254607364218
AluminiumBillets,120,0.1418956335184769,0.40688306661561996,0.08834672899853163,0.11535285925918577,0.301941412792089,0.06492802610698309,0.09710073730632504,0.16947368853765393,0.462253318300854,0.10780901666535342,0.11114034145357779,0.32154183187125274,0.07460437383206853,0.09137818446875293
AluminiumExtrusions,36,0.14747925587374744,0.517660902446422,0.07113628976748004,0.09213262856284368,0.22575235159317014,0.01672586450378398,0.16004871018129277,0.18108476056102923,0.5773288220344819,0.09515860179065856,0.08256386125923207,0.29916935778112175,0.03308298578396667,0.16363871635193958
AluminiumSheetGoods,26,0.27311025660947386,0.5524731746269678,0.12139725091015367,0.23100854005984806,0.45344386600433456,0.09634663465042136,0.1795042584615387,0.20848157134011536,0.6181798272438637,0.12881771221301272,0.15665223133886375,0.4644550382152953,0.09066158945149441,0.1736541581897918
AluminiumSiding,3,0.28748190163559206,0.8509060554658445,0.07708051551129501,0.28129710124100943,0.7224674055842076,0.061442315676985035,0.30401069361285116,0.2721571449037711,0.9018221145093058,0.07354298513255689,0.24691024139044038,0.765698021753184,0.06104133559146908,0.26663091128092475
AluminiumSuspensionAssembly,22,0.34052350189067293,0.5712435758877449,0.22800465169698272,0.2777373000596076,0.3840144209497464,0.20092450159232692,0.3399072976960608,0.5576494127906528,0.6419210716913,0.22591809955454217,0.3861648012346686,0.3786320652598453,0.1836967594439725,0.3247393788989229
Asphalt,7232,0.008580474295952229,0.17924794351454434,2.3170513216041437e-16,0.0063354783975413335,0.11725170705716507,4.162453735289739e-32,0.03293969915098341,0.0061093189629719885,0.20627752572610047,7.981024879587023e-14,0.0031592823835215646,0.13461405380888544,1.7494859210061706e-26,0.031365881664172826
BackingAndUnderlay,45,0.4172176474705269,0.49506629809820224,0.23779906860840844,0.1756797636372625,0.1787742790781226,0.12960217175671593,0.3092875230603637,0.542783575332459,0.5388886812876161,0.24847804604079224,0.2525841087561136,0.23167870767121992,0.1561420716128464,0.30505541479398857
BituminousRoofing,66,0.1256921628289678,0.45856096025362697,0.08205139710144267,0.08944856136092495,0.2789610026910579,0.0338377563419269,0.11537062617210196,0.1766249318219888,0.508174747901091,0.10104042424306113,0.09695015703106676,0.317954322162472,0.04836978513987743,0.10780435114876052
BlanketFacing,28,0.2595628525499616,0.5443450261573565,0.04994122079260519,0.212231385757871,0.2526513637824495,0.0203219200577631,0.19655805139422888,0.0868888799509927,0.6149631228457934,0.047009185029452324,0.06396020266035227,0.4160973768345153,0.02835578317449145,0.07905761631300896
BlanketInsulation [mineral wool],184,0.24422262520989904,0.37354446072882447,0.07142130227969307,0.11948182760790656,0.12004850336035047,0.0026931307998529393,0.16973773137134646,0.13397628956529245,0.4270588185596323,0.0680523955013452,0.034881760319030466,0.15760736857169583,0.003927090515210669,0.11920921541919055
BlanketInsulation [other],3,0.5974690054540226,0.8509060554658446,0.16848568006855638,0.5672645296321478,0.7224674055842075,0.1541288774691637,0.6393940890752158,0.22326389512522873,0.9791588088680993,0.07339663084193561,0.20093997284886933,0.8313612528125369,0.06728573725693258,0.21208750180201394
BlanketInsulation [type not stated],129,0.2914639257766018,0.401040213866079,0.12425665104286905,0.1305474070891448,0.1384400612095347,0.015020707129354799,0.22082057163463364,0.2638465548788085,0.4570901218276091,0.157047726575771,0.052118564445685994,0.14475413748867835,0.020192509690518452,0.21609072782678046
BlownInsulation [cellulose],3,0.7025184375689592,0.8509060554658446,0.2800412236628485,0.34011161483715435,0.3230664493455472,0.19648484841747127,0.6207277136611566,0.792195435161309,0.9244799964394895,0.28498497662088257,0.48822602307786767,0.4089673394699674,0.2367032444741444,0.64030076757404
BlownInsulation [type not stated],16,0.19014358672940415,0.6088101281484285,0.04514000991086865,0.13346789651045293,0.2900033077319816,0.0026928761532743588,0.1537774145378446,0.1898537073372083,0.7520991769781891,0.044213307239567234,0.07250679489243142,0.21594924666692653,0.00014851329963931268,0.1432952211848578
BoardInsulation [EPS],47,0.5131285652563626,0.49077936422137036,0.21677872106878185,0.3177717005346725,0.19736867915082013,0.11247724500741448,0.18648678165081203,0.30947297014622277,0.5667781108788824,0.1844981767718476,0.18265575748882648,0.3514614810688687,0.12603460815661638,0.16791863707787927
BoardInsulation [PIR or PUR],50,0.5397447604860646,0.4847433550429659,0.20895169472511183,0.30729426697353723,0.2039513746938318,0.08114024726543793,0.19938500633648326,0.2853456092299797,0.569774223945271,0.16989446873457412,0.17471203103157984,0.3672154532954184,0.10238002480473599,0.19591136754902888
BoardInsulation [XPS],19,0.41351264071015414,0.5882408019980554,0.214446343338953,0.24224900606049393,0.1618376344999719,0.0593011797543633,0.38889824180541677,0.6681327325023453,0.6437995282785833,0.24932195457980394,0.195367066810757,0.20636162883024292,0.09912292998685963,0.3908363836904335
BoardInsulation [mineral wool],77,0.09603481377764664,0.44463917152137117,0.02037051934320453,0.10670150478084604,0.22185816919823703,0.002100508470533047,0.1014638664029113,0.09628151140645312,0.49876258682784874,0.02145998051585489,0.06280291162765497,0.3463381051042333,0.006507454421967418,0.054757826052724334
BoardInsulation [other],7,0.39211558044684197,0.7182675682045098,0.1128624138810369,0.3306500089189812,0.537784291536128,0.07719210975961167,0.3011984837515304,0.27630047901936905,0.7743945494265466,0.1538972599158245,0.13817531739131375,0.3625263869001259,0.04988193218167593,0.2203032240731948
BoardInsulation [type not stated],131,0.22151962518205406,0.39980811618213374,0.08425321603303877,0.18969696475716702,0.3210983995892434,0.06281616034492277,0.11626074548845867,0.12171216586157524,0.4634881975836769,0.0872772235216078,0.07977923407374726,0.34268309712469097,0.05581736298989033,0.08587497005443874
Brick,215,0.3049341588356663,0.36209136934398095,0.13447812187460267,0.10588202090508635,0.07869368039296233,0.012401547333319607,0.25684365136446935,0.23816211738202953,0.4199285051782034,0.15005691367564183,0.030569586148484068,0.0964920967472113,0.014104245015247804,0.21622022621272335
CMU [3000-3999 psi],137,0.043293019007027145,0.39624313572124625,7.137642246491357e-07,0.04331180505959858,0.28521905706753614,3.7940968365065866e-10,0.05461616686306563,0.037852706901032915,0.4550352805673648,4.573697784926525e-05,0.03175851063359768,0.3863507099156871,6.585634132598616e-06,0.046238684216892284
