dataset,n,x1.0,x0.75,x0.5,x0.35,x0.25,x0.15,x0.1,x0.05,x0.02,x0.01
AccessFlooring,53,0.16219088738370763,0.1256555423729251,0.08784876904968536,0.0647115544313619,0.051030214978068256,0.03776731137498064,0.030123736586480196,0.020967465286457175,0.010520404222539527,0.03572455090605854
AccessFlooringPedestals,13,0.20412313233679763,0.16173344760099584,0.12458925040528371,0.09988780964071087,0.0798828719628868,0.05356782436664276,0.03685407794514309,0.01880495491047377,0.007810755858706603,0.006335928465223161
AcousticalCeilings,412,0.3732647546446137,0.2660137720260851,0.1575598948522903,0.09525244378926262,0.05978881321287885,0.03411269575704799,0.025794505683356804,0.02004228284324094,0.034231687344212294,0.16641921168064064
Aggregates,384,2.0352868334629166,1.6039166043046027,1.1938389277744679,0.9701871660836945,0.8424396359196095,0.7578760317234752,0.7644814267442459,0.9574106361251145,1.8318491615662054,1.8649791327551073
AluminiumBillets,120,0.16947368853765393,0.12130168099411776,0.07602772214015713,0.05000126438397899,0.03378185824864897,0.02103563115381355,0.01604838037081666,0.010975305990711526,0.00611407800078685,0.05767457941713665
AluminiumExtrusions,36,0.18108476056102923,0.12239502426868634,0.08001668443113658,0.06099741540834999,0.04815140247049646,0.03417921924139194,0.02615404121977385,0.015706653283123175,0.007275481333257728,0.010239678385695807
AluminiumSheetGoods,26,0.20848157134011536,0.1563879849576007,0.10799444194157172,0.07729912545047309,0.05501301242466517,0.03525716343920639,0.026814432697515524,0.015920261365525663,0.0061927761127869,0.014470129839744269
AluminiumSiding,3,0.2721571449037711,0.22883058848221216,0.17659141330860625,0.13668366990239023,0.1017263524339351,0.06148682889435032,0.04099922484460268,0.020519905334788775,0.008266620448600024,0.004295627123505043
AluminiumSuspensionAssembly,22,0.5576494127906528,0.44957311235403313,0.3522335076415361,0.2972836132536655,0.25871471580110916,0.20601445706561256,0.1640898409144211,0.09128563153994228,0.03887041369946269,0.029924956651374318
Asphalt,7232,0.0061093189629719885,0.003837956715356817,0.0023747938336089744,0.001891010569161656,0.001684199180358256,0.0015248949258211972,0.001450376409382161,0.0013766696578348307,0.003400261268329829,0.00475006667614128
BackingAndUnderlay,45,0.542783575332459,0.41641982841147485,0.2887267962164554,0.21076426340160667,0.1558114642064351,0.09695349406767488,0.06885480616479997,0.04123579253020932,0.01755075478306736,0.026444076089419746
BituminousRoofing,66,0.1766249318219888,0.12149096824483038,0.07487660293077532,0.0523658857180937,0.04012377185971111,0.02809046458143552,0.020460858795735726,0.012184565533590475,0.0065889701823775345,0.02964617598460561
BlanketFacing,28,0.0868888799509927,0.06807221372977686,0.055211991122797316,0.04592176941912077,0.03706753238575389,0.024680367334041546,0.01717060133517232,0.009486675023615165,0.0046828302232392455,0.03254793841241782
BlanketInsulation [mineral wool],184,0.13397628956529245,0.08988178317434918,0.051726393197579344,0.03265709190745622,0.022762112156516405,0.015510256488679968,0.012498046122680668,0.008637532080864622,0.0073019579005704875,0.07286092781549718
BlanketInsulation [other],3,0.22326389512522873,0.1845362239151077,0.1351668608857211,0.09946368670692102,0.07170055343610011,0.0410950541365936,0.026795428406078486,0.013428350348647995,0.005561876073913375,0.03528003546614168
BlanketInsulation [type not stated],129,0.2638465548788085,0.17764689156191105,0.09965214009757672,0.059807327091195045,0.03909713617544894,0.024924076285261436,0.018787123655471843,0.012433793243937364,0.007842802343869235,0.03551984254115936
BlownInsulation [cellulose],3,0.792195435161309,0.671650720114672,0.5268400602107194,0.4193379072407522,0.32820919440882557,0.2027692506049617,0.12013532217684655,0.04354396377284281,0.01737964743797672,0.00890859702995601
BlownInsulation [type not stated],16,0.1898537073372083,0.15532119391547422,0.11467967954948369,0.08578628247716844,0.06421815448918854,0.04125587658121064,0.029471569185999948,0.016608903849318884,0.006843243149597519,0.007467664325179162
BoardInsulation [EPS],47,0.30947297014622277,0.22555022571192862,0.1435140314334539,0.09610983448427814,0.06779921988207185,0.04509912017153171,0.034254641332708426,0.01953050571422586,0.009631910580913016,0.06922564495678868
BoardInsulation [PIR or PUR],50,0.2853456092299797,0.20729835298722307,0.13260228653476558,0.09005982154768846,0.06256598897772804,0.037011542740623155,0.02643889575147932,0.014398270436123925,0.007529341302682558,0.061482324911582245
BoardInsulation [XPS],19,0.6681327325023453,0.4899264399551543,0.31130904950544547,0.21199419999044772,0.15804079481535396,0.10102710080787258,0.06478383644580246,0.032350309399693744,0.015071909162971315,0.01584715888409334
BoardInsulation [mineral wool],77,0.09628151140645312,0.06828419480405118,0.04652703765301869,0.036126470837134515,0.02932136738431581,0.020809753817394003,0.01594242100925366,0.009851004196677875,0.004898517850654929,0.030486928269335606
BoardInsulation [other],7,0.27630047901936905,0.20836794728071784,0.1455676423560015,0.11193222110502932,0.08970257502723827,0.05854650140854885,0.03893378441150621,0.019261258254152674,0.007686284840650922,0.004241258308169368
BoardInsulation [type not stated],131,0.12171216586157524,0.0813573371119357,0.04793737812685765,0.0331421377066632,0.024616053451314242,0.017168072880044093,0.01338320400192652,0.008748202037556125,0.0051015699074072945,0.01745368104343412
Brick,215,0.23816211738202953,0.15362261204838978,0.08141686944900207,0.048220987096103604,0.03303480240594791,0.02150414030818889,0.016298760426038256,0.011110858066871078,0.012953486622369795,0.08702755210165218
CMU [3000-3999 psi],137,0.037852706901032915,0.028295726976581035,0.020982945683535783,0.01610597661512296,0.012326461454479512,0.008350971607617538,0.0063098129817535315,0.003879879079788642,0.002109511594751706,0.011710825807491134
CMU [4000-4999 psi],18,0.07970759094368303,0.06328791175331107,0.050230717902948765,0.041976111238410926,0.03398815410877028,0.02302522236612304,0.01677952691948105,0.00967026897764264,0.003988506144617163,0.004219566382639282
CMU [5000-5999 psi],8,0.037274477023831895,0.03051800650968942,0.02285534647305281,0.0165873490222258,0.01187267027992246,0.007160004080884611,0.004869004617303711,0.0027345551251711842,0.00131077312939567,0.015521479727054246
CMU [<3000 psi],274,0.03127203433905391,0.020190645634251485,0.012060254749446461,0.008932611661882934,0.007337122123671071,0.0057982232247426714,0.004706561461310318,0.003172578008492801,0.002181877871796866,0.013383460429655457
CMU [>=6000 psi],8,0.07792868571710398,0.06452006636044164,0.05011411819288181,0.03815012096585052,0.028843761354535008,0.018242160528777408,0.01231248583530942,0.006220685002078034,0.0026089337953988908,0.0046491965710873506
CMU [strength not stated],39,0.044875842157041664,0.033683194379977466,0.023236601821966123,0.01696566254683562,0.012814606405149783,0.009060444945949424,0.007116648400579741,0.004219634666870685,0.0018944496166610895,0.006698444423639101
CableTrays,59,0.39401362920740757,0.30652367278770454,0.23341662714342878,0.19559269379102753,0.16836708279848767,0.13310185427380272,0.10843795001498827,0.07115192729840636,0.03898884757094903,0.07115999438904344
Carpet,1989,0.017672542159392377,0.01191328509620896,0.007256701234205829,0.0049500273742738585,0.003876737806451184,0.00314075148602619,0.002792494175949612,0.0024030581349656346,0.004079227231687488,0.016511079732443458
CastDecksAndUnderlayment,255,0.0250120887060904,0.017851611622001114,0.011998995941254177,0.008870071984104434,0.007084601606354582,0.00546550314096882,0.004334808659156882,0.0029344064932395808,0.002183729308905072,0.015411853915250516
Cement,1084,0.01980702482975925,0.01320679871371818,0.008619348153454118,0.0066578087093898276,0.0054805758614839455,0.004198802717417631,0.0034879350506137976,0.002767415984030217,0.005687329459844131,0.02126414093533966
CementBoard,21,0.10075157378836191,0.07726587461541232,0.0588650787911222,0.04752297661584505,0.03773993402076411,0.026051000372445322,0.019480796801824796,0.01070534243286687,0.004665477306773305,0.013524137777661642
CementGrout,3764,0.013694761583096973,0.00846786840503026,0.004792949774863152,0.0035043765144192637,0.0029617041700204217,0.002513220611479484,0.0022951892460539277,0.0020738943175168407,0.005968767883575985,0.012065910815635846
CementitiousSheathingBoard,51,0.18692407537909345,0.1390980641392409,0.09749527790704562,0.0726945049588451,0.05541698144051045,0.03679445773623467,0.026252841136858024,0.014796239437791705,0.006990856923301395,0.015914397217735573
Chairs,86,0.861559449388288,0.715030060679031,0.5822885596832107,0.5074981237918185,0.45918988219886797,0.41337305155302706,0.39383910784414045,0.3829821608345524,0.5220152414520312,1.1055313130061855
Coil,140,0.0988943115843503,0.07544843951745653,0.049517567810228466,0.033282333243480886,0.023753747217106366,0.015564352854277602,0.01204875770002661,0.008191369464558774,0.004904418760415279,0.05453913353154362
CompositeLumber,16,0.08167519798796011,0.06261266838890019,0.04739378187753207,0.03819787535050578,0.03104093594431747,0.021788718062224183,0.015541565842742577,0.0080464562864586,0.0032208605851193916,0.008264671768634213
CompositionSiding,3,0.3573042806323476,0.3008689422556274,0.22740069959976392,0.1719848739668044,0.1260527621440485,0.06990033286374556,0.04221110360677645,0.020200221555205376,0.008729905463617918,0.004721080467160807
ConcreteAdmixtures,118,0.4448171954293003,0.32254314512202953,0.2030588621727562,0.13354935777013516,0.08866964053515158,0.04870998537246227,0.033724241260026475,0.024691538137518076,0.07975058921446387,0.21737471831560548
ConcretePaving [3000-3999 psi],108,0.02525841726459214,0.0194036907858287,0.014706991110017702,0.011717449441347557,0.00943017163538732,0.007095060219851431,0.005571979466603226,0.0031442067340671093,0.0014932834765661904,0.011978148617882739
ConcretePaving [4000-4999 psi],160,0.023845619126525202,0.017321562997196727,0.012034312450606271,0.009355191315268836,0.007444540888316432,0.005455581568933486,0.004312648511019729,0.002744337338012685,0.0016493311213998173,0.009079474903884686
ConcretePaving [5000-5999 psi],42,0.04480399718747517,0.03485663860637646,0.0245269821959546,0.01788390073582011,0.013911502336686908,0.010025195512029142,0.007613526672883873,0.004663132886331367,0.0020982879921277358,0.009328440042854642
ConcretePaving [<3000 psi],32,0.04969645943058117,0.039760661977405354,0.03273783656436907,0.027361865700864643,0.021504138823625688,0.013403004219138804,0.008922594130340083,0.0047869035829553215,0.002189988299838746,0.004025115616744218
ConcretePaving [strength not stated],38,0.06279262666724007,0.048648754904307166,0.03415809382607867,0.025972861433673493,0.02045138565132776,0.013835448142818585,0.009703503146485788,0.005591348344165295,0.009363393270612995,0.05823490173509378
Countertops,76,0.37867493253923445,0.2961230241296438,0.21268736228777443,0.16014089988045946,0.12282040034887477,0.07736884817706541,0.04900568856246623,0.02178143129409524,0.010079041525167205,0.0378850375695898
CurtainWalls,54,0.13456134398148753,0.10145513630680818,0.06887544222118047,0.04934477394880442,0.037203974565362584,0.025221884347572526,0.01878926104064729,0.011068614098286106,0.005410269121225449,0.020348733234963813
DampproofingAndWaterproofing,162,0.7791724793142314,0.5718080407744679,0.36221694062959353,0.23668518284465745,0.1568268284209507,0.0831337653163925,0.04915068013082833,0.023923081327778043,0.01524034550917568,0.10725440863863522
DataCabling,951,0.6229467913638486,0.5259492507859751,0.42255499198535074,0.3530085918778155,0.2984369726944116,0.22713443015825,0.1773963487901331,0.10929472298446273,0.10176881400362643,0.15036205979111403
DeckingBoards,7,0.1819613869179339,0.14698882999537038,0.1080204555516131,0.08337069620174563,0.06540011160463609,0.0443473029465051,0.03174321258833494,0.016434413760913886,0.006553793634868462,0.003623324458322752
DeckingSteel,62,0.037833471927997187,0.02636206348054045,0.017784759410690736,0.014077934268907733,0.01146096367722707,0.00834875793168667,0.0065130501887030404,0.004100023930767208,0.0018664124824253334,0.009030278062357
DemountablePartitionTrack,4,0.28296348982980013,0.2357109333133729,0.181503522199332,0.13781390123395676,0.10211545606841102,0.06379361945929937,0.04299028355288431,0.021467479061581383,0.008439616720566985,0.004171529937760692
DemountablePartitions,45,0.10048647944462683,0.08078663526319887,0.057191856049191026,0.0406491355787198,0.030673040223068722,0.021340782060738837,0.015650625672564897,0.00921506330719292,0.004444233869777221,0.009949993850381984
DoorsAndFrames,61,0.15887257881362343,0.10786737249854819,0.06663474444634616,0.045594691309700265,0.035214538143145395,0.026477638031554077,0.020413671845261758,0.012122038243033692,0.0073793105209561385,0.04345553971256717
Electrical,3,0.003878637513017395,0.0031309212038389844,0.002278268340432223,0.0016383946107708437,0.0011718796357521144,0.0006953124571514059,0.0004472523630630749,0.0005657991843935912,0.002354355839590221,0.007415557856872071
Elevators,20,0.9516889148506655,0.8127254116419063,0.6780354064188041,0.5998117919659185,0.5483048218495272,0.49338725225886415,0.4631071116992576,0.4390038341481436,0.47799530604407364,0.6611578068502229
FenestrationAccessories,17,0.6188532450670831,0.4530578235920873,0.31261118566270635,0.2495117658691045,0.21780325298014588,0.19176133844558457,0.18032774993412506,0.17581234583325933,0.19275763084557157,0.2385630385454783
FenestrationFraming,259,0.21600049088384798,0.15430869468189837,0.09730013720270428,0.06681546781902824,0.04924972511171919,0.032243364399788005,0.022505855926442817,0.012505027128667152,0.011317210280257634,0.06597813006618344
FiberCementSiding,29,0.08755751238176694,0.06819539096355368,0.051061801535258536,0.039865321864316405,0.031039051914442617,0.020690934133023246,0.014771016163868562,0.007965077198235032,0.0035590244010199343,0.03349371610545586
