arm,dataset,n,weighting,family,method,w1,seconds,status,mass_below_zero,threshold
empirical,AccessFlooring,53,Uniform,normal,mle,0.15791175076805958,0.0003921670140698552,,0.10490519625692618,1.0
empirical,AccessFlooring,53,Uniform,normal,w1,0.12905380822440893,0.04611041699536145,,0.5193344728485338,-0.061412969026966774
empirical,AccessFlooring,53,Uniform,lognormal_2p,mle,0.3795703790913243,0.0003067080397158861,,0.0,0.0
empirical,AccessFlooring,53,Uniform,lognormal_2p,w1,0.222930525545033,0.043345583020709455,,0.0,0.0
empirical,AccessFlooring,53,Uniform,lognormal_3p,mle,0.20572388698126817,0.0017467079451307654,interior,0.013499726014255134,-0.23749396893587024
empirical,AccessFlooring,53,Uniform,lognormal_3p,w1,0.1359398707345435,0.23121483298018575,,0.3450842488505639,-5.988896232503945
empirical,AccessFlooring,53,Uniform,lognormal_offset,mle,0.1734311249322706,0.00023395800963044167,,0.027484015514703943,-0.5
empirical,AccessFlooring,53,Uniform,lognormal_offset,w1,0.17846098533753113,0.04315649997442961,,0.03750947456043795,-0.5
empirical,AccessFlooring,53,Uniform,gamma,mle,0.17831915583114477,0.0002533330116420984,,0.0,0.0
empirical,AccessFlooring,53,Uniform,gamma,w1,0.16873992750221697,0.03438358299899846,,0.0,0.0
empirical,AccessFlooring,53,Uniform,kde,mle,0.13197953881570895,,,0.09691025342343053,
empirical,AccessFlooring,53,Variable,normal,mle,0.1740679758248979,0.0002548749325796962,,0.08143931886958855,1.0495831275216292
empirical,AccessFlooring,53,Variable,normal,w1,0.0969490116336729,0.03493195795454085,,0.3258045292796248,0.4952665246564911
empirical,AccessFlooring,53,Variable,lognormal_2p,mle,0.44304040370837783,0.000259166001342237,,0.0,0.0
empirical,AccessFlooring,53,Variable,lognormal_2p,w1,0.21010191559348892,0.04576858296059072,,0.0,0.0
empirical,AccessFlooring,53,Variable,lognormal_3p,mle,0.17208602464320977,0.0017220000736415386,interior,0.024741655938149573,-0.446586750940263
empirical,AccessFlooring,53,Variable,lognormal_3p,w1,0.09702265247817465,0.23622312501538545,,0.32349103029549364,-836.1996057125912
empirical,AccessFlooring,53,Variable,lognormal_offset,mle,0.16616512546654055,0.0002228330122306943,,0.02687673676024137,-0.5
empirical,AccessFlooring,53,Variable,lognormal_offset,w1,0.16002402572971175,0.03559675009455532,,0.014125803170760261,-0.5
empirical,AccessFlooring,53,Variable,gamma,mle,0.18192434556319875,0.00023129209876060486,,0.0,0.0
empirical,AccessFlooring,53,Variable,gamma,w1,0.14969010581740735,0.0359364579198882,,0.0,0.0
empirical,AccessFlooring,53,Variable,kde,mle,0.16219088738370763,,,0.10485962165584999,
empirical,AccessFlooringPedestals,13,Uniform,normal,mle,0.20433050309176565,0.00025187490973621607,,0.05967588808362515,1.0000000000000002
empirical,AccessFlooringPedestals,13,Uniform,normal,w1,0.12332953152583502,0.16569366701878607,,0.18858603241871702,0.7139649001858306
empirical,AccessFlooringPedestals,13,Uniform,lognormal_2p,mle,0.21431336393952824,0.00026608293410390615,,0.0,0.0
empirical,AccessFlooringPedestals,13,Uniform,lognormal_2p,w1,0.18484903729526012,0.051701624994166195,,0.0,0.0
empirical,AccessFlooringPedestals,13,Uniform,lognormal_3p,mle,0.14768443695467354,0.001699125044979155,interior,0.01136367146919308,-0.5287536810886817
empirical,AccessFlooringPedestals,13,Uniform,lognormal_3p,w1,0.1242540350483757,0.22887629200704396,,0.1795846627187701,-87.31515965612309
empirical,AccessFlooringPedestals,13,Uniform,lognormal_offset,mle,0.1478838172606448,0.00023104192223399878,,0.010662431255393312,-0.5
empirical,AccessFlooringPedestals,13,Uniform,lognormal_offset,w1,0.14847416829726356,0.03461462492123246,,0.010162839030797467,-0.5
empirical,AccessFlooringPedestals,13,Uniform,gamma,mle,0.13555776871869293,0.00023212493397295475,,0.0,0.0
empirical,AccessFlooringPedestals,13,Uniform,gamma,w1,0.14359810773312037,0.03022891702130437,,0.0,0.0
empirical,AccessFlooringPedestals,13,Uniform,kde,mle,0.17393584520448285,,,0.07897781573806027,
empirical,AccessFlooringPedestals,13,Variable,normal,mle,0.19658868521116324,0.00023687502834945917,,0.08992330745072136,0.9680125954677461
empirical,AccessFlooringPedestals,13,Variable,normal,w1,0.10887770907345637,0.032016541925258934,,0.3692706449650382,0.34522415988303246
empirical,AccessFlooringPedestals,13,Variable,lognormal_2p,mle,0.32616504910775856,0.00024770793970674276,,0.0,0.0
empirical,AccessFlooringPedestals,13,Variable,lognormal_2p,w1,0.18116969910633582,0.04678541701287031,,0.0,0.0
empirical,AccessFlooringPedestals,13,Variable,lognormal_3p,mle,0.14673253117213514,0.001643999945372343,interior,0.030536874310475092,-0.4518499136458625
empirical,AccessFlooringPedestals,13,Variable,lognormal_3p,w1,0.1088979078465123,0.2271941660437733,,0.36828858888327287,-1113.9583014286302
