arm,rule,pct_silverman,mean_loo,median_loo,p05_loo,mean_w1,median_w1
empirical,always Silverman,100.0,-0.8551904307981996,-0.8430298483000114,-2.053205911734512,0.15087505399072637,0.1042653106690399
empirical,guarded at n >= 10,86.57718120805369,-0.7430186436410291,-0.8254531573764153,-1.835462268407786,0.15674244884863422,0.10744267667866139
empirical,guarded at n >= 15,80.53691275167785,-0.7352734732906975,-0.8262504480518039,-1.7068741288335918,0.16457709131338133,0.108597014661502
empirical,guarded at n >= 20,71.81208053691275,-0.7251016690749091,-0.8106523854075244,-1.6385190794575923,0.17177160729948737,0.1110601471302877
empirical,guarded at n >= 30,61.74496644295302,-0.7195924637443568,-0.8082709478589383,-1.6162687150849409,0.1782296139877076,0.11350639298089696
empirical,guarded at n >= 50,50.33557046979866,-0.7278732776514389,-0.8335778244272238,-1.6100313046105001,0.19025999711737476,0.12691150146635793
empirical,guarded at n >= 100,33.557046979865774,-0.7267926515447055,-0.8526419857986165,-1.6100313046105001,0.20394227067974688,0.13937719408231194
empirical,always Scott,0.0,-0.7726280681679635,-0.8960958428066397,-1.6217938224936397,0.2682734832448729,0.15809665304002754
synthetic,always Silverman,100.0,,,,0.10708227018173275,0.06302134034868655
synthetic,guarded at n >= 10,76.0,-0.5134548846645401,-0.7743514498180908,-1.7025401316529265,0.1156152068756754,0.06859716904272789
synthetic,guarded at n >= 15,71.125,-0.5041545021326371,-0.7746196169985105,-1.685477140414994,0.11872478724011576,0.06934726231804561
synthetic,guarded at n >= 20,68.375,-0.497552058626422,-0.7730260318189186,-1.6490181460257403,0.11986794218732955,0.07051243630109495
synthetic,guarded at n >= 30,65.125,-0.49428964220497384,-0.7714502253375817,-1.63870210038616,0.12083777677800667,0.07096864673084649
synthetic,guarded at n >= 50,58.375,-0.49214197170181606,-0.7730260318189186,-1.6182360114394643,0.12377763544448456,0.07283504655142545
synthetic,guarded at n >= 100,50.875,-0.4884432238589734,-0.7706846660940857,-1.6091231826214762,0.12556487018305018,0.07638147127298464
synthetic,always Scott,0.0,-0.49089538237002983,-0.7768014663789928,-1.6091231826214762,0.13455529040143163,0.0912713678431669
