arm,dataset,n,"KDE-scott, Uniform","KDE-silverman, Uniform","Logn3p, Uniform","Logn2p, Uniform","Gamma, Uniform","Normal, Uniform","KDE-scott, Variable","KDE-silverman, Variable","Logn3p, Variable","Logn2p, Variable","Gamma, Variable","Normal, Variable"
empirical,AccessFlooring,53,0.13197953881570895,0.12737405150605513,0.20572388698126817,0.3795703790913243,0.17831915583114477,0.15791175076805958,0.16219088738370763,0.14003905487214613,0.17208602464320977,0.44304040370837783,0.18192434556319875,0.1740679758248979
empirical,AccessFlooringPedestals,13,0.17393584520448285,0.15736481510226158,0.14768443695467354,0.21431336393952824,0.13555776871869293,0.20433050309176565,0.20412313233679763,0.17032040991665967,0.14673253117213514,0.32616504910775856,0.15965779065593402,0.19658868521116324
empirical,AcousticalCeilings,412,0.4057833744270291,0.14192770024868484,0.3127347675843605,0.1745286555800457,0.2927842461580868,1.0141187594082854,0.3732647546446137,0.05491573579732845,0.31399820162259495,0.14790160607126657,0.27461573164439035,0.9638252520237753
empirical,Aggregates,384,2.0571731732988674,1.0771380655783505,0.9630766114056604,1.552183956034541,1.5094001446768417,5.243195112562935,2.0352868334629166,0.784576932530652,0.8938254607364218,1.9768848425571777,1.3670923128140124,5.166941564361436
empirical,AluminiumBillets,120,0.1418956335184769,0.11535285925918577,0.09710073730632504,0.19431915287664234,0.09085391163558268,0.3132039402088189,0.16947368853765393,0.11114034145357779,0.09137818446875293,0.1857088766175783,0.0816971923398107,0.3506631218404138
empirical,AluminiumExtrusions,36,0.14747925587374744,0.09213262856284368,0.16004871018129277,0.16600488154638549,0.18294988401817616,0.34349420794890706,0.18108476056102923,0.08256386125923207,0.16363871635193958,0.179270428518848,0.18790220573117902,0.3624075030777073
empirical,AluminiumSheetGoods,26,0.27311025660947386,0.23100854005984806,0.1795042584615387,0.19677051355409633,0.15309633000585302,0.29237296042925176,0.20848157134011536,0.15665223133886375,0.1736541581897918,0.18094244215667218,0.15349317169728796,0.24499551193070251
empirical,AluminiumSiding,3,0.28748190163559206,0.28129710124100943,0.30401069361285116,0.4362424648765593,0.37546440682324755,0.3038469416724189,0.2721571449037711,0.24691024139044038,0.26663091128092475,0.44582075414254063,0.3547831597833071,0.2664802318111055
empirical,AluminiumSuspensionAssembly,22,0.34052350189067293,0.2777373000596076,0.3399072976960608,0.5750806609583877,0.30901971013094753,0.5123386570784337,0.5576494127906528,0.3861648012346686,0.3247393788989229,0.5743111534198025,0.28593877781506194,0.6166961246108762
empirical,Asphalt,7232,0.008580474295952229,0.0063354783975413335,0.03293969915098341,0.03294096908888238,0.036539793419451586,0.0548987986634983,0.0061093189629719885,0.0031592823835215646,0.031365881664172826,0.0316509437716852,0.03421831636574811,0.050436810713142474
empirical,BackingAndUnderlay,45,0.4172176474705269,0.1756797636372625,0.3092875230603637,0.23349815507096428,0.2125638548671883,0.7535164775973885,0.542783575332459,0.2525841087561136,0.30505541479398857,0.21043601195626593,0.2240661455651455,0.7844580791732065
empirical,BituminousRoofing,66,0.1256921628289678,0.08944856136092495,0.11537062617210196,0.11332039231219365,0.12021730555088748,0.3051383967140744,0.1766249318219888,0.09695015703106676,0.10780435114876052,0.10937239984067414,0.1232838457969734,0.34276742926072645
empirical,BlanketFacing,28,0.2595628525499616,0.212231385757871,0.19655805139422888,0.2518936798493349,0.20281917812125003,0.29324121157475314,0.0868888799509927,0.06396020266035227,0.07905761631300896,0.14492280372046334,0.0933198274474664,0.10463491870847082
empirical,BlanketInsulation [mineral wool],184,0.24422262520989904,0.11948182760790656,0.16973773137134646,0.15298685685547467,0.24933355939563742,0.5620314611665793,0.13397628956529245,0.034881760319030466,0.11920921541919055,0.11008472382984363,0.17505690396532878,0.40050059437631985
empirical,BlanketInsulation [other],3,0.5974690054540226,0.5672645296321478,0.6393940890752158,0.6930490186858829,0.5388254778877312,0.44311102518312356,0.22326389512522873,0.20093997284886933,0.21208750180201394,0.45187113095766357,0.3100462994538193,0.21196577894656846
empirical,BlanketInsulation [type not stated],129,0.2914639257766018,0.1305474070891448,0.22082057163463364,0.17285469010797982,0.27816239201074305,0.6479219387602613,0.2638465548788085,0.052118564445685994,0.21609072782678046,0.17180543520375255,0.24981071894665685,0.6328189223419141
empirical,BlownInsulation [cellulose],3,0.7025184375689592,0.34011161483715435,0.6207277136611566,0.6410331433764902,0.5509392704863817,0.6406279695536129,0.792195435161309,0.48822602307786767,0.64030076757404,0.6609750816976045,0.5619080785664288,0.654072195018223
empirical,BlownInsulation [type not stated],16,0.19014358672940415,0.13346789651045293,0.1537774145378446,0.1460187020350014,0.1552321416704974,0.18962785695310408,0.1898537073372083,0.07250679489243142,0.1432952211848578,0.14238136505913918,0.15032824135180614,0.18811863472334103
empirical,BoardInsulation [EPS],47,0.5131285652563626,0.3177717005346725,0.18648678165081203,0.22973252947046371,0.167368987919581,0.7406468574923799,0.30947297014622277,0.18265575748882648,0.16791863707787927,0.1854796098161937,0.15521870699006837,0.4574777834158045
empirical,BoardInsulation [PIR or PUR],50,0.5397447604860646,0.30729426697353723,0.19938500633648326,0.17774203321437443,0.22719319794154105,0.7303025044867844,0.2853456092299797,0.17471203103157984,0.19591136754902888,0.1791832253675696,0.20920536311492538,0.4179685807933835
empirical,BoardInsulation [XPS],19,0.41351264071015414,0.24224900606049393,0.38889824180541677,0.35809414957426844,0.37547303813806504,0.7389075598362194,0.6681327325023453,0.195367066810757,0.3908363836904335,0.3330294947522649,0.38672013075261663,0.9285619804635556
empirical,BoardInsulation [mineral wool],77,0.09603481377764664,0.10670150478084604,0.1014638664029113,0.10195191926745988,0.10284457507621475,0.1506717094638826,0.09628151140645312,0.06280291162765497,0.054757826052724334,0.059081984513583756,0.08753501589324184,0.1751068087826258
empirical,BoardInsulation [other],7,0.39211558044684197,0.3306500089189812,0.3011984837515304,0.2960307968465823,0.2919712380797462,0.38792122023613707,0.27630047901936905,0.13817531739131375,0.2203032240731948,0.21462373246480082,0.21536140980063667,0.30606176721043676
empirical,BoardInsulation [type not stated],131,0.22151962518205406,0.18969696475716702,0.11626074548845867,0.16814045870731434,0.12024731212427663,0.3295116663328739,0.12171216586157524,0.07977923407374726,0.08587497005443874,0.0859219796221054,0.08332075085801181,0.25612222353873176
empirical,Brick,215,0.3049341588356663,0.10588202090508635,0.25684365136446935,0.20211602614689167,0.3140546822243454,0.883211571559205,0.23816211738202953,0.030569586148484068,0.21622022621272335,0.1909975585409665,0.27029476785198864,0.7604182013317495
empirical,CMU [3000-3999 psi],137,0.043293019007027145,0.04331180505959858,0.05461616686306563,0.055569880950433526,0.053910894998755225,0.06209220599517896,0.037852706901032915,0.03175851063359768,0.046238684216892284,0.043585248804186974,0.04585380695066752,0.0605726526230637
empirical,CMU [4000-4999 psi],18,0.18320170441010364,0.18266744918674307,0.1937587760809739,0.19257083647709644,0.18684734108190876,0.17895064078390419,0.07970759094368303,0.06945222718704025,0.0861956375987431,0.10575630711392037,0.09137601943860553,0.0861938560220537
empirical,CMU [5000-5999 psi],8,0.06017572089167608,0.043721636748400995,0.04653655240745246,0.04744233802672277,0.048309947657967055,0.05062347217280656,0.037274477023831895,0.016530087777097635,0.03036483750533457,0.030728472204757266,0.031063325261881825,0.03198416287305984
empirical,CMU [<3000 psi],274,0.04851349675833913,0.03938381638888737,0.04116516601734409,0.042598258103831964,0.052627276155404426,0.08740411312750856,0.03127203433905391,0.02059666431109758,0.03221851295698297,0.03576610024495323,0.04682772654062207,0.07498045169947692
empirical,CMU [>=6000 psi],8,0.1167938068341898,0.10878076388574842,0.08908041772602046,0.09001074806567579,0.08505137793248946,0.08182893705165355,0.07792868571710398,0.06673733280026624,0.06482343969746326,0.07390131724741301,0.06992982695782332,0.06479137392805756
empirical,CMU [strength not stated],39,0.08158890131868768,0.07390302168492037,0.06835947207071258,0.07112561016747425,0.07601615868001646,0.08980417516897896,0.044875842157041664,0.03806254417138709,0.03852836558066905,0.03876572426328642,0.04051502504091903,0.04867463037246214
empirical,CableTrays,59,0.4218473544903005,0.25915318862787917,0.2037849108871594,0.4296911165393999,0.180044954738131,0.6527772214040108,0.39401362920740757,0.24017340637219736,0.19404902575100635,0.4477117303763373,0.16916899725314505,0.563245596371019
empirical,Carpet,1989,0.015612242129451242,0.013469069488711276,0.043780109299197914,0.045079704746524576,0.04320684782368994,0.08536305205716556,0.017672542159392377,0.014036199997452165,0.04348458337406332,0.044903034579488604,0.04240631224854657,0.08501923761903513
empirical,CastDecksAndUnderlayment,255,0.025925303477750197,0.022538459906183965,0.029030718279149145,0.02326030370821064,0.025198248566998406,0.04836425064970992,0.0250120887060904,0.020488791911603584,0.0259860054391326,0.023014239714432668,0.02719862221523038,0.05108781164030386
empirical,Cement,1084,0.018899173910060955,0.016353583897135395,0.041116482933051444,0.07221359414505686,0.05094477896088552,0.06675795015819569,0.01980702482975925,0.012183242446935241,0.046389684547561254,0.08248842312265656,0.05824052525310714,0.07000986079852171
empirical,CementBoard,21,0.118008980587572,0.07902549983229668,0.08802569492734642,0.08916282726157154,0.09370816198884363,0.14634961076987005,0.10075157378836191,0.06744024898635302,0.08792673443779837,0.08529047721209657,0.09326110844560459,0.1408043783363082
empirical,CementGrout,3764,0.011431736449883342,0.007666460820901324,0.03468468189346886,0.03848614068912987,0.055550131569477045,0.09876249192127846,0.013694761583096973,0.0068686111492096726,0.03567638319215124,0.03861097497623342,0.05628277889701057,0.10266930058713271
empirical,CementitiousSheathingBoard,51,0.18276747194271964,0.15805918047673612,0.16873909873383738,0.343418314308424,0.13372513266400696,0.23234617546327507,0.18692407537909345,0.13834279577153852,0.11831322213932227,0.2518838873258652,0.09159122300733101,0.24994943374858183
empirical,Chairs,86,1.332875044856526,0.8475628415509217,0.5923958774020528,0.7191790298912514,0.7408147649788348,2.20726662494302,0.861559449388288,0.5455642074598317,0.45912929572445255,0.49203852411672516,0.4611509580616853,1.4710588765346646
empirical,Coil,140,0.10326851160507702,0.11398197990795073,0.12179419673420341,0.11688842658644741,0.11480758510830395,0.13827120748517305,0.0988943115843503,0.07645372197028777,0.09778313137220958,0.18638398160265576,0.10131521506059314,0.1690372876687692
empirical,CompositeLumber,16,0.15250917875356332,0.12840462034242392,0.11715552750600121,0.11325805749172498,0.10844213320151963,0.11375405874718089,0.08167519798796011,0.06181624873147647,0.060417295944305005,0.05977073046995957,0.060809764111970935,0.06945355244657436
empirical,CompositionSiding,3,0.33786048680555086,0.3047263883142536,0.3448294206419265,0.6503399788177912,0.49962778603552327,0.3446482940635034,0.3573042806323476,0.3248896993693345,0.3442702888129965,0.6535542345315156,0.49542326760675315,0.34408741189872105
empirical,ConcreteAdmixtures,118,1.3710880091614914,0.4303237965188933,0.34142211809991435,0.2160877949362148,0.4785880558182617,2.6552879618831415,0.4448171954293003,0.07623190326256561,0.18018941305158687,0.14466231994392292,0.15993264644761934,0.9573762377795885
empirical,ConcretePaving [3000-3999 psi],108,0.021440534411840007,0.019366148991462773,0.03316634188493844,0.0377841632430939,0.03401522576895075,0.03332803834677197,0.02525841726459214,0.021546739843533533,0.03192361493182582,0.03583255219319195,0.0319917397187209,0.03193866572211082
empirical,ConcretePaving [4000-4999 psi],160,0.02352756451655235,0.018453432952556893,0.0259369108901331,0.026048589434216948,0.026103372341768672,0.03222301259357571,0.023845619126525202,0.017299745559106385,0.02454787902311676,0.024469118581977322,0.02533501703576036,0.03274604300008147
empirical,ConcretePaving [5000-5999 psi],42,0.09709946130910892,0.0929386397926536,0.08686628374878885,0.08690588563144824,0.08826109413986773,0.09631688033969857,0.04480399718747517,0.0380991740579002,0.051745592381141826,0.04387864558096427,0.04543732446870461,0.053916200630768144
empirical,ConcretePaving [<3000 psi],32,0.055372946255744133,0.05398308085058456,0.06372858256602375,0.07735457459158827,0.07177051745903854,0.06368051490744006,0.04969645943058117,0.04321498528053278,0.04583886555291042,0.0652946575653302,0.05578711382383413,0.04579888969273014
empirical,ConcretePaving [strength not stated],38,0.2449324430605841,0.17931791694185653,0.13711606417783767,0.15208803787979974,0.19269882932252957,0.3059927557710973,0.06279262666724007,0.054285702105192464,0.055643486261701736,0.05120807944865746,0.05384862742628557,0.07169326760165609
empirical,Countertops,76,0.46824515499122954,0.4038510420974185,0.29094703878742717,0.32558423691548827,0.2581631040009375,0.6909651190270951,0.37867493253923445,0.24915404795994578,0.17746406637468237,0.22668419793988434,0.14793764011031366,0.5979419600217496
empirical,CurtainWalls,54,0.12624126215443243,0.11303080605384319,0.12280737189458799,0.12060586149237605,0.12505531740691214,0.2051319963174478,0.13456134398148753,0.11291384829446398,0.11155208705786375,0.10965390843642307,0.12470804661781429,0.21539304897235018
empirical,DampproofingAndWaterproofing,162,0.8010718873641539,0.1434335287113982,0.5887883204810218,0.3601373633641105,0.6377596776438681,1.8947718843128913,0.7791724793142314,0.06545856645476436,0.5757460453968697,0.3666430966482076,0.6207554230647655,1.8120019843098092
empirical,DataCabling,951,0.6526072934147202,0.382326291461463,0.5273374400992735,0.2813411269668693,0.41196421450190635,1.3087026057600257,0.6229467913638486,0.2847844139064604,0.5198032238083613,0.2787670470633321,0.38868790287611493,1.2523269232326009
empirical,DeckingBoards,7,0.24060498596597138,0.24348189062363534,0.29104461018554373,0.25854486247318065,0.2390538102658179,0.21305683875546302,0.1819613869179339,0.11421760179145146,0.14616702153163924,0.14494029384511092,0.144266440075694,0.17391001927880412
empirical,DeckingSteel,62,0.05498032633931599,0.0479940251873797,0.04716150579924855,0.08499714262021615,0.06497294234434664,0.04714998855346699,0.037833471927997187,0.020553708688473095,0.039583451479572776,0.0567859742092974,0.04516653728982404,0.03961087926114863
empirical,DemountablePartitionTrack,4,0.31652826617589486,0.287288487169398,0.3705614831269311,0.35119496932419414,0.2735506179137665,0.2527411499812227,0.28296348982980013,0.25446578414234033,0.382411423631514,0.3544383004852813,0.2679579507880232,0.238700262635395
empirical,DemountablePartitions,45,0.10428252949609902,0.09521977406248446,0.10745786362933529,0.2752452656313614,0.16259421250225262,0.1027988154319533,0.10048647944462683,0.08887672030661672,0.10051595616197401,0.3119001967066531,0.17823876072384015,0.09880985155960867
empirical,DoorsAndFrames,61,0.3427456975396489,0.19345690827096035,0.13066514760896492,0.1489524259038373,0.18355482527170244,0.5545646363365251,0.15887257881362343,0.0947868030406874,0.0908415039563227,0.09670344970718911,0.10525353029421644,0.3114093782532871
empirical,Electrical,3,0.01218386234700448,0.011515205568128755,0.01010799363433923,0.010665508751500699,0.010677491570390123,0.010701807687317611,0.003878637513017395,0.003430083554543807,0.0020452247414553468,0.0034825303854900368,0.0034902001658214006,0.0035056809308057248
