material,n_in_unit_type,n_nonpositive,n_zero,n_negative,most_negative
Carpet,2097,44,5,39,-1.17
Timber,57,18,0,18,-1210.0
DampproofingAndWaterproofing,189,16,0,16,-7.2116445
BlanketInsulation,360,16,1,15,-19.45975578
CMU,395,13,0,13,-1003.256861
Insulation,985,11,6,5,-58.01
ResilientFlooring,539,10,6,4,-6.27
Aggregates,509,9,5,4,-0.09179999999999999
Gypsum,938,8,1,7,-3.8
AcousticalCeilings,574,8,1,7,-1.37
WallPanels,176,7,0,7,-16.91039597
WoodFlooring,122,7,0,7,-19.0
WallFinishes,189,7,0,7,-18.4
BoardInsulation,430,6,0,6,-9.83
SheathingPanels,134,6,0,6,-12105.263157894735
Steel,866,5,2,3,-0.08855651414
ReadyMix,88873,5,5,0,0.0
MassTimber,78,5,0,5,-853.2372117
Windows,438,4,0,4,-122.0
WoodDoors,56,4,0,4,-30.07195451
WindTurbines,11,4,0,4,-0.0346
NonStructuralWood,93,4,0,4,-1473.1384874999999
Cement,1489,4,1,3,-0.00455
CompositeLumber,21,3,0,3,-830.0
Asphalt,7626,3,3,0,0.0
Aluminium,245,3,3,0,0.0
SinglePlyPVC,92,2,0,2,-50.7
PrecastConcrete,702,2,2,0,0.0
OtherFlooring,256,2,0,2,-11.05210207
HeavyTimber,9,2,0,2,-693.0
ConcreteAdmixtures,163,2,0,2,-1.35
GlazedDoors,141,2,0,2,-3.45
DataCabling,1391,2,0,2,-0.03301998216920963
Cladding,219,2,1,1,-0.0111
Grouting,279,2,2,0,0.0
Laminate,38,1,0,1,-3.61447426
AluminiumBillets,142,1,1,0,0.0
AluminiumSheetGoods,41,1,0,1,-0.687
AluminiumSuspensionAssembly,26,1,0,1,-3.374468085106383
BackingAndUnderlay,49,1,0,1,-1.05
BlownInsulation,30,1,0,1,-1.58
CeilingPanel,265,1,0,1,-7.4
CementitiousSheathingBoard,54,1,0,1,-2.005438333
StorageFurniture,24,1,0,1,-0.08953846153846154
SinglePlyPolyurethane,32,1,0,1,-0.163
RoofPanels,63,1,0,1,-1.2905201
Countertops,85,1,0,1,-7.66
RoofCoverBoards,29,1,0,1,-7.42
RebarSteel,236,1,1,0,0.0
DemountablePartitionTrack,7,1,0,1,-0.34247666666666665
FenestrationFraming,385,1,0,1,-0.0221
PostTensioningSteel,72,1,1,0,0.0
PlateSteel,88,1,0,1,-14.4
FlatGlassPanes,46,1,1,0,0.0
Mortar,396,1,0,1,-0.00485
MembraneRoofing,344,1,0,1,-3.82
WoodFraming,10,1,0,1,-613.0
