dataset,n,n_near_zero,min_over_mean,has_near_zero,w1_2p,w1_offset,w1_2p_drop_near_zero,w1_offset_drop_near_zero,offset_gain,offset_gain_pct,offset_gain_dropped
AccessFlooring,53,0,0.013069216685646227,False,0.44304040370837783,0.16616512546654055,0.44304040370837783,0.16616512546654055,0.2768752782418373,62.4943630252027,0.2768752782418373
AccessFlooringPedestals,13,0,0.09113492538721642,False,0.32616504910775856,0.1434774932481992,0.32616504910775856,0.1434774932481992,0.18268755585955937,56.01077011755572,0.18268755585955937
AcousticalCeilings,412,2,0.006537780951039321,True,0.14790160607126657,0.33247581379599345,0.1488717281883715,0.3346576316446044,-0.18457420772472688,-124.79526938726384,-0.1857859034562329
Aggregates,384,143,1.0324981912934909e-05,True,1.9768848425571777,0.7086008680827119,1.955487489009547,1.049385278467556,1.2682839744744658,64.15568308136204,0.9061022105419911
AluminiumBillets,120,0,0.01964045723026244,False,0.1857088766175783,0.1121195920786732,0.1857088766175783,0.1121195920786732,0.07358928453890509,39.626153514699304,0.07358928453890509
AluminiumExtrusions,36,0,0.07928270794848406,False,0.179270428518848,0.17918158299896336,0.179270428518848,0.17918158299896336,8.88455198846394e-05,0.049559495460958544,8.88455198846394e-05
AluminiumSheetGoods,26,0,0.10598616933678813,False,0.18094244215667218,0.16732543646730963,0.18094244215667218,0.16732543646730963,0.013617005689362555,7.525600697691496,0.013617005689362555
AluminiumSiding,3,0,0.3488820354664611,False,0.44582075414254063,0.3593323336594108,0.44582075414254063,0.3593323336594108,0.08648842048312982,19.399819250109925,0.08648842048312982
AluminiumSuspensionAssembly,22,1,0.0034998747877221293,True,0.5743111534198025,0.3192739215389403,0.5479990796650407,0.32314497594624386,0.25503723188086225,44.4075011188993,0.22485410371879683
Asphalt,7232,0,0.3452215141277225,False,0.0316509437716852,0.03245363443597389,0.0316509437716852,0.03245363443597389,-0.0008026906642886883,-2.5360718153585418,-0.0008026906642886883
BackingAndUnderlay,45,0,0.018092668566356374,False,0.21043601195626593,0.3399366148160891,0.21043601195626593,0.3399366148160891,-0.12950060285982318,-61.53918317304776,-0.12950060285982318
BituminousRoofing,66,0,0.1387672247602661,False,0.10937239984067414,0.12513425616412532,0.10937239984067414,0.12513425616412532,-0.015761856323451187,-14.411182662547342,-0.015761856323451187
BlanketFacing,28,0,0.1334693277231861,False,0.14492280372046334,0.08055180831704616,0.14492280372046334,0.08055180831704616,0.06437099540341719,44.417437249958404,0.06437099540341719
BlanketInsulation [mineral wool],184,0,0.1607744540111552,False,0.11008472382984363,0.16502738966775865,0.11008472382984363,0.16502738966775865,-0.05494266583791502,-49.90943695588418,-0.05494266583791502
BlanketInsulation [other],3,0,0.11308611707018082,False,0.45187113095766357,0.2761428182265836,0.45187113095766357,0.2761428182265836,0.17572831273107997,38.889032888348915,0.17572831273107997
BlanketInsulation [type not stated],129,0,0.113624282445193,False,0.17180543520375255,0.25949671164997407,0.17180543520375255,0.25949671164997407,-0.08769127644622152,-51.04103740502977,-0.08769127644622152
BlownInsulation [cellulose],3,0,0.15427124107759616,False,0.6609750816976045,0.6231854876979647,0.6609750816976045,0.6231854876979647,0.03778959399963988,5.717249416208489,0.03778959399963988
BlownInsulation [type not stated],16,0,0.3751570729620618,False,0.14238136505913918,0.1503388517370263,0.14238136505913918,0.1503388517370263,-0.007957486677887121,-5.588854043211286,-0.007957486677887121
BoardInsulation [EPS],47,0,0.020643206516970127,False,0.1854796098161937,0.2072485088862158,0.1854796098161937,0.2072485088862158,-0.02176889907002208,-11.736545645957843,-0.02176889907002208
BoardInsulation [PIR or PUR],50,0,0.09153665982814195,False,0.1791832253675696,0.22815075836975968,0.1791832253675696,0.22815075836975968,-0.04896753300219009,-27.32819040495558,-0.04896753300219009
BoardInsulation [XPS],19,0,0.06813585653698562,False,0.3330294947522649,0.4240964152830017,0.3330294947522649,0.4240964152830017,-0.09106692053073678,-27.34500155863971,-0.09106692053073678
BoardInsulation [mineral wool],77,0,0.25063855236437527,False,0.059081984513583756,0.0880033792383177,0.059081984513583756,0.0880033792383177,-0.02892139472473395,-48.95129194261328,-0.02892139472473395
BoardInsulation [other],7,0,0.2782284231018819,False,0.21462373246480082,0.22756192708300566,0.21462373246480082,0.22756192708300566,-0.012938194618204835,-6.02831498158143,-0.012938194618204835
BoardInsulation [type not stated],131,0,0.01005576517698827,False,0.0859219796221054,0.10857320029461497,0.0859219796221054,0.10857320029461497,-0.02265122067250956,-26.36254515099884,-0.02265122067250956
