metric,no ceiling (149),with ceiling (149),change
fit_lognorm_SW,0.38604361502679974,0.384567021320975,-0.001476593705824758
entropy,0.3207058226974937,0.3336985633739154,0.012992740676421699
coeffvar,0.274206632750735,0.2973195469020786,0.023112914151343644
w_v_uw_wasserstein,0.25099207179972843,0.2955844670106933,0.044592395210964864
fit_norm_SW,0.28579122335954343,0.2781951760436384,-0.007596047315905019
n,0.2448109292192655,0.24482410947183653,1.3180252571021178e-05
skewness,0.18926610516280476,0.19568938076418968,0.00642327560138492
weight_outliers,0.13382613214427053,0.14608870489060843,0.012262572746337908
kurtosis,0.11755450526587899,0.12346610394292513,0.005911598677046145
crit_bw_1,0.1229033313047528,0.10676187322379477,-0.01614145808095803
