dataset,n_dropped,lowest_dropped,highest_dropped
Cement,87,243.0,1064.693037
PrecastConcrete,6,132.0,432.44
RebarSteel,4,639.0,2590430.1766135097
SteelSuspensionAssembly,3,205.25625,205.71458333333337
Chairs,2,104.3298946,168.9384772
Elevators,2,20812.4,21945.2
Mortar,2,124.0,160.0
PlateSteel,2,276.0,277.0
Aggregates,1,357.1428571428571,357.1428571428571
AluminiumBillets,1,592.88,592.88
AluminiumExtrusions,1,22574.0,22574.0
Brick,1,247.0,247.0
FenestrationFraming,1,797.0,797.0
HotRolled,1,571.0,571.0
WireMeshSteel,1,2400.0,2400.0
