realization,dataset,n,method,w1,rank
0,AccessFlooring,53,"Normal, Uniform",0.2465080901592645,5.0
0,AccessFlooring,53,"Normal, Variable",0.3176549684058382,6.0
0,AccessFlooring,53,"Lognormal, Uniform",0.13683992274169157,2.0
0,AccessFlooring,53,"Lognormal, Variable",0.14101077002017787,4.0
0,AccessFlooring,53,"KDE, Uniform",0.12792913290969324,1.0
0,AccessFlooring,53,"KDE, Variable",0.13753428267186107,3.0
0,AccessFlooringPedestals,13,"Normal, Uniform",0.1138980509018157,1.0
0,AccessFlooringPedestals,13,"Normal, Variable",0.12116977438481794,3.0
0,AccessFlooringPedestals,13,"Lognormal, Uniform",0.14808439080739577,6.0
0,AccessFlooringPedestals,13,"Lognormal, Variable",0.11836019199063033,2.0
0,AccessFlooringPedestals,13,"KDE, Uniform",0.14252795585863,5.0
0,AccessFlooringPedestals,13,"KDE, Variable",0.13554930836472728,4.0
0,AcousticalCeilings,412,"Normal, Uniform",0.8705475620535964,5.0
0,AcousticalCeilings,412,"Normal, Variable",0.9017858459467021,6.0
0,AcousticalCeilings,412,"Lognormal, Uniform",0.32261325870628127,4.0
0,AcousticalCeilings,412,"Lognormal, Variable",0.30790962909776115,3.0
0,AcousticalCeilings,412,"KDE, Uniform",0.06768797348194583,1.0
0,AcousticalCeilings,412,"KDE, Variable",0.1069246221074936,2.0
0,Aggregates,384,"Normal, Uniform",5.449821749842866,5.0
0,Aggregates,384,"Normal, Variable",6.971795100056163,6.0
0,Aggregates,384,"Lognormal, Uniform",1.2866124996355666,3.0
0,Aggregates,384,"Lognormal, Variable",1.3747173749931987,4.0
0,Aggregates,384,"KDE, Uniform",0.9290836032578178,1.0
0,Aggregates,384,"KDE, Variable",1.1195002774913037,2.0
0,AluminiumBillets,120,"Normal, Uniform",0.36783486972129126,6.0
0,AluminiumBillets,120,"Normal, Variable",0.2793096231849843,5.0
0,AluminiumBillets,120,"Lognormal, Uniform",0.1464074461035187,3.0
0,AluminiumBillets,120,"Lognormal, Variable",0.09419068070661007,1.0
0,AluminiumBillets,120,"KDE, Uniform",0.20117145465008168,4.0
0,AluminiumBillets,120,"KDE, Variable",0.1386096633297629,2.0
0,AluminiumExtrusions,36,"Normal, Uniform",0.36124503797318525,5.0
0,AluminiumExtrusions,36,"Normal, Variable",0.4684234354272614,6.0
0,AluminiumExtrusions,36,"Lognormal, Uniform",0.24273307991956855,3.0
0,AluminiumExtrusions,36,"Lognormal, Variable",0.23928512838020372,2.0
0,AluminiumExtrusions,36,"KDE, Uniform",0.1743915725610338,1.0
0,AluminiumExtrusions,36,"KDE, Variable",0.25842967020652696,4.0
0,AluminiumSheetGoods,26,"Normal, Uniform",0.33176684524532407,6.0
0,AluminiumSheetGoods,26,"Normal, Variable",0.2871332993028882,4.0
0,AluminiumSheetGoods,26,"Lognormal, Uniform",0.2232677764322736,3.0
0,AluminiumSheetGoods,26,"Lognormal, Variable",0.19425459324385738,1.0
0,AluminiumSheetGoods,26,"KDE, Uniform",0.30405890707897043,5.0
0,AluminiumSheetGoods,26,"KDE, Variable",0.21313548329258353,2.0
0,AluminiumSiding,3,"Normal, Uniform",0.23789182705123252,4.0
0,AluminiumSiding,3,"Normal, Variable",0.1652587556837645,1.0
0,AluminiumSiding,3,"Lognormal, Uniform",0.23795190552142814,5.0
0,AluminiumSiding,3,"Lognormal, Variable",0.16528804149379472,2.0
0,AluminiumSiding,3,"KDE, Uniform",0.33595846067071145,6.0
0,AluminiumSiding,3,"KDE, Variable",0.19215574512278943,3.0
0,AluminiumSuspensionAssembly,22,"Normal, Uniform",0.44325896106511614,5.0
0,AluminiumSuspensionAssembly,22,"Normal, Variable",0.4766621842804076,6.0
0,AluminiumSuspensionAssembly,22,"Lognormal, Uniform",0.28161581153176013,1.0
0,AluminiumSuspensionAssembly,22,"Lognormal, Variable",0.28575769233998666,2.0
0,AluminiumSuspensionAssembly,22,"KDE, Uniform",0.3613139365146856,3.0
0,AluminiumSuspensionAssembly,22,"KDE, Variable",0.4302395002364176,4.0
0,Asphalt,7232,"Normal, Uniform",0.05434060125494265,6.0
0,Asphalt,7232,"Normal, Variable",0.05277476584596619,5.0
0,Asphalt,7232,"Lognormal, Uniform",0.031650125589291186,4.0
0,Asphalt,7232,"Lognormal, Variable",0.0312745325700575,3.0
0,Asphalt,7232,"KDE, Uniform",0.004110896527001081,2.0
0,Asphalt,7232,"KDE, Variable",0.0033610047821261667,1.0
0,BackingAndUnderlay,45,"Normal, Uniform",0.8630518625597046,5.0
0,BackingAndUnderlay,45,"Normal, Variable",0.9876633930943604,6.0
0,BackingAndUnderlay,45,"Lognormal, Uniform",0.4014177442033654,2.0
0,BackingAndUnderlay,45,"Lognormal, Variable",0.4297939323766412,3.0
0,BackingAndUnderlay,45,"KDE, Uniform",0.21566709367711734,1.0
0,BackingAndUnderlay,45,"KDE, Variable",0.6466169931942323,4.0
0,BituminousRoofing,66,"Normal, Uniform",0.27281438595603374,5.0
0,BituminousRoofing,66,"Normal, Variable",0.33647319681801935,6.0
0,BituminousRoofing,66,"Lognormal, Uniform",0.14035894240957536,4.0
0,BituminousRoofing,66,"Lognormal, Variable",0.0976396105739599,2.0
0,BituminousRoofing,66,"KDE, Uniform",0.11206851204802393,3.0
0,BituminousRoofing,66,"KDE, Variable",0.06978137230906853,1.0
0,BlanketFacing,28,"Normal, Uniform",0.16064896263840575,5.0
0,BlanketFacing,28,"Normal, Variable",0.16423500164661659,6.0
0,BlanketFacing,28,"Lognormal, Uniform",0.11922694358833484,4.0
0,BlanketFacing,28,"Lognormal, Variable",0.11508303967582342,3.0
0,BlanketFacing,28,"KDE, Uniform",0.0950010386662193,1.0
0,BlanketFacing,28,"KDE, Variable",0.11334083343850836,2.0
0,BlanketInsulation [mineral wool],184,"Normal, Uniform",0.5373560372243524,6.0
0,BlanketInsulation [mineral wool],184,"Normal, Variable",0.4683599355811075,5.0
0,BlanketInsulation [mineral wool],184,"Lognormal, Uniform",0.19141228743573757,3.0
0,BlanketInsulation [mineral wool],184,"Lognormal, Variable",0.19380544564451618,4.0
0,BlanketInsulation [mineral wool],184,"KDE, Uniform",0.09466525174745212,2.0
0,BlanketInsulation [mineral wool],184,"KDE, Variable",0.0295579484155511,1.0
0,BlanketInsulation [other],3,"Normal, Uniform",0.8026435842702198,5.0
0,BlanketInsulation [other],3,"Normal, Variable",0.31744826297309187,2.0
0,BlanketInsulation [other],3,"Lognormal, Uniform",0.7415380052613235,4.0
0,BlanketInsulation [other],3,"Lognormal, Variable",0.18216393134558148,1.0
0,BlanketInsulation [other],3,"KDE, Uniform",0.9592254306332795,6.0
0,BlanketInsulation [other],3,"KDE, Variable",0.37712042044614674,3.0
0,BlanketInsulation [type not stated],129,"Normal, Uniform",0.5966068420243414,6.0
0,BlanketInsulation [type not stated],129,"Normal, Variable",0.3083494898634619,5.0
0,BlanketInsulation [type not stated],129,"Lognormal, Uniform",0.14883688104343057,3.0
0,BlanketInsulation [type not stated],129,"Lognormal, Variable",0.1025212595346628,2.0
0,BlanketInsulation [type not stated],129,"KDE, Uniform",0.21180828421243808,4.0
0,BlanketInsulation [type not stated],129,"KDE, Variable",0.047361870536972786,1.0
0,BlownInsulation [cellulose],3,"Normal, Uniform",1.2064130323474571,5.0
