dataset,n,naive_gap_over_sd,naive_sigma,naive_w1,profile_status,profile_gap_over_sd,profile_sigma,profile_w1
AccessFlooring,53,0.6122896993947375,0.5443257025720479,0.17198039606619853,interior,0.6194124779266756,0.541741670730587,0.17134037835324656
AccessFlooringPedestals,13,0.7498823489609943,0.5391178704678932,0.14686903486985414,interior,0.7580524367559263,0.5361597525034156,0.14642611245077278
AcousticalCeilings,412,0.018271471433954915,1.0374027837844557,0.16558418828376367,interior,0.01832980710832436,1.037080264973146,0.1656847059424452
Aggregates,384,2.0442552648278053e-06,2.7093929043221423,1.9475734334768318,boundary_guard,0.01,1.442141399001998,0.5912767603711045
AluminiumBillets,120,0.11062664948544834,0.8231429405873483,0.11637317728919094,interior,0.10967313315588181,0.8244099157205057,0.11678994505152894
AluminiumExtrusions,36,0.24929949331078857,0.6136514169110199,0.16363355233248456,interior,0.24602398208697776,0.6158860387082455,0.16362504850061196
AluminiumSheetGoods,26,0.0690555740904896,0.9244746304682323,0.19238126890208965,interior,0.06911924688779364,0.9243576470832479,0.19236579073791382
AluminiumSiding,3,186291.5329932275,5.36752009869389e-06,0.26647749204482907,boundary_normal_limit,1000.0,0.0009988394623919661,0.26663091128092475
AluminiumSuspensionAssembly,22,0.002175271489623175,1.8009151854045615,0.5780936185867098,boundary_guard,0.01,1.6564409483257367,0.5331706280429814
Asphalt,7232,2.124561176611983,0.2043016912754136,0.031364482182302866,interior,2.1420374903583843,0.2035018979124125,0.03137407560168932
BackingAndUnderlay,45,0.008166742945146502,1.4906258021060448,0.22114525003911564,boundary_guard,0.01,1.4628464416901774,0.21579142984605
BituminousRoofing,66,0.10299967205007034,0.8431853946180673,0.11568509360056099,interior,0.10352317759307378,0.8423563831277586,0.11557236990453698
BlanketFacing,28,1.5400359671578494,0.31528570324915933,0.07896902080339911,interior,1.559489504058281,0.3130379712999989,0.07885518508522768
BlanketInsulation [mineral wool],184,0.05842838833249591,0.7813987416598561,0.09373197373607686,interior,0.058131432822247114,0.7818873756239733,0.09371431686756049
BlanketInsulation [other],3,198724.20754483689,5.032413296387581e-06,0.21197143670764446,boundary_normal_limit,1000.0,0.0009985433362187472,0.21208750180201394
BlanketInsulation [type not stated],129,0.013516904934628468,0.9856619799551493,0.12681805093435128,interior,0.013344837298838397,0.9863230927175956,0.12666384256684482
BlownInsulation [cellulose],3,2.3628360425142605e-17,18.921276314297117,0.9175606903652473,boundary_guard,0.010000000000000009,2.5481626499011494,0.7662054583137792
BlownInsulation [type not stated],16,0.480323827203918,0.5784473382497257,0.1432281198721936,interior,0.47774702903357735,0.579704880957478,0.1432698889363639
BoardInsulation [EPS],47,0.03972924938982088,1.0398199710345326,0.1708412000763007,interior,0.0399488019395417,1.039127650056423,0.17072592626587552
BoardInsulation [PIR or PUR],50,0.024913227662378693,0.9591490614331043,0.17016018945658704,interior,0.025176914570372765,0.9584107826826559,0.17017867910353135
BoardInsulation [XPS],19,0.008709111531603933,1.2616691348921838,0.341102528805964,boundary_guard,0.009999999999999998,1.251585196837978,0.34005725290872146
BoardInsulation [mineral wool],77,0.24861649978525943,0.6055639965919614,0.05473018282112566,interior,0.24602398208697757,0.6070501508129476,0.05468094724179837
BoardInsulation [other],7,8.34519856350186e-17,13.720283879924457,0.4953854758150613,boundary_guard,0.009999999999999981,2.1784815975663756,0.34554643434092247
BoardInsulation [type not stated],131,0.08402156489885566,0.7615378828588302,0.07969291675030789,interior,0.08458985796574299,0.7609352803653686,0.07969459949627683
Brick,215,0.0474737939756747,0.7878003151812772,0.1911189515098932,interior,0.04749979434661412,0.7877410034315305,0.19112090082609468
CMU [3000-3999 psi],137,2.70563041211317,0.21665828092234782,0.046193799879678005,interior,2.6982220946965345,0.2170247681190416,0.046179952001024434
CMU [4000-4999 psi],18,23106.522706103642,4.327371642870301e-05,0.0861908269739953,boundary_normal_limit,1000.0,0.0009983775194306556,0.0861956375987431
