dataset,n,target_noise,var_vs_uniform,band
AccessFlooring,53,0.14988248405252821,0.09668770514547777,n 10-99
AccessFlooringPedestals,13,0.2265308091075571,0.09372275029830089,n 10-99
AcousticalCeilings,412,0.16732917761777322,0.0879334588898031,n 100-999
Aggregates,384,0.4148268082310684,0.26754493599212015,n 100-999
AluminiumBillets,120,0.06618926162255265,0.1181013129946413,n 100-999
AluminiumExtrusions,36,0.1934831709876672,0.17308093648450312,n 10-99
AluminiumSheetGoods,26,0.13804743998630617,0.1338525375096456,n 10-99
AluminiumSiding,3,0.5089928789755703,0.24385240466147365,n 3-9
AluminiumSuspensionAssembly,22,0.40052323148218577,0.17424120287467823,n 10-99
Asphalt,7232,0.002952666885518071,0.0025954825398885853,n >=1000
BackingAndUnderlay,45,0.33950176594589454,0.15183680705045496,n 10-99
BituminousRoofing,66,0.18447127314653766,0.11787809462789774,n 10-99
BlanketFacing,28,0.13819721682326055,0.06691910406871979,n 10-99
BlanketInsulation [mineral wool],184,0.11249444401036841,0.07100045595902109,n 100-999
BlanketInsulation [other],3,0.7180867490056911,0.6601910614903025,n 3-9
BlanketInsulation [type not stated],129,0.04580740552633701,0.17729734159212135,n 100-999
BlownInsulation [cellulose],3,1.7957924166050583,1.4871985650169877,n 3-9
BlownInsulation [type not stated],16,0.09299515843385821,0.2053448825649524,n 10-99
BoardInsulation [EPS],47,0.33522469306487623,0.2473698527400765,n 10-99
BoardInsulation [PIR or PUR],50,0.14868803821385318,0.2161299696983849,n 10-99
BoardInsulation [XPS],19,0.5364611524618343,0.3283971181118076,n 10-99
BoardInsulation [mineral wool],77,0.054655072743924255,0.03856113809063499,n 10-99
BoardInsulation [other],7,0.1699024736476064,0.07404420104368349,n 3-9
BoardInsulation [type not stated],131,0.27551297746025405,0.2493068502159356,n 100-999
Brick,215,0.11984607500346653,0.08422869578568563,n 100-999
CMU [3000-3999 psi],137,0.01826506126422176,0.029664548674777743,n 100-999
CMU [4000-4999 psi],18,0.07983256294988914,0.05477982981333909,n 10-99
CMU [5000-5999 psi],8,0.041241028594610867,0.021285544632437457,n 3-9
